epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.30517578125,1e-04,0.14248823,89.39542,0.03374721,0.019790553,0.18370414,1.461203932762146,0.43420174717903137,46.3603515625,0.19175821542739868,0.06542329490184784,0.4379020631313324
1,1.3193165063858032,1e-04,0.19896156,128.2648,0.049870707,0.028887266,0.2233175,1.4665570259094238,0.4418172836303711,46.759788513183594,0.19909486174583435,0.06757485866546631,0.4462004601955414
2,1.2988556623458862,1e-04,0.16476479,87.33899,0.0313935,0.018040985,0.17718211,1.4624301195144653,0.4411006271839142,46.81214904785156,0.196992427110672,0.06708631664514542,0.44383829832077026
3,1.3124321699142456,1e-04,0.20484672,130.00066,0.046994537,0.027665589,0.21678223,1.4686400890350342,0.44961461424827576,47.25225830078125,0.2052442729473114,0.06950823217630386,0.45303893089294434
4,1.2979093790054321,1e-04,0.18197641,93.68863,0.034513555,0.019212214,0.18577825,1.4394034147262573,0.4190264642238617,45.52104187011719,0.17807281017303467,0.061328910291194916,0.42198672890663147
5,1.3070365190505981,1e-04,0.2118039,116.936646,0.045705833,0.025009891,0.21378922,1.4621907472610474,0.4472320079803467,47.13618850708008,0.20292919874191284,0.06884220242500305,0.45047664642333984
6,1.2953964471817017,1e-04,0.1892379,91.76398,0.036134876,0.019098625,0.19009176,1.4353009462356567,0.4183964133262634,45.459774017333984,0.17812387645244598,0.061302460730075836,0.4220472574234009
7,1.2901569604873657,1e-04,0.17924917,73.77342,0.032979816,0.016303705,0.18160346,1.4384149312973022,0.4245496988296509,45.83647918701172,0.18333232402801514,0.06290806084871292,0.4281732439994812
8,1.2850964069366455,1e-04,0.16893989,67.21157,0.030013822,0.014243566,0.17324498,1.453282356262207,0.4435131847858429,46.912750244140625,0.2003084421157837,0.06802970170974731,0.44755831360816956
9,1.2881802320480347,1e-04,0.18192156,71.47655,0.03520634,0.016671987,0.18763353,1.4266711473464966,0.4157818555831909,45.351776123046875,0.175809845328331,0.060658685863018036,0.41929686069488525
10,1.2796568870544434,1e-04,0.1637874,66.65949,0.02879555,0.013365988,0.16969252,1.4413983821868896,0.435708224773407,46.549720764160156,0.19265833497047424,0.06584390252828598,0.43892863392829895
11,1.287209391593933,1e-04,0.19070198,81.07098,0.03846927,0.01854815,0.19613585,1.4425702095031738,0.43948617577552795,46.784873962402344,0.19595196843147278,0.06687208265066147,0.44266462326049805
12,1.283640742301941,1e-04,0.18855628,96.83142,0.037022512,0.01853967,0.19241235,1.4135855436325073,0.40757501125335693,44.905696868896484,0.16909508407115936,0.05866041034460068,0.4112117290496826
13,1.2719839811325073,1e-04,0.15467663,56.07544,0.0274935,0.012128996,0.16581164,1.4356696605682373,0.4368910789489746,46.70219421386719,0.19331341981887817,0.06616804748773575,0.4396742284297943
14,1.2742027044296265,1e-04,0.17183813,77.16446,0.031846397,0.01534418,0.17845559,1.4296152591705322,0.43142035603523254,46.35178756713867,0.1893998682498932,0.06493613123893738,0.435200959444046
15,1.263636589050293,1e-04,0.13731515,48.80604,0.023421165,0.009890556,0.15303975,1.4325740337371826,0.4378296732902527,46.778419494628906,0.1945038139820099,0.06656693667173386,0.44102585315704346
16,1.2630012035369873,1e-04,0.14430477,54.761047,0.024930988,0.010947427,0.15789549,1.4258122444152832,0.4324188828468323,46.484798431396484,0.18989065289497375,0.06519679725170135,0.4357644319534302
17,1.259952425956726,5e-05,0.14042208,53.85251,0.02403085,0.01053227,0.15501887,1.424824833869934,0.4336414337158203,46.6346435546875,0.1899794340133667,0.06534639745950699,0.4358662962913513
18,1.2559878826141357,5e-05,0.12899521,49.760593,0.021142405,0.009244097,0.14540428,1.4152759313583374,0.4228827953338623,45.977046966552734,0.1815066933631897,0.06270185112953186,0.4260360300540924
19,1.2711892127990723,5e-05,0.18742964,92.96968,0.037419986,0.019199567,0.19344246,1.4283561706542969,0.4384581446647644,46.85273742675781,0.19566425681114197,0.06697537750005722,0.44233953952789307
20,1.2588732242584229,5e-05,0.14955793,61.21448,0.026181389,0.0120373955,0.16180664,1.4412753582000732,0.45494234561920166,47.842960357666016,0.2096613347530365,0.07129974663257599,0.4578879177570343
21,1.2630715370178223,2.5e-05,0.16995907,81.738266,0.03145749,0.015821697,0.17736259,1.4191683530807495,0.42970603704452515,46.37369155883789,0.1880936622619629,0.06471091508865356,0.4336976706981659
22,1.2609893083572388,2.5e-05,0.16521885,75.79704,0.029914541,0.014906758,0.17295821,1.4084621667861938,0.41897907853126526,45.817222595214844,0.17792709171772003,0.061718862503767014,0.42181405425071716
23,1.2597371339797974,2.5e-05,0.16245182,84.85929,0.02920207,0.014937623,0.17088613,1.4320143461227417,0.44720616936683655,47.49015426635742,0.20201879739761353,0.06912145018577576,0.4494650065898895
