epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.5226837396621704,1e-04,0.35240728,0.2512552,0.50125366,1.2707767486572266,0.024261340498924255,0.0011425003176555037,0.033800892531871796
1,1.511689305305481,1e-04,0.3376476,0.24205497,0.49199083,1.268974781036377,0.024226665496826172,0.0011366487015038729,0.03371421992778778
2,1.5005125999450684,1e-04,0.3261796,0.2326744,0.48236334,1.267168641090393,0.02419121563434601,0.0011303337523713708,0.033620435744524
3,1.489246129989624,1e-04,0.3268588,0.2232079,0.47244883,1.265354871749878,0.024155035614967346,0.0011236402206122875,0.03352074325084686
4,1.477972149848938,1e-04,0.33140618,0.21374094,0.46232125,1.2635328769683838,0.02411840856075287,0.0011166235199198127,0.03341591730713844
5,1.466754674911499,1e-04,0.33607888,0.20433848,0.45203814,1.2617019414901733,0.02408146858215332,0.0011093354551121593,0.03330668807029724
6,1.455631971359253,1e-04,0.34070736,0.19503936,0.4416326,1.2598657608032227,0.024044394493103027,0.0011018149089068174,0.033193595707416534
7,1.4446343183517456,1e-04,0.34508514,0.18587044,0.43112695,1.2580252885818481,0.024007290601730347,0.0010940544307231903,0.03307649493217468
8,1.4338078498840332,1e-04,0.34898156,0.17687665,0.42056707,1.2561837434768677,0.023970216512680054,0.0010860479669645429,0.032955240458250046
9,1.42324697971344,1e-04,0.35217127,0.16814919,0.41006,1.2543421983718872,0.023933351039886475,0.001077817170880735,0.0328301265835762
10,1.4131059646606445,1e-04,0.35448116,0.15984163,0.399802,1.2525025606155396,0.023896679282188416,0.001069411402568221,0.03270185738801956
11,1.4036060571670532,1e-04,0.35583544,0.15217304,0.39009362,1.2506635189056396,0.023860499262809753,0.001060968148522079,0.03257250785827637
12,1.3950155973434448,1e-04,0.35627806,0.14541303,0.3813306,1.2488242387771606,0.023825183510780334,0.0010526850819587708,0.03244511038064957
13,1.38762366771698,1e-04,0.355964,0.13985205,0.37396798,1.2469817399978638,0.0237911194562912,0.0010448514949530363,0.032324161380529404
14,1.3816860914230347,1e-04,0.3551306,0.13574918,0.36844155,1.2451324462890625,0.02375897765159607,0.0010378420120105147,0.032215554267168045
15,1.3773479461669922,1e-04,0.35405844,0.1332533,0.36503878,1.243273138999939,0.023729532957077026,0.0010321185691282153,0.03212660178542137
16,1.3745523691177368,1e-04,0.3530217,0.13231124,0.3637461,1.2414021492004395,0.02370360493659973,0.0010282036382704973,0.03206561505794525
17,1.3729853630065918,1e-04,0.3522288,0.13261141,0.36415848,1.239518642425537,0.023682162165641785,0.001026614336296916,0.03204082325100899
18,1.3721200227737427,1e-04,0.35177124,0.1336281,0.36555177,1.2376253604888916,0.02366580069065094,0.0010277248220518231,0.032058145850896835
19,1.3713761568069458,1e-04,0.351619,0.1347785,0.3671219,1.2357244491577148,0.023654639720916748,0.001031692372635007,0.03211996704339981
20,1.3702926635742188,1e-04,0.35166818,0.13559997,0.36823902,1.2338184118270874,0.023648664355278015,0.0010384992929175496,0.032225754112005234
21,1.3686177730560303,1e-04,0.35180512,0.13583791,0.36856195,1.231910228729248,0.023647457361221313,0.0010479812044650316,0.03237253800034523
22,1.366294503211975,1e-04,0.351946,0.13543217,0.3680111,1.2300012111663818,0.023650571703910828,0.0010599183151498437,0.03255638852715492
23,1.363399863243103,1e-04,0.35204533,0.1344585,0.36668584,1.228092908859253,0.023657456040382385,0.0010740576544776559,0.03277282044291496
24,1.3600873947143555,1e-04,0.3520876,0.13306853,0.3647856,1.2261850833892822,0.023667633533477783,0.0010901418281719089,0.033017296344041824
25,1.356537938117981,1e-04,0.35207468,0.13144301,0.3625507,1.2242786884307861,0.023680418729782104,0.0011078874813392758,0.03328494355082512
26,1.3529289960861206,1e-04,0.35201514,0.12975815,0.3602196,1.222373127937317,0.023781180381774902,0.0011270155664533377,0.03357105329632759
27,1.3494094610214233,1e-04,0.35191762,0.12816331,0.35799903,1.2204684019088745,0.024186164140701294,0.0011472228216007352,0.03387067839503288
28,1.346089482307434,1e-04,0.35178804,0.12676832,0.3560454,1.2185639142990112,0.024599090218544006,0.001168195391073823,0.03417887166142464
29,1.3430341482162476,1e-04,0.35162964,0.12563848,0.3544552,1.2166595458984375,0.025013655424118042,0.0011896098731085658,0.03449072316288948
30,1.340266227722168,1e-04,0.351444,0.124796316,0.35326523,1.2147544622421265,0.0254238098859787,0.0012111387914046645,0.0348014198243618
31,1.3377710580825806,1e-04,0.35123268,0.12422778,0.3524596,1.2128483057022095,0.02582429349422455,0.001232473412528634,0.0351065993309021
32,1.3355075120925903,1e-04,0.35099787,0.12389164,0.35198244,1.2109415531158447,0.026210308074951172,0.001253317459486425,0.03540222346782684
33,1.333418369293213,1e-04,0.3507429,0.12373014,0.35175294,1.209033727645874,0.026578187942504883,0.0012734211049973965,0.03568502515554428
34,1.3314392566680908,1e-04,0.35047168,0.123679064,0.35168034,1.2071243524551392,0.026925116777420044,0.0012925792252644897,0.035952456295490265
35,1.329508662223816,1e-04,0.3501884,0.12367694,0.35167733,1.205214500427246,0.027249187231063843,0.0013106355909258127,0.036202702671289444
36,1.3275752067565918,1e-04,0.34989658,0.123671316,0.35166934,1.2033034563064575,0.02754950523376465,0.0013274833327159286,0.03643464297056198
37,1.3255990743637085,1e-04,0.34959933,0.12362313,0.35160083,1.2013916969299316,0.02782602608203888,0.0013430793769657612,0.03664804622530937
38,1.323556661605835,1e-04,0.34929883,0.12350808,0.35143715,1.1994794607162476,0.02807965874671936,0.0013574359472841024,0.036843396723270416
39,1.3214386701583862,1e-04,0.34899682,0.12331654,0.35116455,1.197567105293274,0.02831175923347473,0.001370596932247281,0.03702157363295555
