Age,min,max,range,p25,p75,IQR,median,std,mean
0,0.0,0.0,0.008576329331046312,0.0,0.0,0.0,0.0,0.013329482741118868,0.0
1,0.06944444444444442,0.0,0.0,0.031746031746031744,0.022321428571428548,0.01020408163265306,0.02976190476190474,0.0,0.02168619053617163
2,0.11111111111111094,0.015479876160990724,0.012006861063464835,0.05555555555555558,0.040178571428571425,0.020408163265306124,0.04761904761904759,0.013133331823108604,0.04337238107234334
3,0.2222222222222221,0.03715170278637772,0.02229845626072041,0.09126984126984128,0.0669642857142857,0.03571428571428571,0.08630952380952381,0.021170393302128856,0.07274215896208594
4,0.33333333333333326,0.05882352941176472,0.032590051457975985,0.13492063492063494,0.09375,0.04081632653061224,0.11904761904761904,0.034862458820494435,0.10211193685182848
5,0.4444444444444442,0.1042311661506708,0.06918238993710693,0.18253968253968256,0.13616071428571425,0.07653061224489796,0.1577380952380952,0.06505855584324281,0.14359491119788384
6,0.4999999999999998,0.14963880288957687,0.11263579188107486,0.23809523809523814,0.1696428571428571,0.08163265306122448,0.19642857142857142,0.0995961255302829,0.18507788554393914
7,0.5972222222222221,0.195046439628483,0.1509433962264151,0.28174603174603174,0.22098214285714285,0.14285714285714282,0.25297619047619047,0.14560295573327,0.23447537473233407
8,0.6944444444444442,0.24045407636738902,0.18925100057175526,0.3412698412698413,0.26785714285714285,0.173469387755102,0.3035714285714285,0.19811172072114325,0.28387286392072886
9,0.7222222222222221,0.2910216718266254,0.241852487135506,0.4007936507936508,0.3191964285714285,0.21428571428571425,0.36904761904761896,0.2469469543567132,0.3341520762480581
10,0.7499999999999998,0.34984520123839014,0.3036020583190394,0.4365079365079365,0.3660714285714285,0.2755102040816326,0.41666666666666663,0.29928980891902063,0.38443128857538733
11,0.8055555555555554,0.4094427244582044,0.362778730703259,0.49603174603174605,0.4308035714285714,0.346938775510204,0.49404761904761896,0.3597249461829452,0.4477579040181383
12,0.8333333333333333,0.46904024767801855,0.42538593481989706,0.5873015873015873,0.5,0.38775510204081626,0.5654761904761905,0.4248580065572648,0.5110845194608893
13,0.8472222222222221,0.5286377708978328,0.48970840480274447,0.6150793650793651,0.5267857142857142,0.41326530612244894,0.5982142857142857,0.4673306141584578,0.5502267288071546
14,0.8333333333333333,0.5882352941176471,0.5574614065180102,0.6507936507936508,0.5714285714285714,0.4693877551020408,0.6369047619047619,0.5149537901581916,0.5893689381534198
15,0.8472222222222221,0.6547987616099071,0.6295025728987993,0.7341269841269842,0.625,0.48469387755102034,0.6964285714285714,0.5804545401183894,0.6552462526766596
16,0.8611111111111109,0.7275541795665635,0.7084048027444254,0.8174603174603174,0.6919642857142857,0.5306122448979591,0.7678571428571428,0.6535886397405163,0.7211235671998992
17,0.8888888888888888,0.8003095975232198,0.7855917667238422,0.8531746031746033,0.7611607142857142,0.6428571428571428,0.8452380952380951,0.7238240122852548,0.7861191585842046
18,0.8888888888888888,0.8730650154798762,0.8662092624356775,0.9206349206349207,0.84375,0.7448979591836734,0.8690476190476191,0.8017814302038383,0.85111474996851
19,0.9444444444444442,0.9179566563467494,0.9090909090909091,0.9444444444444444,0.9241071428571428,0.8979591836734693,0.9345238095238095,0.858197725410685,0.9054666834613933
20,1.0,0.9628482972136223,0.9519725557461406,0.976190476190476,0.96875,0.9591836734693877,1.0,0.9214132704165939,0.9598186169542763
21,0.9444444444444442,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.976190476190476,1.0,1.0
