Age,min,max,range,p25,p75,IQR,median,std,mean
0,40.0,50.0,10.0,41.0,42.0,1.0,41.0,2.4808356363422095,42.266666666666666
1,42.5,50.0,7.5,45.0,47.0,2.0,46.0,1.5482784328083365,46.09259259259259
2,44.0,55.0,11.0,48.0,51.0,3.0,49.0,2.4671125268170386,49.918518518518525
3,48.0,62.0,14.0,52.5,57.0,4.5,55.5,3.029401381011227,55.1
4,52.0,69.0,17.0,58.0,63.0,5.0,61.0,3.987325598957121,60.28148148148148
5,56.0,83.66666666666667,27.66666666666667,64.0,72.5,8.5,67.5,6.099904784817415,67.6
6,58.0,98.33333333333333,40.33333333333333,71.0,80.0,9.0,74.0,8.516222059068886,74.91851851851851
7,61.5,113.0,51.5,76.5,91.5,15.0,83.5,11.734951679026672,83.63333333333334
8,65.0,127.66666666666666,62.66666666666666,84.0,102.0,18.0,92.0,15.408569627235075,92.34814814814814
9,66.0,144.0,78.0,91.5,113.5,22.0,103.0,18.825179993714137,101.21851851851851
10,67.0,163.0,96.0,96.0,124.0,28.0,111.0,22.487190517575495,110.08888888888889
11,69.0,182.25,113.25,103.5,138.5,35.0,124.0,26.715353282524656,121.2611111111111
12,70.0,201.5,131.5,115.0,154.0,39.0,136.0,31.272192120156845,132.43333333333334
13,70.5,220.75,150.25,118.5,160.0,41.5,141.5,34.24366047647773,139.3388888888889
14,70.0,240.0,170.0,123.0,170.0,47.0,148.0,37.57547287282173,146.24444444444444
15,70.5,261.5,191.0,133.5,182.0,48.5,158.0,42.158036007385356,157.86666666666667
16,71.0,285.0,214.0,144.0,197.0,53.0,170.0,47.27464351205538,169.48888888888888
17,72.0,308.5,236.5,148.5,212.5,64.0,183.0,52.188450287725,180.95555555555555
18,72.0,332.0,260.0,157.0,231.0,74.0,187.0,57.642506762445585,192.42222222222222
19,74.0,346.5,272.5,160.0,249.0,89.0,198.0,61.58950331989956,202.01111111111112
20,76.0,361.0,285.0,164.0,259.0,95.0,209.0,66.0121889571092,211.6
21,74.0,373.0,299.0,167.0,266.0,99.0,205.0,71.51027333131367,218.6888888888889
