,Chick,Age,weight
1,1,0,42
2,1,2,51
3,1,4,59
4,1,6,64
5,1,8,76
6,1,10,93
7,1,12,106
8,1,14,125
9,1,16,149
10,1,18,171
11,1,20,199
12,1,21,205
13,2,0,40
14,2,2,49
15,2,4,58
16,2,6,72
17,2,8,84
18,2,10,103
19,2,12,122
20,2,14,138
21,2,16,162
22,2,18,187
23,2,20,209
24,2,21,215
25,3,0,43
26,3,2,39
27,3,4,55
28,3,6,67
29,3,8,84
30,3,10,99
31,3,12,115
32,3,14,138
33,3,16,163
34,3,18,187
35,3,20,198
36,3,21,202
37,4,0,42
38,4,2,49
39,4,4,56
40,4,6,67
41,4,8,74
42,4,10,87
43,4,12,102
44,4,14,108
45,4,16,136
46,4,18,154
47,4,20,160
48,4,21,157
49,5,0,41
50,5,2,42
51,5,4,48
52,5,6,60
53,5,8,79
54,5,10,106
55,5,12,141
56,5,14,164
57,5,16,197
58,5,18,199
59,5,20,220
60,5,21,223
61,6,0,41
62,6,2,49
63,6,4,59
64,6,6,74
65,6,8,97
66,6,10,124
67,6,12,141
68,6,14,148
69,6,16,155
70,6,18,160
71,6,20,160
72,6,21,157
73,7,0,41
74,7,2,49
75,7,4,57
76,7,6,71
77,7,8,89
78,7,10,112
79,7,12,146
80,7,14,174
81,7,16,218
82,7,18,250
83,7,20,288
84,7,21,305
96,9,0,42
97,9,2,51
98,9,4,59
99,9,6,68
100,9,8,85
101,9,10,96
102,9,12,90
103,9,14,92
104,9,16,93
105,9,18,100
106,9,20,100
107,9,21,98
108,10,0,41
109,10,2,44
110,10,4,52
111,10,6,63
112,10,8,74
113,10,10,81
114,10,12,89
115,10,14,96
116,10,16,101
117,10,18,112
118,10,20,120
119,10,21,124
120,11,0,43
121,11,2,51
122,11,4,63
123,11,6,84
124,11,8,112
125,11,10,139
126,11,12,168
127,11,14,177
128,11,16,182
129,11,18,184
130,11,20,181
131,11,21,175
132,12,0,41
133,12,2,49
134,12,4,56
135,12,6,62
136,12,8,72
137,12,10,88
138,12,12,119
139,12,14,135
140,12,16,162
141,12,18,185
142,12,20,195
143,12,21,205
144,13,0,41
145,13,2,48
146,13,4,53
147,13,6,60
148,13,8,65
149,13,10,67
150,13,12,71
151,13,14,70
152,13,16,71
153,13,18,81
154,13,20,91
155,13,21,96
156,14,0,41
