Chick,Age,weight
1,0,42.0
1,1,46.5
1,2,51.0
1,3,55.0
1,4,59.0
1,5,61.5
1,6,64.0
1,7,70.0
1,8,76.0
1,9,84.5
1,10,93.0
1,11,99.5
1,12,106.0
1,13,115.5
1,14,125.0
1,15,137.0
1,16,149.0
1,17,160.0
1,18,171.0
1,19,185.0
1,20,199.0
1,21,205.0
2,0,40.0
2,1,44.5
2,2,49.0
2,3,53.5
2,4,58.0
2,5,65.0
2,6,72.0
2,7,78.0
2,8,84.0
2,9,93.5
2,10,103.0
2,11,112.5
2,12,122.0
2,13,130.0
2,14,138.0
2,15,150.0
2,16,162.0
2,17,174.5
2,18,187.0
2,19,198.0
2,20,209.0
2,21,215.0
3,0,43.0
3,1,41.0
3,2,39.0
3,3,47.0
3,4,55.0
3,5,61.0
3,6,67.0
3,7,75.5
3,8,84.0
3,9,91.5
3,10,99.0
3,11,107.0
3,12,115.0
3,13,126.5
3,14,138.0
3,15,150.5
3,16,163.0
3,17,175.0
3,18,187.0
3,19,192.5
3,20,198.0
3,21,202.0
4,0,42.0
4,1,45.5
4,2,49.0
4,3,52.5
4,4,56.0
4,5,61.5
4,6,67.0
4,7,70.5
4,8,74.0
4,9,80.5
4,10,87.0
4,11,94.5
4,12,102.0
4,13,105.0
4,14,108.0
4,15,122.0
4,16,136.0
4,17,145.0
4,18,154.0
4,19,157.0
4,20,160.0
4,21,157.0
5,0,41.0
5,1,41.5
5,2,42.0
5,3,45.0
5,4,48.0
5,5,54.0
5,6,60.0
5,7,69.5
5,8,79.0
5,9,92.5
5,10,106.0
5,11,123.5
5,12,141.0
5,13,152.5
5,14,164.0
5,15,180.5
5,16,197.0
5,17,198.0
5,18,199.0
5,19,209.5
5,20,220.0
5,21,223.0
6,0,41.0
6,1,45.0
6,2,49.0
6,3,54.0
6,4,59.0
6,5,66.5
6,6,74.0
6,7,85.5
6,8,97.0
6,9,110.5
6,10,124.0
6,11,132.5
6,12,141.0
6,13,144.5
6,14,148.0
6,15,151.5
6,16,155.0
6,17,157.5
6,18,160.0
6,19,160.0
6,20,160.0
6,21,157.0
7,0,41.0
7,1,45.0
7,2,49.0
7,3,53.0
7,4,57.0
7,5,64.0
7,6,71.0
7,7,80.0
7,8,89.0
7,9,100.5
7,10,112.0
7,11,129.0
7,12,146.0
7,13,160.0
7,14,174.0
7,15,196.0
7,16,218.0
7,17,234.0
7,18,250.0
7,19,269.0
7,20,288.0
7,21,305.0
10,0,41.0
10,1,42.5
10,2,44.0
10,3,48.0
10,4,52.0
10,5,57.5
