Chick,age_min,age_max,n_records,start_weight,end_weight,total_growth,is_strictly_increasing,is_non_decreasing,decrease_count,non_decreasing_ratio,max_drop,max_drop_abs,max_drop_ratio,is_target_like_growth
1,0,21,22,42.0,205.0,163.0,True,True,0,1.0,2.5,0.0,0.0,True
2,0,21,22,40.0,215.0,175.0,True,True,0,1.0,4.5,0.0,0.0,True
3,0,21,22,43.0,202.0,159.0,False,False,2,0.9047619047619048,-2.0,2.0,0.012578616352201259,True
4,0,21,22,42.0,157.0,115.0,False,False,1,0.9523809523809523,-3.0,3.0,0.02608695652173913,True
5,0,21,22,41.0,223.0,182.0,True,True,0,1.0,0.5,0.0,0.0,True
6,0,21,22,41.0,157.0,116.0,False,False,1,0.9523809523809523,-3.0,3.0,0.02586206896551724,True
7,0,21,22,41.0,305.0,264.0,True,True,0,1.0,4.0,0.0,0.0,True
9,0,21,22,42.0,98.0,56.0,False,False,3,0.8571428571428571,-3.0,3.0,0.05357142857142857,False
10,0,21,22,41.0,124.0,83.0,True,True,0,1.0,1.5,0.0,0.0,True
11,0,21,22,43.0,175.0,132.0,False,False,3,0.8571428571428571,-6.0,6.0,0.045454545454545456,False
12,0,21,22,41.0,205.0,164.0,True,True,0,1.0,3.0,0.0,0.0,True
13,0,21,22,41.0,96.0,55.0,False,False,2,0.9047619047619048,-0.5,0.5,0.00909090909090909,True
14,0,21,22,41.0,266.0,225.0,True,True,0,1.0,4.0,0.0,0.0,True
17,0,21,22,42.0,142.0,100.0,True,True,0,1.0,2.5,0.0,0.0,True
19,0,21,22,43.0,157.0,114.0,True,True,0,1.0,1.5,0.0,0.0,True
20,0,21,22,41.0,117.0,76.0,True,True,0,1.0,2.0,0.0,0.0,True
21,0,21,22,40.0,331.0,291.0,True,True,0,1.0,5.0,0.0,0.0,True
22,0,21,22,41.0,167.0,126.0,True,True,0,1.0,1.5,0.0,0.0,True
23,0,21,22,43.0,175.0,132.0,True,True,0,1.0,3.5,0.0,0.0,True
24,0,21,22,42.0,74.0,32.0,False,False,3,0.8571428571428571,-4.0,4.0,0.125,False
25,0,21,22,40.0,265.0,225.0,True,True,0,1.0,4.5,0.0,0.0,True
26,0,21,22,42.0,251.0,209.0,True,True,0,1.0,3.0,0.0,0.0,True
27,0,21,22,39.0,192.0,153.0,True,True,0,1.0,3.5,0.0,0.0,True
28,0,21,22,39.0,233.0,194.0,True,True,0,1.0,2.5,0.0,0.0,True
29,0,21,22,39.0,309.0,270.0,True,True,0,1.0,4.5,0.0,0.0,True
30,0,21,22,42.0,150.0,108.0,False,False,1,0.9523809523809523,-7.0,7.0,0.06481481481481481,True
31,0,21,22,42.0,256.0,214.0,True,True,0,1.0,4.5,0.0,0.0,True
32,0,21,22,41.0,305.0,264.0,True,True,0,1.0,4.0,0.0,0.0,True
33,0,21,22,39.0,147.0,108.0,False,False,3,0.8571428571428571,-9.0,9.0,0.08333333333333333,False
34,0,21,22,41.0,341.0,300.0,True,True,0,1.0,4.0,0.0,0.0,True
35,0,21,22,41.0,373.0,332.0,True,True,0,1.0,5.5,0.0,0.0,True
36,0,21,22,39.0,220.0,181.0,False,False,3,0.8571428571428571,-5.0,5.0,0.027624309392265192,False
37,0,21,22,41.0,178.0,137.0,True,True,0,1.0,1.5,0.0,0.0,True
38,0,21,22,41.0,290.0,249.0,True,True,0,1.0,4.0,0.0,0.0,True
39,0,21,22,42.0,272.0,230.0,True,True,0,1.0,4.0,0.0,0.0,True
40,0,21,22,41.0,321.0,280.0,True,True,0,1.0,5.5,0.0,0.0,True
41,0,21,22,42.0,204.0,162.0,False,False,2,0.9047619047619048,-1.0,1.0,0.006172839506172839,True
42,0,21,22,42.0,281.0,239.0,True,True,0,1.0,3.5,0.0,0.0,True
43,0,21,22,42.0,200.0,158.0,True,True,0,1.0,0.5,0.0,0.0,True
45,0,21,22,41.0,196.0,155.0,False,False,1,0.9523809523809523,-1.0,1.0,0.0064516129032258064,True
46,0,21,22,40.0,238.0,198.0,True,True,0,1.0,5.0,0.0,0.0,True
47,0,21,22,41.0,205.0,164.0,False,False,1,0.9523809523809523,-5.0,5.0,0.03048780487804878,True
48,0,21,22,39.0,322.0,283.0,True,True,0,1.0,5.5,0.0,0.0,True
49,0,21,22,40.0,237.0,197.0,True,True,0,1.0,4.0,0.0,0.0,True
50,0,21,22,41.0,264.0,223.0,False,True,0,1.0,0.0,0.0,0.0,True
