Age,min,max,range,p25,p75,IQR,median,std,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03508771929824572,0.016666666666666663,0.01282051282051282,0.025688073394495414,0.019375672766415497,0.010416666666666666,0.02247191011235955,0.010323318562571668,0.02244788882950291
2,0.0,0.03636363636363635,0.04395604395604395,0.05137614678899083,0.03982777179763186,0.0234375,0.0449438202247191,0.03374490447298006,0.04489577765900585
3,0.10526315789473695,0.05757575757575756,0.047619047619047616,0.08440366972477065,0.06458557588805167,0.036458333333333336,0.08146067415730335,0.039608403079127226,0.07322287546766429
4,0.1578947368421053,0.07878787878787877,0.06227106227106227,0.11743119266055047,0.09041980624327231,0.052083333333333336,0.11235955056179775,0.05148741430118045,0.10154997327632279
5,0.26315789473684215,0.11969696969696969,0.08974358974358974,0.1651376146788991,0.13132400430570504,0.08333333333333333,0.14747191011235955,0.0805986226899318,0.14076696953500797
6,0.3333333333333335,0.16060606060606059,0.12454212454212454,0.21467889908256876,0.16576964477933262,0.09635416666666666,0.1853932584269663,0.11472715676858397,0.17998396579369316
7,0.3947368421052633,0.21363636363636362,0.1758241758241758,0.26422018348623855,0.21367061356297093,0.14192708333333334,0.2387640449438202,0.16443773439938772,0.22755211117049703
8,0.45614035087719307,0.26666666666666666,0.2271062271062271,0.31376146788990833,0.25941872981700753,0.18229166666666666,0.2808988764044944,0.21852807026356325,0.2751202565473009
9,0.47368421052631593,0.30606060606060603,0.27106227106227104,0.3706422018348624,0.3078579117330462,0.21875,0.3412921348314607,0.2665694945651442,0.32335649385355425
10,0.49122807017543857,0.36363636363636365,0.33699633699633696,0.4128440366972477,0.3530678148546824,0.26822916666666663,0.3904494382022472,0.3187903742514855,0.3715927311598075
11,0.5263157894736843,0.4454545454545455,0.42857142857142855,0.4752293577981652,0.41657696447793324,0.3333333333333333,0.4676966292134831,0.3840011783223457,0.43446018172100476
12,0.5614035087719298,0.5272727272727273,0.5201465201465202,0.5431192660550459,0.4822389666307857,0.3958333333333333,0.5308988764044944,0.45342080563670417,0.497327632282202
13,0.5526315789473684,0.562121212121212,0.5641025641025642,0.571559633027523,0.5102260495156081,0.4231770833333333,0.5660112359550562,0.49002886741553464,0.5351416354890431
14,0.5438596491228069,0.5969696969696969,0.6080586080586081,0.6128440366972477,0.5554359526372443,0.4739583333333333,0.6067415730337078,0.5320388910782106,0.5729556386958845
15,0.5526315789473684,0.665151515151515,0.6886446886446886,0.6981651376146789,0.6340150699677072,0.54296875,0.6699438202247191,0.5974349410773425,0.6398984500267237
16,0.5614035087719298,0.7393939393939395,0.7765567765567766,0.761467889908257,0.6749192680301399,0.5520833333333334,0.7247191011235955,0.6701327071892442,0.7068412613575626
17,0.6491228070175439,0.8075757575757576,0.8406593406593407,0.8284403669724771,0.7459634015069967,0.62890625,0.8202247191011236,0.73654928839181,0.7734500267236771
18,0.736842105263158,0.8757575757575757,0.9047619047619048,0.8899082568807339,0.8202368137782562,0.7213541666666666,0.8848314606741572,0.8106097536364514,0.8400587920897914
19,0.8245614035087718,0.9196969696969697,0.9395604395604397,0.9146788990825689,0.9041980624327232,0.8893229166666666,0.9157303370786516,0.8655586333135784,0.8971138428647781
20,0.9122807017543859,0.9636363636363636,0.9743589743589745,0.9449541284403671,0.9612486544671689,0.984375,0.9550561797752808,0.9271737179713102,0.9541688936397646
21,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999
