Age,min,max,range,p25,p75,IQR,median,std,mean
0,39.0,43.0,4.0,41.0,42.0,1.0,41.0,1.0472797485843368,41.075
1,41.0,48.5,7.5,44.5,46.5,2.0,45.0,1.735563161391566,45.275
2,39.0,55.0,16.0,48.0,51.25,3.25,49.0,3.297143285657123,49.475
3,45.0,62.0,17.0,52.5,57.0,4.5,55.5,3.688078507424032,54.775
4,48.0,69.0,21.0,57.0,63.0,6.0,61.0,4.480084133825374,60.075
5,54.0,82.5,28.5,63.5,72.5,9.0,67.25,6.421006690782756,67.4125
6,58.0,96.0,38.0,70.25,80.5,10.25,74.0,8.69644784542546,74.75
7,61.5,113.5,52.0,77.0,91.625,14.625,83.5,12.010785751106143,83.65
8,65.0,131.0,66.0,83.75,102.25,18.5,91.0,15.617133917427736,92.55
9,66.0,144.0,78.0,91.5,113.5,22.0,101.75,18.820184881513757,101.575
10,67.0,163.0,96.0,97.25,124.0,26.75,110.5,22.30189137661555,110.6
11,69.0,190.0,121.0,105.75,138.75,33.0,124.25,26.64967106642628,122.3625
12,71.0,217.0,146.0,115.0,154.0,39.0,135.5,31.27806432137877,134.125
13,70.5,228.5,158.0,118.875,160.5,41.625,141.75,33.718822256404124,141.2
14,70.0,240.0,170.0,124.5,171.0,46.5,149.0,36.51974351863203,148.275
15,70.5,262.5,192.0,136.125,189.25,53.125,160.25,40.87987405269374,160.8
16,71.0,287.0,216.0,144.75,198.75,54.0,170.0,45.72682963772963,173.325
17,76.0,309.5,233.5,153.875,215.25,61.375,187.0,50.15500173181084,185.7875
18,81.0,332.0,251.0,162.25,232.5,70.25,198.5,55.09281213296294,198.25
19,86.0,346.5,260.5,165.625,252.0,86.375,204.0,58.7564017243206,208.925
20,91.0,361.0,270.0,169.75,265.25,95.5,211.0,62.86444513028379,219.6
21,96.0,373.0,277.0,177.25,274.25,97.0,219.0,67.71996921713145,228.175
