age,min,max,range,p25,p75,IQR,median,std,mean
0,20.0,45.0,25.0,35.0,41.25,6.25,38.0,5.183169708484409,37.166666666666664
1,22.0,65.0,43.0,42.5,52.0,9.5,48.0,9.504175081069961,46.395833333333336
2,28.0,84.0,56.0,53.75,67.25,13.5,61.5,12.822229699552457,58.875
3,40.0,101.0,61.0,63.75,88.0,24.25,79.0,15.663346562338296,74.75
4,52.0,141.0,89.0,81.75,110.0,28.25,102.0,20.48792024307311,98.22916666666667
5,72.0,194.0,122.0,113.0,149.75,36.75,131.5,26.99799703629199,133.29166666666666
6,100.0,261.0,161.0,146.5,182.25,35.75,159.0,36.185078818181594,167.79166666666666
7,132.0,316.0,184.0,175.25,219.75,44.5,191.5,37.26495487320664,198.5625
8,153.0,314.0,161.0,205.75,261.0,55.25,230.5,37.75729110933269,234.5625
9,190.0,379.0,189.0,245.5,307.25,61.75,270.5,44.54067688263303,277.1458333333333
10,250.0,452.0,202.0,284.5,342.5,58.0,314.5,46.226043249104556,317.5625
11,283.0,453.0,170.0,325.5,378.25,52.75,347.0,40.83592407470977,357.0416666666667
12,322.0,612.0,290.0,376.25,451.0,74.75,394.0,54.89299310011581,414.3125
13,389.0,633.0,244.0,436.75,516.5,79.75,459.5,56.37953957127979,477.1666666666667
14,437.0,673.0,236.0,497.0,560.25,63.25,516.0,48.96187817255785,528.6041666666666
15,506.0,750.0,244.0,563.5,607.5,44.0,579.0,47.56223526501099,591.5625
16,551.0,812.0,261.0,629.25,677.0,47.75,657.0,52.13360835936235,661.0416666666666
17,637.0,912.0,275.0,704.75,767.0,62.25,737.5,56.28829271849628,741.3958333333334
18,729.0,1060.0,331.0,789.25,851.25,62.0,814.0,68.72133831951712,828.125
19,794.0,1176.0,382.0,857.75,948.5,90.75,887.5,73.21376151985721,904.5208333333334
20,879.0,1293.0,414.0,944.5,1053.5,109.0,983.0,86.99730726655397,1002.9791666666666
21,956.0,1465.0,509.0,1024.25,1146.5,122.25,1070.5,109.92806924439917,1095.7708333333333
