contract_id,chicken_import_id,building_number,age,avg_weight
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,0,41.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,1,58.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,2,72.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,3,90.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,4,88.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,5,149.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,6,134.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,7,163.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,8,202.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,9,246.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,10,273.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,11,326.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,12,374.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,13,440.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,14,500.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,15,566.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,16,641.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,17,719.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,18,797.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,19,889.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,20,982.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,21,1081.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,0,20.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,1,23.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,2,28.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,3,46.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,4,65.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,5,90.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,6,112.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,7,135.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,8,181.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,9,227.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,10,268.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,11,314.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,12,355.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,13,407.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,14,484.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,15,536.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,16,551.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,17,657.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,18,732.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,19,817.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,20,903.0
1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,21,987.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,0,34.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,1,45.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,2,63.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,3,83.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,4,103.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,5,128.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,6,149.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,7,183.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,8,215.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,9,267.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,10,298.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,11,343.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,12,436.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,13,493.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,14,533.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,15,588.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,16,667.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,17,740.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,18,829.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,19,915.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,20,985.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,21,1010.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,0,31.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,1,43.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,2,60.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,3,82.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,4,119.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,5,137.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,6,157.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,7,190.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,8,216.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,9,262.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,10,295.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,11,348.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,12,407.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,13,474.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,14,569.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,15,602.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,16,674.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,17,752.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,18,825.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,19,906.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,20,997.0
62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,21,1058.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,0,38.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,1,45.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,2,53.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,3,63.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,4,78.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,5,98.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,6,124.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,7,167.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,8,205.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,9,249.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,10,287.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,11,329.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,12,430.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,13,513.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,14,499.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,15,575.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,16,648.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,17,719.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,18,799.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,19,886.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,20,988.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,21,1069.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,0,38.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,1,48.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,2,65.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,3,89.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,4,136.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,5,168.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,6,206.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,7,218.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,8,242.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,9,285.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,10,338.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,11,409.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,12,422.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,13,485.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,14,504.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,15,566.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,16,617.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,17,704.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,18,773.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,19,839.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,20,940.0
a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,下層,21,1012.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,0,33.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,1,35.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,2,38.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,3,45.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,4,73.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,5,113.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,6,147.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,7,176.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,8,216.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,9,259.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,10,314.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,11,390.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,12,451.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,13,540.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,14,587.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,15,649.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,16,736.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,17,804.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,18,913.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,19,997.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,20,1123.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟上層,21,1210.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,0,38.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,1,52.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,2,65.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,3,98.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,4,109.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,5,127.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,6,161.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,7,194.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,8,231.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,9,274.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,10,319.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,11,378.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,12,451.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,13,570.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,14,673.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,15,750.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,16,812.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,17,912.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,18,1001.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,19,1176.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,20,1197.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,A棟下層,21,1278.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,0,42.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,1,65.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,2,38.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,3,53.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,4,68.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,5,145.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,6,175.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,7,146.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,8,182.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,9,274.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,10,327.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,11,405.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,12,481.0
f5db36da-e119-40db-923f-0e06f6ab5a2c,G11212102,B棟上層,13,535.0
