age,min,max,range,p25,p75,IQR,median,std,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0011025358324145522,0.0086617583369424,0.03636363636363637,0.003952048478461336,0.005326396630744457,0.021452145214521448,0.005149330587023687,0.041252656613642295,0.004705457480933872
2,0.004410143329658212,0.016890428757037678,0.06262626262626264,0.009880121196153339,0.012882447665056362,0.04785478547854785,0.012100926879505664,0.07293013812523425,0.011067915790368154
3,0.011025358324145536,0.024252923343438714,0.07272727272727272,0.015149519167435122,0.023163631859284037,0.1188118811881188,0.021112255406797117,0.10005429286091835,0.019161727529581712
4,0.017640573318632856,0.04157644001732351,0.1292929292929293,0.024634435515742327,0.03406416449894711,0.14521452145214522,0.032955715756951595,0.14611451824765018,0.031132496335478942
5,0.02866593164277839,0.06453009961022087,0.19595959595959597,0.04110130417599789,0.0537594450637929,0.20132013201320131,0.04814624098867147,0.20826624899599766,0.04900898604295456
6,0.044101433296582136,0.0935469900389779,0.27474747474747474,0.05875378737979186,0.06986250464511334,0.19471947194719472,0.06230690010298662,0.2959753577219987,0.06659868714549741
7,0.061742006615215,0.1173668254655695,0.3212121212121212,0.07390330654722696,0.08844295800817539,0.2524752475247525,0.0790422245108136,0.30628493899812353,0.08228708601533788
8,0.0733186328555678,0.11650064963187527,0.27474747474747474,0.08997497035963639,0.10888145670754368,0.32343234323432346,0.09912461380020597,0.31098527513198215,0.10064155673103478
9,0.09371554575523705,0.14465136422693808,0.33131313131313134,0.1109208272954815,0.13179734918865355,0.36633663366336633,0.11972193614830073,0.37574628787202935,0.12235251630446328
10,0.12679162072767367,0.17626678215677782,0.3575757575757576,0.13147147938348044,0.14926297534993188,0.3415841584158416,0.14237899073120494,0.39183648771888346,0.14295880865889152
11,0.1449834619625138,0.17669987007362495,0.29292929292929293,0.15307601106573573,0.16697634088938437,0.3069306930693069,0.15911431513903193,0.3403769971062009,0.16308712000509848
12,0.16648291069459759,0.24556084885231702,0.5353535353535354,0.17981820576999077,0.20302242041372479,0.4521452145214522,0.18331616889804325,0.47457989469536865,0.19228644870732692
13,0.20341786108048512,0.2546556951061065,0.44242424242424244,0.21169806349624554,0.23547627895453982,0.48514851485148514,0.2170442842430484,0.48877196015870206,0.22433241985851762
14,0.2298787210584344,0.2719792117799913,0.4262626262626263,0.24344618627321826,0.2571534745447789,0.37623762376237624,0.24613800205973224,0.41795551533335207,0.25055764450959145
15,0.2679162072767365,0.30532698137721953,0.44242424242424244,0.27848768278224206,0.2805648457822371,0.2491749174917492,0.2785787847579815,0.40459311856035257,0.2826567246616956
16,0.292723263506064,0.332178432221741,0.47676767676767673,0.3131339744434198,0.3150006193484455,0.2739273927392739,0.31874356333676623,0.44823603687528146,0.3180804282709833
17,0.3401323042998898,0.375487223906453,0.5050505050505051,0.35291792912659725,0.3595937074197944,0.36963696369636967,0.3601956745623069,0.48790082606828056,0.35904871157563784
18,0.3908489525909592,0.43958423559982673,0.6181818181818182,0.3974443419839283,0.4013377926421405,0.367986798679868,0.3995880535530381,0.6065991651387936,0.4032672657361969
19,0.4266813671444322,0.48982243395409264,0.7212121212121212,0.4335397180872085,0.44952310169701476,0.5577557755775577,0.43743563336766217,0.6494883484808402,0.4422174070061394
20,0.4735391400220507,0.5404937202252057,0.7858585858585858,0.4792517454880779,0.5015483711135885,0.6782178217821783,0.48661174047373845,0.7810799181683998,0.49241603466955575
21,0.515986769570011,0.6149848419229104,0.9777777777777777,0.5212751943090502,0.5476278954539824,0.7656765676567657,0.5316683831101957,0.9999999999999999,0.539725532683279
22,0.5562293274531422,0.5786054569077522,0.6606060606060606,0.5642207877749967,0.5859036293818902,0.7376237623762376,0.5746652935118435,0.7767297463191619,0.5774541669322116
23,0.5948180815876516,0.6180164573408401,0.703030303030303,0.6104597549729943,0.6319831537222841,0.7722772277227723,0.6176622039134912,0.8123246562662153,0.622671170309944
24,0.6560088202866593,0.6704200952793417,0.7232323232323232,0.653800553286787,0.6836368140715966,0.9174917491749175,0.6627188465499485,0.8654996764952025,0.6692690077114269
25,0.7155457552370452,0.7180597661325249,0.7272727272727273,0.7020155447240153,0.7313266443701226,0.9488448844884488,0.7144696189495365,0.8803175733509533,0.7187241093620547
26,0.7574421168687983,0.7531398873971415,0.7373737373737373,0.7493083915162693,0.7634088938436764,0.7838283828382838,0.7538619979402678,0.894027497535991,0.7610732266904595
27,0.814773980154355,0.747509744478129,0.501010101010101,0.7898827558951389,0.8063916759568933,0.8481848184818482,0.8048403707518023,0.7063822651639144,0.8013723365836041
28,0.8539140022050716,0.7864876569943698,0.5393939393939394,0.83440916875247,0.8591601635079896,0.9933993399339934,0.8630278063851698,0.754253663091812,0.8502432392241837
29,0.8996692392502756,0.8371589432654828,0.6080808080808081,0.8956659201686207,0.9172550476898302,1.0,0.9039649845520082,0.8345468546388648,0.9011110402991098
30,0.9410143329658214,0.877436119532265,0.6444444444444445,0.946779080490054,0.9612287873157438,0.9455445544554456,0.9590628218331616,0.8346325631310256,0.9515114821659975
31,1.0,1.0,1.0,1.0,0.9999999999999999,0.7953795379537953,1.0,0.9028125992660924,0.9999999999999999
