age,min,max,range,p25,p75,IQR,median,std,mean
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0021367521367521396,0.014084507042253523,0.03719008264462811,0.007581501137225173,0.00972630626555078,0.028017241379310345,0.009685230024213072,0.041252656613642295,0.008718241394918627
2,0.008547008547008551,0.02746478873239437,0.06404958677685951,0.01895375284306293,0.02352408957249491,0.0625,0.02276029055690073,0.07293013812523425,0.020506563281050126
3,0.021367521367521368,0.03943661971830986,0.0743801652892562,0.029062421026029815,0.042298122596697574,0.15517241379310343,0.03970944309927361,0.10005429286091835,0.03550272568043611
4,0.03418803418803419,0.06760563380281691,0.1322314049586777,0.04725802375537023,0.06220312146573173,0.1896551724137931,0.06198547215496369,0.14611451824765018,0.05768208922913429
5,0.05555555555555556,0.10492957746478875,0.20041322314049587,0.07884761182714176,0.09816783533137298,0.2629310344827586,0.09055690072639225,0.20826624899599766,0.09080353452856552
6,0.08547008547008547,0.15211267605633805,0.2809917355371901,0.11271165024008087,0.12757294729699165,0.25431034482758624,0.1171912832929782,0.2959753577219987,0.12339361974297916
7,0.11965811965811968,0.19084507042253523,0.3285123966942149,0.1417740712661107,0.1615019226419362,0.32974137931034486,0.1486682808716707,0.30628493899812353,0.15246098439375752
8,0.14209401709401712,0.18943661971830988,0.2809917355371901,0.1726055092241597,0.19882379552137525,0.4224137931034483,0.1864406779661017,0.31098527513198215,0.18646802983488478
9,0.18162393162393164,0.23521126760563382,0.3388429752066116,0.21278746525145312,0.24066953178014022,0.478448275862069,0.225181598062954,0.37574628787202935,0.226693956271033
10,0.24572649572649577,0.28661971830985916,0.365702479338843,0.25221127116502395,0.27256276860438816,0.44612068965517243,0.2677966101694915,0.39183648771888346,0.264873162379706
11,0.28098290598290604,0.28732394366197184,0.29958677685950413,0.29365681071518823,0.30490839176656864,0.40086206896551724,0.299273607748184,0.3403769971062009,0.302166768346683
12,0.3226495726495727,0.39929577464788735,0.5475206611570248,0.3449583017437452,0.3707306039357611,0.5905172413793103,0.3447941888619855,0.47457989469536865,0.35626709700273557
13,0.3942307692307693,0.4140845070422535,0.4524793388429752,0.4061157442506949,0.429993214204931,0.6336206896551724,0.40823244552058113,0.48877196015870206,0.4156416665026667
14,0.4455128205128206,0.4422535211267606,0.43595041322314054,0.46702047005307046,0.46957701877403296,0.49137931034482757,0.462953995157385,0.41795551533335207,0.46423159427705507
15,0.5192307692307693,0.4964788732394367,0.4524793388429752,0.5342431134698002,0.5123275277086632,0.3254310344827586,0.5239709443099274,0.40459311856035257,0.5237045637927302
16,0.5673076923076923,0.5401408450704226,0.487603305785124,0.6007076067728077,0.5752092286812939,0.3577586206896552,0.5995157384987894,0.44823603687528146,0.5893373742939798
17,0.6591880341880342,0.6105633802816902,0.5165289256198348,0.6770280515542076,0.6566387695091609,0.4827586206896552,0.6774818401937046,0.48790082606828056,0.6652431464389035
18,0.7574786324786326,0.7147887323943662,0.6322314049586777,0.7624462977002779,0.7328658674508031,0.48060344827586204,0.7515738498789346,0.6065991651387936,0.7471709995473601
19,0.826923076923077,0.7964788732394367,0.737603305785124,0.8316906747536011,0.8208550101786927,0.728448275862069,0.8227602905569007,0.6494883484808402,0.8193375710940114
20,0.9177350427350428,0.8788732394366198,0.8037190082644629,0.9193833712408389,0.9158561411445375,0.8857758620689654,0.9152542372881356,0.7810799181683998,0.9123452659752427
21,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0
22,1.0779914529914532,0.9408450704225353,0.6756198347107438,1.08238564569118,1.0698936892105857,0.9633620689655171,1.0808716707021793,0.7767297463191619,1.0699033711845394
23,1.152777777777778,1.0049295774647886,0.71900826446281,1.1710892089967146,1.1540375480660483,1.0086206896551724,1.1617433414043585,0.8123246562662153,1.1536811445889832
24,1.2713675213675215,1.0901408450704226,0.7396694214876033,1.2542330048016173,1.2483600995249944,1.1982758620689655,1.246489104116223,0.8654996764952025,1.2400173184027712
25,1.386752136752137,1.167605633802817,0.7438016528925621,1.3467273186757642,1.3354444695770187,1.2392241379310345,1.3438256658595642,0.8803175733509533,1.3316474130635862
26,1.4679487179487183,1.2246478873239437,0.7541322314049587,1.4374526156178922,1.3940285003392896,1.023706896551724,1.4179176755447942,0.894027497535991,1.4101115856178539
27,1.5790598290598292,1.2154929577464788,0.5123966942148761,1.5152893606267372,1.4725175299705948,1.107758620689655,1.5138014527845038,0.7063822651639144,1.484777517564403
28,1.6549145299145303,1.2788732394366198,0.5516528925619835,1.6007076067728074,1.5688758199502375,1.2974137931034482,1.6232445520581116,0.754253663091812,1.575325212052034
29,1.7435897435897438,1.361267605633803,0.621900826446281,1.7182208743997978,1.6749604161954308,1.3060344827586206,1.7002421307506055,0.8345468546388648,1.6695727471316397
30,1.823717948717949,1.4267605633802818,0.6590909090909092,1.8162749557745765,1.7552589911784664,1.2349137931034482,1.8038740920096854,0.8346325631310256,1.7629543620726982
31,1.9380341880341883,1.626056338028169,1.0227272727272727,1.9183725044225421,1.8260574530649174,1.0387931034482758,1.8808716707021793,0.9028125992660924,1.8527935764469725
