,contract_id,chicken_import_id,building_number,age,avg_weight
36,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,0,41.0
37,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,1,58.0
38,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,2,72.0
39,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,3,90.0
40,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,4,88.0
41,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,5,149.0
42,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,6,134.0
43,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,7,163.0
44,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,8,202.0
45,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,9,246.0
46,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,10,273.0
47,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,11,326.0
48,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,12,374.0
49,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,13,440.0
50,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,14,500.0
51,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,15,566.0
52,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,16,641.0
53,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,17,719.0
54,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,18,797.0
55,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,19,889.0
56,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,20,982.0
57,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,21,1081.0
58,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,22,1191.0
59,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,23,1285.0
60,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,24,1361.0
61,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,25,1404.0
62,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,26,1485.0
63,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,27,1580.0
64,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,28,1656.0
65,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,29,1736.0
66,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,30,1878.0
67,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11303103,下層,31,1976.0
70,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,0,20.0
71,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,1,23.0
72,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,2,28.0
73,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,3,46.0
74,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,4,65.0
75,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,5,90.0
76,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,6,112.0
77,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,7,135.0
78,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,8,181.0
79,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,9,227.0
80,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,10,268.0
81,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,11,314.0
82,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,12,355.0
83,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,13,407.0
84,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,14,484.0
85,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,15,536.0
86,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,16,551.0
87,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,17,657.0
88,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,18,732.0
89,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,19,817.0
90,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,20,903.0
91,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,21,987.0
92,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,22,1089.0
93,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,23,1184.0
94,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,24,1302.0
95,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,25,1414.0
96,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,26,1530.0
97,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,27,1616.0
98,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,28,1727.0
99,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,29,1807.0
100,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,30,1931.0
101,1163b6f9-48f9-4ec6-8aba-927c6e03be46,A11305106,下層,31,2011.0
104,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,0,34.0
105,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,1,45.0
106,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,2,63.0
107,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,3,83.0
108,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,4,103.0
109,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,5,128.0
110,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,6,149.0
111,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,7,183.0
112,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,8,215.0
113,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,9,267.0
114,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,10,298.0
115,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,11,343.0
116,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,12,436.0
117,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,13,493.0
118,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,14,533.0
119,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,15,588.0
120,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,16,667.0
121,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,17,740.0
122,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,18,829.0
123,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,19,915.0
124,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,20,985.0
125,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,21,1010.0
126,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,22,1044.0
127,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,23,1137.0
128,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,24,1226.0
129,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,25,1320.0
130,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,26,1409.0
131,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,27,1519.0
132,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,28,1603.0
133,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,29,1686.0
134,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,30,1803.0
135,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,上層,31,1902.0
138,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,0,31.0
139,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,1,43.0
140,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,2,60.0
141,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,3,82.0
142,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,4,119.0
143,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,5,137.0
144,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,6,157.0
145,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,7,190.0
146,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,8,216.0
147,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,9,262.0
148,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,10,295.0
149,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,11,348.0
150,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,12,407.0
151,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,13,474.0
152,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,14,569.0
153,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,15,602.0
154,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,16,674.0
155,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,17,752.0
156,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,18,825.0
157,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,19,906.0
158,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,20,997.0
159,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,21,1058.0
160,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,22,1039.0
161,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,23,1124.0
162,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,24,1210.0
163,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,25,1318.0
164,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,26,1394.0
165,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,27,1502.0
166,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,28,1597.0
167,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,29,1661.0
168,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,30,1778.0
169,62c0b26d-85a0-479e-8607-3e7eca0a4fe2,G11211103,下層,31,1905.0
172,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,0,38.0
173,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,1,45.0
174,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,2,53.0
175,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,3,63.0
176,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,4,78.0
177,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,5,98.0
178,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,6,124.0
179,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,7,167.0
180,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,8,205.0
181,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,9,249.0
182,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,10,287.0
183,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,11,329.0
184,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,12,430.0
185,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,13,513.0
186,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,14,499.0
187,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,15,575.0
188,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,16,648.0
189,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,17,719.0
190,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,18,799.0
191,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,19,886.0
192,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,20,988.0
193,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,21,1069.0
194,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,22,1178.0
195,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,23,1295.0
196,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,24,1393.0
197,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,25,1497.0
198,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,26,1571.0
199,a1e231c6-87ab-43fa-9047-e292b19f146d,G11212101,上層,27,1719.0
