epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,2.070218324661255,1e-05,1.2147819,2.065264,1.4371027,0.011352158151566982,0.06549251079559326,0.006397891789674759,0.0799868255853653
1,2.069279432296753,1e-05,1.2144948,2.064325,1.4367759,0.011343647725880146,0.06543295085430145,0.0063893841579556465,0.07993362098932266
2,2.0683398246765137,1e-05,1.2142079,2.0633855,1.4364489,0.011335122399032116,0.06537342071533203,0.006380862090736628,0.07988029718399048
3,2.067401647567749,1e-05,1.2139212,2.0624473,1.4361223,0.011326644569635391,0.06531403958797455,0.006372386589646339,0.07982722669839859
4,2.0664632320404053,1e-05,1.2136345,2.061509,1.4357955,0.011318111792206764,0.06525436043739319,0.006363857537508011,0.07977379113435745
5,2.0655252933502197,5e-06,1.2133476,2.060571,1.4354689,0.011313872411847115,0.06522458791732788,0.006359619554132223,0.07974722236394882
6,2.0650556087493896,5e-06,1.2132043,2.0601013,1.4353052,0.011309662833809853,0.06519481539726257,0.006355410907417536,0.07972083240747452
7,2.064587116241455,5e-06,1.2130606,2.0596328,1.435142,0.011305410414934158,0.06516531109809875,0.006351160351186991,0.07969416677951813
8,2.0641167163848877,5e-06,1.212917,2.0591624,1.4349781,0.011301214806735516,0.06513580679893494,0.00634696613997221,0.07966785132884979
9,2.0636484622955322,2.5e-06,1.2127739,2.0586941,1.434815,0.011299079284071922,0.06512081623077393,0.006344830151647329,0.07965444028377533
10,2.063413143157959,2.5e-06,1.2127018,2.0584588,1.434733,0.011297020129859447,0.06510625779628754,0.006342771463096142,0.07964152097702026
11,2.063178300857544,2.5e-06,1.21263,2.058224,1.4346511,0.011294882744550705,0.06509138643741608,0.0063406359404325485,0.0796281099319458
12,2.062943696975708,2.5e-06,1.2125584,2.0579894,1.4345694,0.011292808689177036,0.06507669389247894,0.00633856188505888,0.07961508631706238
13,2.0627083778381348,1.25e-06,1.2124863,2.057754,1.4344873,0.011291753500699997,0.06506933271884918,0.0063375080935657024,0.07960847020149231
14,2.0625905990600586,1.25e-06,1.21245,2.0576363,1.4344463,0.011290738359093666,0.06506209075450897,0.006336492020636797,0.07960208505392075
15,2.062474012374878,1.25e-06,1.2124144,2.0575197,1.4344057,0.01128961518406868,0.06505434215068817,0.006335368845611811,0.07959502935409546
16,2.062356472015381,1.25e-06,1.2123786,2.0574021,1.4343647,0.01128858420997858,0.06504717469215393,0.006334339268505573,0.07958856225013733
17,2.062239170074463,6.25e-07,1.2123425,2.0572848,1.4343238,0.01128807757049799,0.06504350900650024,0.0063338326290249825,0.07958538085222244
18,2.062180995941162,6.25e-07,1.2123249,2.0572267,1.4343035,0.011287570931017399,0.06503987312316895,0.006333326920866966,0.07958219945430756
19,2.0621232986450195,6.25e-07,1.2123073,2.057169,1.4342834,0.011286992579698563,0.06503605842590332,0.00633274856954813,0.07957857102155685
20,2.062065362930298,6.25e-07,1.2122896,2.057111,1.4342632,0.011286534368991852,0.06503267586231232,0.0063322908245027065,0.07957569509744644
21,2.062007188796997,3.125e-07,1.2122718,2.0570529,1.434243,0.011286266148090363,0.06503094732761383,0.006332022603601217,0.07957400381565094
22,2.061978578567505,3.125e-07,1.212263,2.0570242,1.434233,0.01128605380654335,0.06502938270568848,0.00633180933073163,0.07957267016172409
23,2.0619494915008545,3.125e-07,1.2122542,2.0569952,1.4342228,0.011285834014415741,0.06502765417098999,0.006331590004265308,0.07957129180431366
24,2.0619213581085205,3.125e-07,1.2122457,2.056967,1.434213,0.011285586282610893,0.06502602994441986,0.006331341806799173,0.0795697271823883
25,2.0618929862976074,1.5625e-07,1.2122366,2.0569386,1.4342031,0.011285435408353806,0.06502512097358704,0.00633119186386466,0.0795687884092331
26,2.061877965927124,1.5625e-07,1.2122322,2.0569236,1.4341979,0.011285334825515747,0.06502404808998108,0.0063310908153653145,0.07956815510988235
27,2.0618631839752197,1.5625e-07,1.2122276,2.0569088,1.4341928,0.011285265907645226,0.06502366065979004,0.006331021431833506,0.07956771552562714
28,2.0618488788604736,1.5625e-07,1.2122233,2.0568945,1.4341878,0.011285120621323586,0.06502273678779602,0.006330876611173153,0.07956680655479431
29,2.061833620071411,1e-07,1.2122185,2.0568793,1.4341824,0.011285032145678997,0.06502231955528259,0.006330789532512426,0.07956625521183014
30,2.061823844909668,1e-07,1.2122157,2.0568695,1.4341791,0.011284922249615192,0.06502129137516022,0.0063306791707873344,0.07956556230783463
31,2.061814308166504,1e-07,1.2122127,2.05686,1.4341757,0.011284860782325268,0.06502096354961395,0.0063306172378361225,0.07956517487764359
32,2.061805009841919,1e-07,1.2122098,2.0568507,1.4341725,0.011284773238003254,0.06502038240432739,0.006330529227852821,0.07956462353467941
33,2.061795473098755,1e-07,1.212207,2.0568411,1.4341692,0.011284717358648777,0.06502005457878113,0.006330473348498344,0.07956427335739136
34,2.06178617477417,1e-07,1.2122041,2.0568318,1.434166,0.011284616775810719,0.06501930952072144,0.006330373231321573,0.07956364005804062
35,2.0617763996124268,1e-07,1.2122011,2.056822,1.4341625,0.011284557171165943,0.06501887738704681,0.0063303131610155106,0.07956326752901077
36,2.0617668628692627,1e-07,1.2121983,2.0568125,1.4341592,0.011284478940069675,0.06501826643943787,0.00633023539558053,0.07956277579069138
37,2.0617573261260986,1e-07,1.2121954,2.056803,1.4341558,0.011284404434263706,0.06501775979995728,0.006330161355435848,0.07956231385469437
38,2.0617480278015137,1e-07,1.2121925,2.0567937,1.4341526,0.011284335516393185,0.06501740217208862,0.006330092903226614,0.07956188172101974
39,2.0617380142211914,1e-07,1.2121894,2.0567837,1.4341491,0.011284234933555126,0.06501664221286774,0.0063299923203885555,0.079561248421669
40,2.0617289543151855,1e-07,1.2121866,2.0567746,1.4341459,0.011284156702458858,0.06501613557338715,0.006329912692308426,0.07956074923276901
41,2.0617194175720215,1e-07,1.2121836,2.056765,1.4341426,0.011284098960459232,0.0650157630443573,0.0063298549503088,0.07956038415431976
42,2.0617101192474365,1e-07,1.2121809,2.0567558,1.4341394,0.01128396112471819,0.06501476466655731,0.006329718045890331,0.07955952733755112
43,2.061699867248535,1e-07,1.2121775,2.0567455,1.4341358,0.011283918283879757,0.06501451134681702,0.006329675670713186,0.07955925911664963
44,2.0616908073425293,1e-07,1.2121748,2.0567365,1.4341327,0.011283851228654385,0.06501404941082001,0.006329608615487814,0.0795588344335556
45,2.061680793762207,1e-07,1.2121719,2.0567265,1.4341291,0.011283797211945057,0.06501349806785583,0.006329554598778486,0.07955849915742874
46,2.061671733856201,1e-07,1.212169,2.0567174,1.434126,0.011283704079687595,0.06501317024230957,0.006329460069537163,0.07955790311098099
47,2.061662197113037,1e-07,1.2121662,2.0567079,1.4341227,0.011283625848591328,0.06501244008541107,0.006329383235424757,0.07955741882324219
48,2.061652898788452,1e-07,1.2121632,2.0566986,1.4341195,0.01128352154046297,0.06501169502735138,0.0063292779959738255,0.07955676317214966
49,2.061643362045288,1e-07,1.2121603,2.056689,1.4341161,0.011283445172011852,0.06501111388206482,0.00632920116186142,0.07955627888441086
50,2.0616331100463867,1e-07,1.2121572,2.0566788,1.4341125,0.01128342654556036,0.0650109052658081,0.006329182535409927,0.07955615967512131
51,2.06162428855896,1e-07,1.2121545,2.05667,1.4341094,0.011283346451818943,0.06501041352748871,0.006329103372991085,0.07955566048622131
52,2.061614990234375,1e-07,1.2121515,2.0566607,1.4341062,0.01128324493765831,0.06500963866710663,0.006329002324491739,0.07955502718687057
53,2.0616049766540527,1e-07,1.2121485,2.0566506,1.4341028,0.01128317229449749,0.06500929594039917,0.006328929215669632,0.07955456525087357
54,2.0615956783294678,1e-07,1.2121457,2.0566413,1.4340994,0.011283088475465775,0.06500868499279022,0.006328845862299204,0.07955404371023178
55,2.0615861415863037,1e-07,1.2121428,2.0566318,1.4340962,0.011283013969659805,0.06500829756259918,0.006328770890831947,0.07955357432365417
56,2.061577081680298,1e-07,1.21214,2.0566227,1.434093,0.011282991617918015,0.06500804424285889,0.0063287499360740185,0.07955344021320343
57,2.061567544937134,1e-07,1.2121372,2.0566132,1.4340897,0.011282853782176971,0.06500713527202606,0.006328611634671688,0.07955256849527359
58,2.0615580081939697,1e-07,1.2121341,2.0566037,1.4340863,0.011282786726951599,0.06500653922557831,0.006328544579446316,0.07955215126276016
59,2.0615484714508057,1e-07,1.2121313,2.0565941,1.434083,0.01128271222114563,0.06500601768493652,0.0063284700736403465,0.07955168187618256
60,2.0615391731262207,1e-07,1.2121283,2.0565848,1.4340798,0.011282674968242645,0.06500574946403503,0.006328432355076075,0.07955144345760345
61,2.0615286827087402,1e-07,1.2121252,2.0565743,1.4340761,0.011282578110694885,0.06500518321990967,0.00632833456620574,0.0795508325099945
62,2.0615196228027344,1e-07,1.2121222,2.0565653,1.434073,0.011282484978437424,0.06500464677810669,0.00632824283093214,0.07955025136470795
63,2.0615103244781494,1e-07,1.2121193,2.056556,1.4340698,0.011282425373792648,0.06500406563282013,0.00632818229496479,0.0795498713850975
64,2.061499834060669,1e-07,1.2121165,2.0565455,1.434066,0.011282356455922127,0.06500358879566193,0.006328114774078131,0.07954944670200348
65,2.0614914894104004,1e-07,1.2121136,2.0565372,1.4340632,0.011282259598374367,0.06500300765037537,0.0063280160538852215,0.07954882830381393
66,2.0614819526672363,1e-07,1.2121108,2.0565276,1.4340599,0.011282160878181458,0.06500230729579926,0.006327918265014887,0.07954820990562439
67,2.061472177505493,1e-07,1.212108,2.0565178,1.4340564,0.011282064020633698,0.06500162184238434,0.0063278209418058395,0.07954759895801544
68,2.061461925506592,1e-07,1.2121048,2.0565076,1.4340528,0.01128198392689228,0.065000981092453,0.006327741779386997,0.07954710721969604
69,2.061452627182007,1e-07,1.2121019,2.0564983,1.4340496,0.011281924322247505,0.06500072777271271,0.006327682640403509,0.0795467346906662
70,2.0614430904388428,1e-07,1.2120991,2.0564888,1.4340463,0.011281868442893028,0.0650002509355545,0.006327626295387745,0.07954637706279755
71,2.0614335536956787,1e-07,1.2120961,2.0564792,1.4340429,0.011281834915280342,0.06499990820884705,0.006327591370791197,0.07954616099596024
72,2.061424970626831,1e-07,1.2120934,2.0564706,1.43404,0.011281702667474747,0.06499892473220825,0.006327460985630751,0.07954534143209457
73,2.061415195465088,1e-07,1.2120904,2.0564609,1.4340366,0.011281654238700867,0.06499850749969482,0.006327412091195583,0.0795450285077095
74,2.061405658721924,1e-07,1.2120874,2.0564513,1.4340333,0.011281573213636875,0.06499810516834259,0.0063273306004703045,0.07954452186822891
75,2.0613954067230225,1e-07,1.2120844,2.056441,1.4340297,0.011281496845185757,0.06499756872653961,0.006327255629003048,0.07954404503107071
76,2.0613865852355957,1e-07,1.2120817,2.0564322,1.4340266,0.011281422339379787,0.0649968832731247,0.006327180191874504,0.0795435756444931
77,2.06137752532959,1e-07,1.2120789,2.0564232,1.4340234,0.011281362734735012,0.06499660015106201,0.006327120121568441,0.07954319566488266
78,2.0613672733306885,1e-07,1.2120758,2.056413,1.4340198,0.01128126960247755,0.0649959146976471,0.006327028386294842,0.0795426219701767
79,2.0613577365875244,1e-07,1.2120727,2.0564034,1.4340166,0.011281154118478298,0.06499513983726501,0.0063269115053117275,0.0795418843626976
80,2.0613479614257812,1e-07,1.2120697,2.0563936,1.4340131,0.011281120590865612,0.06499499082565308,0.006326878443360329,0.07954167574644089
81,2.0613386631011963,1e-07,1.2120669,2.0563843,1.4340099,0.011281014420092106,0.06499411165714264,0.006326773203909397,0.07954101264476776
82,2.0613293647766113,1e-07,1.2120639,2.056375,1.4340067,0.011280938051640987,0.06499378383159637,0.006326695438474417,0.07954052835702896
83,2.0613186359405518,1e-07,1.2120609,2.0563643,1.4340029,0.011280865408480167,0.06499317288398743,0.006326622795313597,0.07954007387161255
84,2.061310052871704,1e-07,1.2120581,2.0563557,1.4339999,0.01128081139177084,0.06499277055263519,0.006326569244265556,0.07953973114490509
85,2.06130051612854,1e-07,1.2120552,2.0563462,1.4339966,0.011280746199190617,0.06499235332012177,0.006326503586024046,0.07953932136297226
86,2.0612905025482178,1e-07,1.2120522,2.0563362,1.4339931,0.011280679143965244,0.06499189138412476,0.006326436996459961,0.07953890413045883
87,2.061281204223633,1e-07,1.2120495,2.0563269,1.4339899,0.011280626989901066,0.06499151885509491,0.006326384376734495,0.07953856885433197
88,2.0612714290618896,1e-07,1.2120464,2.056317,1.4339864,0.01128052081912756,0.06499075889587402,0.006326279137283564,0.07953791320323944
89,2.061262369155884,1e-07,1.2120436,2.056308,1.4339833,0.011280442588031292,0.06499014794826508,0.006326200906187296,0.07953742146492004
