epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,2.030855178833008,1e-06,1.2020805,2.025897,1.4233401,0.03460168465971947,0.16466747224330902,0.029643403366208076,0.17217259109020233
1,2.030599355697632,1e-06,1.2020006,2.0256412,1.4232502,0.03457662835717201,0.1645929366350174,0.02961834892630577,0.17209982872009277
2,2.030343532562256,1e-06,1.2019209,2.0253854,1.4231603,0.03455153480172157,0.164518341422081,0.02959325723350048,0.17202690243721008
3,2.0300869941711426,1e-06,1.2018408,2.0251288,1.4230702,0.03452647477388382,0.16444368660449982,0.029568197205662727,0.17195405066013336
4,2.0298311710357666,1e-06,1.201761,2.024873,1.4229803,0.03450135514140129,0.16436894237995148,0.029543079435825348,0.17188100516796112
5,2.029576063156128,1e-06,1.2016814,2.024618,1.4228907,0.03447633981704712,0.16429443657398224,0.029518067836761475,0.17180822789669037
6,2.029320001602173,1e-06,1.2016014,2.0243618,1.4228007,0.034451331943273544,0.16421984136104584,0.02949306182563305,0.17173543572425842
7,2.029064416885376,1e-06,1.2015216,2.0241063,1.4227109,0.03442631661891937,0.16414524614810944,0.029468048363924026,0.1716625988483429
8,2.028808832168579,1e-06,1.2014418,2.0238507,1.422621,0.03440134972333908,0.16407077014446259,0.029443085193634033,0.17158988118171692
9,2.028552770614624,1e-06,1.2013619,2.0235946,1.422531,0.034376297146081924,0.16399602591991425,0.029418032616376877,0.17151686549186707
10,2.028296947479248,1e-06,1.2012819,2.0233388,1.4224411,0.03435133025050163,0.16392149031162262,0.029393065720796585,0.17144405841827393
11,2.0280420780181885,1e-06,1.2012024,2.023084,1.4223516,0.034326329827308655,0.16384680569171906,0.029368067160248756,0.17137113213539124
12,2.027785301208496,1e-06,1.2011223,2.0228271,1.4222612,0.03430139645934105,0.16377227008342743,0.0293431356549263,0.17129838466644287
13,2.027529001235962,5e-07,1.2010422,2.0225708,1.4221711,0.034288834780454636,0.16373474895954132,0.029330573976039886,0.1712617129087448
14,2.0274012088775635,5e-07,1.2010024,2.022443,1.4221263,0.034276332706213,0.16369731724262238,0.02931807190179825,0.17122520506381989
15,2.0272727012634277,5e-07,1.2009623,2.0223145,1.4220811,0.03426375240087509,0.16365976631641388,0.02930549345910549,0.17118847370147705
16,2.0271449089050293,5e-07,1.2009223,2.0221868,1.4220362,0.034251272678375244,0.16362236440181732,0.029293015599250793,0.1711520254611969
17,2.027015447616577,5e-07,1.2008818,2.0220573,1.4219906,0.03423874452710152,0.163584902882576,0.029280485585331917,0.17111541330814362
18,2.0268869400024414,2.5e-07,1.2008419,2.0219288,1.4219455,0.034232500940561295,0.16356615722179413,0.029274241998791695,0.17109717428684235
19,2.0268235206604004,2.5e-07,1.2008219,2.0218654,1.4219232,0.03422620892524719,0.16354738175868988,0.029267949983477592,0.17107878625392914
20,2.026759386062622,2.5e-07,1.200802,2.0218012,1.4219006,0.03422001749277115,0.16352884471416473,0.029261760413646698,0.1710606962442398
21,2.0266950130462646,2.5e-07,1.2007818,2.0217369,1.421878,0.03421371057629585,0.1635100096464157,0.029255451634526253,0.17104224860668182
22,2.0266308784484863,1.25e-07,1.2007617,2.0216727,1.4218553,0.034210726618766785,0.16350100934505463,0.029252467676997185,0.17103353142738342
23,2.0266005992889404,1.25e-07,1.2007523,2.0216424,1.4218447,0.03420763835310936,0.16349177062511444,0.02924938127398491,0.17102450132369995
24,2.026569128036499,1.25e-07,1.2007425,2.021611,1.4218336,0.0342046357691288,0.16348274052143097,0.0292463768273592,0.17101572453975677
25,2.0265374183654785,1.25e-07,1.2007326,2.0215793,1.4218225,0.03420155122876167,0.16347356140613556,0.029243292286992073,0.1710067093372345
26,2.026506185531616,1e-07,1.2007228,2.021548,1.4218116,0.03419911116361618,0.1634662002325058,0.02924085408449173,0.17099957168102264
27,2.0264809131622314,1e-07,1.200715,2.0215228,1.4218026,0.034196577966213226,0.1634586602449417,0.029238319024443626,0.1709921658039093
28,2.0264546871185303,1e-07,1.2007067,2.0214965,1.4217935,0.03419401869177818,0.16345100104808807,0.02923576533794403,0.17098470032215118
29,2.026427745819092,1e-07,1.2006983,2.0214696,1.4217839,0.03419148921966553,0.1634434312582016,0.029233235865831375,0.17097729444503784
30,2.0264029502868652,1e-07,1.2006904,2.0214448,1.4217752,0.03418903425335884,0.16343609988689423,0.02923078089952469,0.1709701120853424
31,2.0263760089874268,1e-07,1.2006823,2.0214179,1.4217658,0.03418651968240738,0.16342855989933014,0.029228270053863525,0.17096278071403503
32,2.026350975036621,1e-07,1.2006743,2.0213928,1.421757,0.034184008836746216,0.16342099010944366,0.029225759208202362,0.17095543444156647
33,2.0263237953186035,1e-07,1.2006658,2.0213656,1.4217474,0.03418147191405296,0.16341345012187958,0.02922322042286396,0.17094799876213074
34,2.0262982845306396,1e-07,1.2006578,2.0213401,1.4217384,0.03417898342013359,0.16340599954128265,0.029220731928944588,0.17094072699546814
35,2.0262722969055176,1e-07,1.2006496,2.0213141,1.4217293,0.03417651727795601,0.16339857876300812,0.029218267649412155,0.17093351483345032
36,2.0262465476989746,1e-07,1.2006418,2.0212884,1.4217203,0.03417394682765007,0.1633908897638321,0.029215695336461067,0.17092598974704742
