epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,2.0309031009674072,1e-06,1.2020961,2.025945,1.4233569,0.03461987525224686,0.16472111642360687,0.029661593958735466,0.17222541570663452
1,2.0308754444122314,1e-06,1.202088,2.0259173,1.4233472,0.0346185676753521,0.16471730172634125,0.029660288244485855,0.17222163081169128
2,2.0308444499969482,1e-06,1.2020785,2.0258863,1.4233363,0.034617163240909576,0.16471321880817413,0.029658881947398186,0.17221754789352417
3,2.030809164047241,1e-06,1.202068,2.025851,1.423324,0.03461568057537079,0.16470889747142792,0.029657401144504547,0.17221324145793915
4,2.0307745933532715,1e-06,1.2020575,2.0258164,1.4233118,0.0346141941845417,0.16470454633235931,0.02965591475367546,0.17220893502235413
5,2.030738353729248,5e-07,1.2020465,2.0257802,1.4232991,0.03461345285177231,0.164702370762825,0.029655171558260918,0.17220677435398102
6,2.0307204723358154,5e-07,1.2020413,2.0257623,1.4232928,0.03461266681551933,0.16470010578632355,0.02965438738465309,0.17220449447631836
7,2.0307023525238037,5e-07,1.2020359,2.0257442,1.4232864,0.03461195155978203,0.16469798982143402,0.029653670266270638,0.17220240831375122
8,2.030684471130371,5e-07,1.2020304,2.0257263,1.4232801,0.03461115434765816,0.16469569504261017,0.029652874916791916,0.17220009863376617
9,2.030665636062622,2.5e-07,1.2020247,2.0257075,1.4232736,0.03461079299449921,0.1646946519613266,0.029652515426278114,0.1721990555524826
10,2.0306568145751953,2.5e-07,1.2020222,2.0256987,1.4232705,0.03461042791604996,0.16469354927539825,0.029652152210474014,0.17219799757003784
11,2.030647039413452,2.5e-07,1.2020191,2.025689,1.423267,0.034610047936439514,0.1646924763917923,0.02965177223086357,0.1721968948841095
12,2.0306384563446045,2.5e-07,1.2020166,2.0256803,1.4232639,0.03460969775915146,0.16469143331050873,0.029651422053575516,0.17219588160514832
13,2.0306286811828613,1.25e-07,1.2020136,2.0256705,1.4232606,0.03460950776934624,0.16469086706638336,0.029651232063770294,0.17219533026218414
14,2.0306241512298584,1.25e-07,1.2020122,2.025666,1.4232589,0.034609291702508926,0.16469024121761322,0.029651015996932983,0.172194704413414
15,2.0306198596954346,1.25e-07,1.202011,2.0256617,1.4232575,0.0346091166138649,0.16468973457813263,0.029650839045643806,0.17219418287277222
16,2.0306153297424316,1.25e-07,1.2020096,2.0256572,1.4232558,0.034608934074640274,0.16468919813632965,0.02965065836906433,0.17219366133213043
17,2.0306105613708496,1e-07,1.2020081,2.0256524,1.4232541,0.03460877761244774,0.16468875110149384,0.029650501906871796,0.17219321429729462
18,2.030606508255005,1e-07,1.202007,2.0256484,1.4232527,0.034608595073223114,0.16468821465969086,0.02965031936764717,0.17219267785549164
19,2.0306031703948975,1e-07,1.2020061,2.025645,1.4232515,0.03460841253399849,0.16468767821788788,0.029650134965777397,0.17219214141368866
20,2.0305991172790527,1e-07,1.2020048,2.025641,1.4232502,0.03460831567645073,0.164687380194664,0.029650038108229637,0.17219185829162598
21,2.030595064163208,1e-07,1.2020035,2.025637,1.4232488,0.03460811823606491,0.16468681395053864,0.029649842530488968,0.1721912920475006
22,2.0305912494659424,1e-07,1.2020024,2.025633,1.4232473,0.03460794314742088,0.16468630731105804,0.02964966557919979,0.17219078540802002
23,2.030587673187256,1e-07,1.2020013,2.0256295,1.4232461,0.03460779786109924,0.164685919880867,0.0296495221555233,0.1721903681755066
24,2.030583143234253,1e-07,1.2019999,2.025625,1.4232445,0.034607648849487305,0.1646854430437088,0.02964937314391136,0.17218993604183197
25,2.0305793285369873,1e-07,1.2019988,2.0256212,1.4232432,0.034607455134391785,0.16468487679958344,0.029649177566170692,0.1721893697977066
26,2.0305752754211426,1e-07,1.2019976,2.0256171,1.4232417,0.03460729867219925,0.16468442976474762,0.029649021103978157,0.1721889078617096
27,2.030571699142456,1e-07,1.2019966,2.0256135,1.4232405,0.03460713475942612,0.16468395292758942,0.029648859053850174,0.17218844592571259
28,2.0305681228637695,1e-07,1.2019955,2.02561,1.4232392,0.034606970846652985,0.1646834760904312,0.02964869514107704,0.17218796908855438
29,2.0305638313293457,1e-07,1.2019941,2.0256057,1.4232378,0.03460679575800896,0.16468296945095062,0.029648518189787865,0.1721874475479126
30,2.03056001663208,1e-07,1.201993,2.0256019,1.4232364,0.03460661321878433,0.16468243300914764,0.02964833565056324,0.1721869260072708
31,2.030555486679077,1e-07,1.2019914,2.0255973,1.4232348,0.03460646793246269,0.16468201577663422,0.02964819222688675,0.17218650877475739
32,2.0305519104003906,1e-07,1.2019907,2.0255938,1.4232335,0.034606292843818665,0.16468150913715363,0.029648015275597572,0.1721859872341156
33,2.030547618865967,1e-07,1.2019893,2.0255895,1.4232321,0.03460611030459404,0.16468097269535065,0.029647834599018097,0.17218546569347382
34,2.0305442810058594,1e-07,1.2019882,2.0255861,1.4232309,0.03460599109530449,0.164680615067482,0.029647715389728546,0.17218512296676636
35,2.0305404663085938,1e-07,1.2019871,2.0255823,1.4232296,0.03460576385259628,0.16467995941638947,0.02964748814702034,0.17218445241451263
36,2.030535936355591,1e-07,1.2019856,2.0255778,1.4232279,0.034605659544467926,0.1646796613931656,0.029647383838891983,0.17218415439128876
37,2.030531644821167,1e-07,1.2019845,2.0255735,1.4232265,0.03460551053285599,0.16467921435832977,0.029647234827280045,0.17218372225761414
38,2.0305283069610596,1e-07,1.2019835,2.0255702,1.4232253,0.03460532799363136,0.1646786481142044,0.02964705042541027,0.17218318581581116
39,2.030524730682373,1e-07,1.2019824,2.0255666,1.423224,0.03460516408085823,0.1646782010793686,0.029646888375282288,0.17218272387981415
40,2.0305206775665283,1e-07,1.2019812,2.0255625,1.4232225,0.03460501506924629,0.16467775404453278,0.0296467375010252,0.17218227684497833
41,2.0305168628692627,1e-07,1.20198,2.0255587,1.4232212,0.03460483253002167,0.1646772176027298,0.029646554961800575,0.17218175530433655
42,2.030512571334839,1e-07,1.2019787,2.0255544,1.4232197,0.03460465371608734,0.1646767109632492,0.0296463780105114,0.17218123376369476
43,2.0305087566375732,1e-07,1.2019776,2.0255506,1.4232184,0.0346045158803463,0.16467632353305817,0.029646238312125206,0.17218083143234253
44,2.0305047035217285,1e-07,1.2019764,2.0255466,1.4232169,0.03460434451699257,0.16467581689357758,0.029646068811416626,0.17218033969402313
45,2.030500650405884,1e-07,1.2019751,2.0255425,1.4232155,0.03460416942834854,0.16467531025409698,0.02964589186012745,0.17217981815338135
46,2.0304973125457764,1e-07,1.201974,2.0255392,1.4232143,0.03460400924086571,0.16467483341693878,0.029645733535289764,0.17217937111854553
47,2.0304925441741943,1e-07,1.2019727,2.0255344,1.4232126,0.03460383415222168,0.1646743267774582,0.029645558446645737,0.17217884957790375
48,2.030489444732666,1e-07,1.2019719,2.0255313,1.4232116,0.034603703767061234,0.16467393934726715,0.02964542806148529,0.1721784770488739
49,2.0304853916168213,1e-07,1.2019705,2.0255272,1.4232101,0.034603528678417206,0.16467343270778656,0.029645252972841263,0.1721779704093933
50,2.0304813385009766,1e-07,1.2019693,2.0255232,1.4232087,0.034603383392095566,0.16467301547527313,0.029645107686519623,0.17217755317687988
51,2.030477523803711,1e-07,1.2019681,2.0255194,1.4232074,0.03460315614938736,0.1646723598241806,0.029644880443811417,0.17217688262462616
52,2.0304737091064453,1e-07,1.201967,2.0255156,1.4232061,0.03460300713777542,0.1646719127893448,0.029644731432199478,0.17217645049095154
53,2.0304694175720215,1e-07,1.2019657,2.0255113,1.4232045,0.03460286557674408,0.16467149555683136,0.029644588008522987,0.1721760332584381
54,2.0304653644561768,1e-07,1.2019645,2.0255072,1.4232031,0.03460269421339035,0.16467098891735077,0.029644418507814407,0.1721755415201187
55,2.030461549758911,1e-07,1.2019634,2.0255034,1.4232018,0.03460252657532692,0.16467051208019257,0.029644249007105827,0.17217504978179932
56,2.030458450317383,1e-07,1.2019624,2.0255003,1.4232007,0.03460236266255379,0.16467006504535675,0.029644085094332695,0.1721745729446411
57,2.03045392036438,1e-07,1.2019609,2.0254958,1.4231992,0.03460220620036125,0.16466958820819855,0.02964392863214016,0.1721741259098053
58,2.0304501056671143,1e-07,1.2019598,2.025492,1.4231977,0.034602027386426926,0.16466905176639557,0.029643751680850983,0.1721736043691635
59,2.0304460525512695,1e-07,1.2019588,2.025488,1.4231963,0.03460189327597618,0.16466866433620453,0.02964361570775509,0.17217321693897247
60,2.0304417610168457,1e-07,1.2019575,2.0254836,1.4231949,0.034601714462041855,0.16466815769672394,0.029643438756465912,0.1721726953983307
61,2.030438184738159,1e-07,1.2019564,2.02548,1.4231936,0.03460155054926872,0.16466768085956573,0.02964327484369278,0.17217221856117249
62,2.0304346084594727,1e-07,1.2019552,2.0254765,1.4231924,0.03460138291120529,0.16466717422008514,0.02964310720562935,0.17217174172401428
