epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,2.070218324661255,1e-05,1.2147819,2.065264,1.4371027,0.011271187104284763,0.06476746499538422,0.0063169365748763084,0.0794791579246521
1,2.06730318069458,1e-05,1.213892,2.0623488,1.4360881,0.011183206923305988,0.06398467719554901,0.006228976417332888,0.07892386615276337
2,2.0643880367279053,1e-05,1.2130015,2.0594337,1.4350727,0.011096778325736523,0.06320381164550781,0.006142566446214914,0.07837452739477158
3,2.0614748001098633,1e-05,1.2121112,2.0565205,1.4340574,0.01101187989115715,0.06242497265338898,0.006057684775441885,0.07783112674951553
4,2.0585620403289795,1e-05,1.2112197,2.0536077,1.4330415,0.010928400792181492,0.061647385358810425,0.005974225699901581,0.07729311287403107
5,2.055649757385254,1e-05,1.2103279,2.0506954,1.432025,0.010846422053873539,0.06087137758731842,0.0058922660537064075,0.07676109671592712
6,2.0527396202087402,1e-05,1.209436,2.0477853,1.4310085,0.010765914805233479,0.06009739637374878,0.005811776965856552,0.07623501121997833
7,2.0498287677764893,1e-05,1.2085432,2.0448744,1.429991,0.010686763562262058,0.05932393670082092,0.0057326448149979115,0.07571423053741455
8,2.0469188690185547,1e-05,1.20765,2.0419645,1.4289732,0.01060895249247551,0.05855157971382141,0.0056548528373241425,0.07519875466823578
9,2.0440104007720947,1e-05,1.2067566,2.039056,1.4279552,0.010532569140195847,0.05778078734874725,0.005578489042818546,0.07468928396701813
10,2.041102170944214,1e-05,1.2058623,2.0361478,1.4269365,0.010457519441843033,0.057010382413864136,0.005503457505255938,0.07418528944253922
11,2.0381956100463867,1e-05,1.2049681,2.0332413,1.4259177,0.01038379780948162,0.05624103546142578,0.005429756361991167,0.073686882853508
12,2.0352888107299805,1e-05,1.2040728,2.0303347,1.4248981,0.010311419144272804,0.0554722398519516,0.005357394926249981,0.0731942281126976
13,2.0323824882507324,1e-05,1.2031771,2.0274284,1.423878,0.010240319184958935,0.054703935980796814,0.005286314524710178,0.07270704954862595
14,2.029477119445801,1e-05,1.2022811,2.024523,1.4228573,0.010170496068894863,0.05393598973751068,0.005216510500758886,0.0722254142165184
15,2.0265731811523438,1e-05,1.2013848,2.021619,1.4218365,0.01010200846940279,0.053168654441833496,0.005148041527718306,0.07174985110759735
16,2.0236706733703613,1e-05,1.200488,2.0187166,1.4208155,0.010034787468612194,0.05240173637866974,0.0050808400847017765,0.07128001004457474
17,2.020768642425537,1e-05,1.1995907,2.0158145,1.4197938,0.009968765079975128,0.05163466930389404,0.005014837719500065,0.07081551849842072
18,2.0178685188293457,1e-05,1.1986932,2.0129144,1.4187721,0.009904063306748867,0.05086816847324371,0.004950153641402721,0.07035733014345169
19,2.014967203140259,1e-05,1.1977948,2.010013,1.4177493,0.00984057504683733,0.05010141432285309,0.004886684939265251,0.06990482658147812
20,2.012068271636963,1e-05,1.1968962,2.0071142,1.4167266,0.009778261184692383,0.04933406412601471,0.004824392031878233,0.06945784389972687
21,2.009169101715088,1e-05,1.195997,2.004215,1.415703,0.009717191569507122,0.04903654754161835,0.004763340577483177,0.0690169557929039
22,2.006270408630371,1e-05,1.1950967,2.0013163,1.4146788,0.00965726375579834,0.04918026924133301,0.004703433718532324,0.06858158111572266
23,2.003373384475708,1e-05,1.1941966,1.9984194,1.4136547,0.009598525241017342,0.04932399094104767,0.0046447147615253925,0.06815214455127716
24,2.0004775524139404,1e-05,1.1932961,1.9955237,1.4126301,0.009541014209389687,0.04946817457675934,0.004587221425026655,0.06772902607917786
25,1.9975807666778564,1e-05,1.1923944,1.992627,1.4116044,0.0094846710562706,0.04961243271827698,0.0045308987610042095,0.06731195002794266
26,1.9946857690811157,1e-05,1.1914927,1.989732,1.4105786,0.009429486468434334,0.04975694417953491,0.004475735127925873,0.06690093874931335
27,1.9917913675308228,1e-05,1.19059,1.9868376,1.4095523,0.00937548279762268,0.04990161955356598,0.004421751014888287,0.06649624556303024
28,1.9888970851898193,1e-05,1.1896869,1.9839433,1.4085252,0.00932256318628788,0.05004607141017914,0.00436885142698884,0.06609728932380676
29,1.9860036373138428,1e-05,1.1887834,1.9810499,1.4074978,0.009270860813558102,0.050191208720207214,0.004317169077694416,0.06570516526699066
30,1.9831106662750244,1e-05,1.187879,1.978157,1.4064697,0.009220232255756855,0.050335898995399475,0.004266560077667236,0.06531891226768494
31,1.9802197217941284,1e-05,1.1869744,1.9752661,1.4054416,0.009170782752335072,0.05048111081123352,0.004217131994664669,0.06493944674730301
32,1.977327585220337,1e-05,1.1860689,1.972374,1.4044123,0.009122495539486408,0.050626665353775024,0.00416886480525136,0.06456674635410309
33,1.9744373559951782,1e-05,1.1851633,1.9694837,1.403383,0.009075329639017582,0.05077219009399414,0.004121719393879175,0.06420061737298965
34,1.9715477228164673,1e-05,1.1842569,1.9665941,1.402353,0.009029260836541653,0.050917819142341614,0.0040756706148386,0.06384097784757614
35,1.9686589241027832,1e-05,1.1833502,1.9637053,1.4013227,0.008984344080090523,0.05106326937675476,0.004030774813145399,0.06348838657140732
36,1.9657706022262573,1e-05,1.1824427,1.960817,1.4002918,0.008940561674535275,0.051209211349487305,0.00398701336234808,0.0631427988409996
37,1.962883472442627,1e-05,1.1815349,1.9579298,1.3992605,0.008897919207811356,0.051355257630348206,0.003944391384720802,0.06280439347028732
38,1.959996223449707,1e-05,1.1806265,1.9550427,1.3982284,0.008856450207531452,0.0515015572309494,0.0039029440376907587,0.06247354671359062
39,1.95711088180542,1e-05,1.1797177,1.9521574,1.3971963,0.008816017769277096,0.051647379994392395,0.003862532088533044,0.06214927136898041
40,1.9542258977890015,1e-05,1.1788082,1.9492724,1.3961635,0.008776790462434292,0.051793619990348816,0.0038233266677707434,0.06183305382728577
41,1.951340913772583,1e-05,1.1778978,1.9463874,1.3951299,0.008738632313907146,0.05193983018398285,0.0037851911038160324,0.061523906886577606
42,1.9484575986862183,1e-05,1.1769875,1.9435041,1.3940961,0.008701639249920845,0.052086085081100464,0.0037482180632650852,0.06122269108891487
43,1.945573091506958,1e-05,1.1760758,1.9406196,1.3930613,0.008665830828249454,0.05223248898983002,0.0037124312948435545,0.06092972308397293
44,1.9426906108856201,1e-05,1.1751641,1.9377371,1.3920263,0.008631177246570587,0.052379101514816284,0.0036777984350919724,0.06064485386013985
45,1.9398078918457031,1e-05,1.1742514,1.9348545,1.3909905,0.008597692474722862,0.05252578854560852,0.003644336014986038,0.060368336737155914
46,1.936926245689392,1e-05,1.1733387,1.9319729,1.3899542,0.008565344847738743,0.05267214775085449,0.0036120095755904913,0.060099996626377106
47,1.9340444803237915,1e-05,1.1724246,1.9290911,1.3889172,0.008534201420843601,0.05281876027584076,0.0035808891989290714,0.05984053015708923
48,1.9311628341674805,1e-05,1.1715103,1.9262096,1.3878795,0.008504215627908707,0.05296529829502106,0.0035509259905666113,0.05958964675664902
49,1.9282805919647217,1e-05,1.1705948,1.9233273,1.3868408,0.008475443348288536,0.0531122088432312,0.0035221753641963005,0.05934791639447212
50,1.925400733947754,1e-05,1.1696793,1.9204475,1.3858021,0.008447865024209023,0.053258851170539856,0.0034946193918585777,0.05911530554294586
51,1.9225220680236816,1e-05,1.1687633,1.9175689,1.3847631,0.008421564474701881,0.05340561270713806,0.0034683411940932274,0.058892622590065
52,1.9196417331695557,1e-05,1.1678461,1.9146887,1.3837228,0.008396481163799763,0.05355237424373627,0.0034432807005941868,0.05867947265505791
53,1.9167627096176147,1e-05,1.1669286,1.9118097,1.3826821,0.00837262999266386,0.05369919538497925,0.003419451415538788,0.058476075530052185
54,1.9138840436935425,1e-05,1.1660105,1.908931,1.3816407,0.008350051008164883,0.05384579300880432,0.003396896179765463,0.058282896876335144
55,1.9110063314437866,1e-05,1.1650919,1.9060533,1.3805989,0.008328760974109173,0.053992509841918945,0.0033756291959434748,0.05810016393661499
56,1.9081294536590576,1e-05,1.1641725,1.9031764,1.3795567,0.008308809250593185,0.054139330983161926,0.00335570122115314,0.0579284131526947
57,1.905251383781433,1e-05,1.1632526,1.9002984,1.3785131,0.008290152065455914,0.05428615212440491,0.0033370675519108772,0.0577673576772213
58,1.9023736715316772,5e-06,1.1623316,1.8974208,1.377469,0.00829529669135809,0.054468750953674316,0.003342223819345236,0.05781196802854538
59,1.9009363651275635,5e-06,1.1618716,1.8959835,1.3769472,0.008300704881548882,0.05465151369571686,0.003347643418237567,0.057858824729919434
60,1.8994975090026855,5e-06,1.1614102,1.8945446,1.3764246,0.008306357078254223,0.0548342764377594,0.0033533074893057346,0.057907748967409134
61,1.898059606552124,5e-06,1.1609496,1.8931067,1.3759022,0.008312363177537918,0.05501776933670044,0.0033593266271054745,0.057959698140621185
62,1.8966212272644043,2.5e-06,1.1604884,1.8916683,1.3753793,0.008329452946782112,0.05521896481513977,0.003376421518623829,0.058106984943151474
