epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.9050384759902954,1e-08,1.283031,1.9000821,1.3784347,0.024265823885798454,0.11315062642097473,0.019309354946017265,0.13895811140537262
1,1.905038595199585,1e-08,1.283031,1.9000822,1.3784347,0.02426581270992756,0.11315059661865234,0.01930934563279152,0.13895806670188904
2,1.905038595199585,1e-08,1.283031,1.9000822,1.3784347,0.024265801534056664,0.11315056681632996,0.019309332594275475,0.13895802199840546
3,1.905038833618164,1e-08,1.283031,1.9000825,1.3784348,0.02426578290760517,0.11315050721168518,0.01930931583046913,0.13895796239376068
4,1.9050383567810059,1e-08,1.2830309,1.900082,1.3784347,0.02426576055586338,0.1131504476070404,0.01930929347872734,0.1389578878879547
5,1.905038595199585,1e-08,1.283031,1.9000822,1.3784347,0.024265749379992485,0.11315041780471802,0.019309280440211296,0.13895784318447113
6,1.9050381183624268,1e-08,1.2830309,1.9000818,1.3784345,0.024265771731734276,0.11315047740936279,0.019309302791953087,0.1389579176902771
7,1.9050381183624268,1e-08,1.2830309,1.9000818,1.3784345,0.02426576055586338,0.1131504476070404,0.01930929347872734,0.1389578878879547
8,1.9050376415252686,1e-08,1.2830306,1.9000813,1.3784343,0.02426576428115368,0.11315047740936279,0.01930929534137249,0.1389578878879547
9,1.9050370454788208,1e-08,1.2830305,1.9000807,1.3784342,0.02426576055586338,0.1131504476070404,0.01930929347872734,0.1389578878879547
10,1.9050374031066895,1e-08,1.2830306,1.900081,1.3784343,0.024265745654702187,0.11315040290355682,0.019309278577566147,0.13895782828330994
11,1.9050370454788208,1e-08,1.2830305,1.9000807,1.3784342,0.02426573820412159,0.11315038800239563,0.01930927112698555,0.13895779848098755
12,1.9050369262695312,1e-08,1.2830304,1.9000806,1.3784341,0.024265723302960396,0.11315035820007324,0.019309256225824356,0.13895775377750397
13,1.9050370454788208,1e-08,1.2830305,1.9000807,1.3784342,0.024265723302960396,0.11315035820007324,0.019309256225824356,0.13895775377750397
14,1.9050369262695312,1e-08,1.2830304,1.9000806,1.3784341,0.024265723302960396,0.11315035820007324,0.019309256225824356,0.13895775377750397
15,1.9050366878509521,1e-08,1.2830304,1.9000803,1.3784341,0.024265723302960396,0.11315032839775085,0.019309254363179207,0.13895773887634277
16,1.9050360918045044,1e-08,1.2830303,1.9000797,1.3784338,0.024265700951218605,0.11315026879310608,0.019309232011437416,0.1389576643705368
17,1.9050357341766357,1e-08,1.28303,1.9000794,1.3784337,0.024265678599476814,0.1131502091884613,0.019309209659695625,0.13895757496356964
