epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8258216381072998,1e-05,1.2324924,1.8208684,1.3493955,0.05752040445804596,0.19898970425128937,0.05256710946559906,0.229275181889534
1,1.8247489929199219,1e-05,1.2321513,1.8197957,1.3489981,0.0575585700571537,0.19906140863895416,0.0526052787899971,0.22935840487480164
2,1.8236740827560425,1e-05,1.231809,1.8187208,1.3485996,0.05759695544838905,0.19913342595100403,0.05264367163181305,0.22944208979606628
3,1.8226011991500854,1e-05,1.2314676,1.8176479,1.3482018,0.0576353520154953,0.19920536875724792,0.05268207564949989,0.22952575981616974
4,1.8215266466140747,1e-05,1.2311256,1.8165735,1.3478032,0.057673778384923935,0.19927731156349182,0.052720505744218826,0.22960945963859558
5,1.8204529285430908,5e-06,1.2307836,1.8154998,1.3474048,0.05769296735525131,0.19931307435035706,0.0527396984398365,0.22965125739574432
6,1.8199161291122437,5e-06,1.2306126,1.814963,1.3472056,0.05771224945783615,0.19934922456741333,0.05275898054242134,0.2296932339668274
7,1.8193790912628174,5e-06,1.2304415,1.814426,1.3470063,0.05773140490055084,0.19938483834266663,0.05277813971042633,0.22973492741584778
8,1.8188422918319702,5e-06,1.2302704,1.8138891,1.346807,0.05775068327784538,0.199420765042305,0.05279742181301117,0.22977688908576965
9,1.8183057308197021,2.5e-06,1.2300993,1.8133526,1.3466078,0.0577603355050087,0.19943875074386597,0.05280707776546478,0.22979789972305298
10,1.8180358409881592,2.5e-06,1.2300133,1.8130827,1.3465075,0.05777011066675186,0.19945701956748962,0.05281685292720795,0.2298191785812378
11,1.8177675008773804,2.5e-06,1.2299278,1.8128144,1.3464079,0.05777966231107712,0.19947469234466553,0.0528264045715332,0.22983995079994202
12,1.817499041557312,2.5e-06,1.2298421,1.8125459,1.3463082,0.05778928101062775,0.19949263334274292,0.05283602327108383,0.22986087203025818
13,1.8172309398651123,1.25e-06,1.2297567,1.8122778,1.3462087,0.05779421702027321,0.19950194656848907,0.052840959280729294,0.22987161576747894
14,1.8170961141586304,1.25e-06,1.2297137,1.812143,1.3461586,0.05779903754591942,0.19951093196868896,0.0528457835316658,0.2298821061849594
15,1.816961407661438,1.25e-06,1.2296706,1.8120083,1.3461086,0.057803764939308167,0.19951972365379333,0.05285051465034485,0.22989240288734436
16,1.8168271780014038,1.25e-06,1.229628,1.811874,1.3460587,0.05780864506959915,0.1995287388563156,0.052855394780635834,0.22990301251411438
17,1.8166935443878174,6.25e-07,1.2295853,1.8117404,1.346009,0.05781101435422897,0.19953308999538422,0.052857764065265656,0.22990816831588745
18,1.8166272640228271,6.25e-07,1.2295642,1.8116741,1.3459845,0.05781340226531029,0.19953759014606476,0.05286015197634697,0.2299133539199829
19,1.8165595531463623,6.25e-07,1.2295426,1.8116064,1.3459593,0.057815760374069214,0.19954203069210052,0.052862510085105896,0.2299184799194336
20,1.8164937496185303,6.25e-07,1.2295216,1.8115406,1.3459349,0.05781813710927963,0.1995464265346527,0.052864886820316315,0.22992365062236786
21,1.8164275884628296,3.125e-07,1.2295007,1.8114744,1.3459103,0.0578194260597229,0.19954879581928253,0.05286617577075958,0.2299264520406723
22,1.8163955211639404,3.125e-07,1.2294903,1.8114424,1.3458984,0.057820454239845276,0.1995508074760437,0.05286720395088196,0.22992868721485138
23,1.8163617849349976,3.125e-07,1.2294794,1.8114086,1.3458859,0.0578216090798378,0.19955283403396606,0.05286835879087448,0.22993120551109314
24,1.8163291215896606,3.125e-07,1.229469,1.811376,1.3458737,0.05782286077737808,0.19955530762672424,0.052869610488414764,0.2299339324235916
25,1.8162964582443237,1.5625e-07,1.2294586,1.8113433,1.3458616,0.05782339721918106,0.19955624639987946,0.05287014693021774,0.22993509471416473
26,1.816279649734497,1.5625e-07,1.2294534,1.8113265,1.3458554,0.05782407522201538,0.19955749809741974,0.05287082493305206,0.22993656992912292
27,1.816261649131775,1.5625e-07,1.2294475,1.8113085,1.3458486,0.057824671268463135,0.19955852627754211,0.05287142097949982,0.2299378663301468
28,1.816245198249817,1.5625e-07,1.2294422,1.811292,1.3458425,0.05782512575387955,0.19955939054489136,0.05287187546491623,0.22993884980678558
29,1.8162297010421753,1e-07,1.2294375,1.8112766,1.3458368,0.05782568082213402,0.19956043362617493,0.0528724305331707,0.22994005680084229
30,1.8162176609039307,1e-07,1.2294335,1.8112645,1.3458322,0.057826004922389984,0.19956102967262268,0.052872754633426666,0.2299407571554184
31,1.816206693649292,1e-07,1.2294301,1.8112535,1.3458282,0.05782628804445267,0.1995614767074585,0.05287303775548935,0.22994138300418854
32,1.8161958456039429,1e-07,1.2294266,1.8112427,1.3458241,0.05782672390341759,0.19956237077713013,0.05287347361445427,0.22994232177734375
33,1.8161851167678833,1e-07,1.2294232,1.811232,1.3458202,0.057827092707157135,0.19956304132938385,0.05287384241819382,0.22994312644004822
34,1.8161747455596924,1e-07,1.22942,1.8112216,1.3458164,0.05782759189605713,0.1995640993118286,0.05287434160709381,0.22994421422481537
35,1.8161636590957642,1e-07,1.2294163,1.8112105,1.3458122,0.057827919721603394,0.19956451654434204,0.052874669432640076,0.22994492948055267
36,1.8161523342132568,1e-07,1.2294127,1.8111992,1.345808,0.05782826989889145,0.19956527650356293,0.05287501960992813,0.22994568943977356
37,1.8161424398422241,1e-07,1.2294096,1.8111893,1.3458043,0.057828668504953384,0.19956594705581665,0.052875418215990067,0.2299465537071228
38,1.8161317110061646,1e-07,1.2294061,1.8111786,1.3458004,0.05782907456159592,0.1995667815208435,0.0528758242726326,0.22994743287563324
39,1.816121220588684,1e-07,1.2294029,1.8111681,1.3457965,0.05782940238714218,0.19956736266613007,0.052876152098178864,0.22994814813137054
40,1.8161098957061768,1e-07,1.2293992,1.8111567,1.3457923,0.057829804718494415,0.1995680034160614,0.0528765544295311,0.22994902729988098
41,1.8160995244979858,1e-07,1.2293959,1.8111464,1.3457884,0.05783023685216904,0.19956891238689423,0.05287698656320572,0.2299499660730362
42,1.8160879611968994,1e-07,1.2293922,1.8111348,1.3457841,0.057830631732940674,0.1995696723461151,0.052877381443977356,0.22995083034038544
43,1.8160789012908936,1e-07,1.2293893,1.8111258,1.3457807,0.05783087760210037,0.19957007467746735,0.052877627313137054,0.22995135188102722
44,1.8160678148269653,1e-07,1.2293859,1.8111147,1.3457766,0.05783144384622574,0.19957119226455688,0.05287819355726242,0.2299525886774063
45,1.8160560131072998,1e-07,1.229382,1.8111029,1.3457723,0.05783176049590111,0.1995716392993927,0.05287851020693779,0.22995327413082123
46,1.8160455226898193,1e-07,1.2293787,1.8110924,1.3457683,0.057832200080156326,0.19957265257835388,0.05287894979119301,0.22995422780513763
47,1.8160344362258911,1e-07,1.229375,1.8110813,1.3457642,0.05783252418041229,0.19957312941551208,0.052879273891448975,0.22995494306087494
48,1.8160226345062256,1e-07,1.2293714,1.8110695,1.3457599,0.05783303827047348,0.19957414269447327,0.05287978798151016,0.22995606064796448
49,1.8160121440887451,1e-07,1.2293679,1.811059,1.3457559,0.05783327668905258,0.19957448542118073,0.052880026400089264,0.22995658218860626
50,1.8160016536712646,1e-07,1.2293645,1.8110485,1.345752,0.057833582162857056,0.19957512617111206,0.05288033187389374,0.2299572378396988
51,1.8159910440444946,1e-07,1.2293614,1.8110379,1.3457481,0.05783398821949959,0.19957591593265533,0.05288073793053627,0.22995811700820923
52,1.815980315208435,1e-07,1.2293578,1.8110272,1.3457441,0.057834409177303314,0.1995767056941986,0.052881158888339996,0.22995904088020325
53,1.8159695863723755,1e-07,1.2293543,1.8110164,1.3457401,0.057834774255752563,0.199577197432518,0.052881523966789246,0.22995983064174652
54,1.8159583806991577,1e-07,1.2293508,1.8110052,1.3457359,0.057835206389427185,0.19957810640335083,0.05288195610046387,0.22996076941490173
55,1.8159478902816772,1e-07,1.2293473,1.8109947,1.3457321,0.05783555284142494,0.19957879185676575,0.052882302552461624,0.22996152937412262
56,1.8159362077713013,1e-07,1.2293435,1.8109831,1.3457277,0.05783594399690628,0.19957956671714783,0.05288269370794296,0.22996237874031067
57,1.8159259557724,1e-07,1.2293407,1.8109728,1.3457239,0.057836346328258514,0.1995801329612732,0.0528830960392952,0.2299632430076599
58,1.8159148693084717,1e-07,1.229337,1.8109617,1.3457198,0.057836681604385376,0.1995808482170105,0.05288343131542206,0.2299639731645584
59,1.8159048557281494,1e-07,1.2293338,1.8109517,1.345716,0.05783717334270477,0.1995818316936493,0.052883923053741455,0.22996504604816437
60,1.8158929347991943,1e-07,1.2293301,1.8109398,1.3457116,0.05783746391534805,0.19958236813545227,0.052884213626384735,0.2299656718969345
61,1.815883755683899,1e-07,1.2293271,1.8109306,1.3457083,0.05783788114786148,0.19958314299583435,0.05288463085889816,0.22996658086776733
62,1.8158724308013916,1e-07,1.2293235,1.8109193,1.345704,0.05783834680914879,0.19958394765853882,0.05288509652018547,0.22996759414672852
63,1.8158608675003052,1e-07,1.2293199,1.8109077,1.3456997,0.05783857777714729,0.1995844841003418,0.052885331213474274,0.2299681156873703
64,1.8158506155014038,1e-07,1.2293166,1.8108975,1.3456959,0.057838909327983856,0.19958505034446716,0.05288566276431084,0.2299688309431076
65,1.8158401250839233,1e-07,1.229313,1.810887,1.345692,0.05783936008810997,0.19958582520484924,0.05288611352443695,0.2299698144197464
66,1.8158291578292847,1e-07,1.2293096,1.810876,1.345688,0.057839807122945786,0.1995866596698761,0.052886560559272766,0.229970782995224
67,1.8158185482025146,1e-07,1.2293062,1.8108654,1.3456839,0.05784014239907265,0.19958719611167908,0.05288689583539963,0.2299715131521225
68,1.8158074617385864,1e-07,1.2293028,1.8108543,1.3456799,0.05784057825803757,0.1995881199836731,0.05288733169436455,0.2299724519252777
69,1.8157967329025269,1e-07,1.2292993,1.8108436,1.3456758,0.057840947061777115,0.1995888352394104,0.052887700498104095,0.22997325658798218
70,1.8157860040664673,1e-07,1.2292958,1.8108329,1.3456719,0.05784138664603233,0.1995895951986313,0.052888140082359314,0.22997421026229858
71,1.8157742023468018,1e-07,1.2292922,1.810821,1.3456675,0.057841673493385315,0.19959020614624023,0.052888426929712296,0.22997483611106873
72,1.8157637119293213,1e-07,1.2292887,1.8108106,1.3456637,0.057842057198286057,0.19959083199501038,0.05288881063461304,0.22997567057609558
73,1.8157531023025513,1e-07,1.2292854,1.8108,1.3456597,0.05784245952963829,0.19959162175655365,0.05288921296596527,0.22997654974460602
74,1.8157423734664917,1e-07,1.229282,1.8107892,1.3456557,0.057842839509248734,0.19959241151809692,0.052889592945575714,0.22997736930847168
75,1.8157317638397217,1e-07,1.2292784,1.8107786,1.3456517,0.0578431636095047,0.19959300756454468,0.05288991704583168,0.22997808456420898
76,1.8157217502593994,1e-07,1.2292756,1.8107686,1.345648,0.05784362927079201,0.19959375262260437,0.05289038270711899,0.22997909784317017
77,1.8157106637954712,1e-07,1.2292718,1.8107575,1.3456439,0.05784395709633827,0.1995943784713745,0.05289071053266525,0.22997979819774628
78,1.8156992197036743,1e-07,1.2292682,1.8107461,1.3456397,0.05784439668059349,0.1995953470468521,0.05289115011692047,0.22998076677322388
79,1.8156888484954834,1e-07,1.229265,1.8107357,1.3456358,0.05784478411078453,0.1995958685874939,0.05289153754711151,0.22998160123825073
80,1.8156770467758179,1e-07,1.2292613,1.8107239,1.3456314,0.057845067232847214,0.19959644973278046,0.052891820669174194,0.22998221218585968
81,1.8156665563583374,1e-07,1.2292578,1.8107134,1.3456275,0.057845477014780045,0.19959726929664612,0.052892230451107025,0.2299831062555313
82,1.8156567811965942,1e-07,1.2292547,1.8107036,1.3456239,0.057845890522003174,0.19959798455238342,0.052892643958330154,0.22998401522636414
83,1.815645456314087,1e-07,1.229251,1.8106923,1.3456197,0.05784636735916138,0.19959884881973267,0.05289312079548836,0.2299850434064865
84,1.8156344890594482,1e-07,1.2292476,1.8106813,1.3456156,0.05784664303064346,0.19959944486618042,0.05289340019226074,0.22998565435409546
85,1.81562340259552,1e-07,1.2292441,1.8106703,1.3456115,0.05784708261489868,0.1996002197265625,0.05289383977651596,0.22998660802841187
86,1.815612554550171,1e-07,1.2292405,1.8106594,1.3456074,0.057847507297992706,0.19960099458694458,0.052894264459609985,0.22998753190040588
87,1.8156020641326904,1e-07,1.2292372,1.8106489,1.3456036,0.057847850024700165,0.19960156083106995,0.052894607186317444,0.22998827695846558
88,1.81559157371521,1e-07,1.2292337,1.8106384,1.3455997,0.057848237454891205,0.1996023952960968,0.052894994616508484,0.22998911142349243
89,1.8155806064605713,1e-07,1.2292304,1.8106275,1.3455956,0.05784851312637329,0.1996028870344162,0.05289527028799057,0.22998972237110138
90,1.8155686855316162,1e-07,1.2292266,1.8106155,1.3455912,0.057848960161209106,0.19960370659828186,0.052895717322826385,0.22999069094657898
