epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8688410520553589,1e-05,1.2507733,1.8638878,1.3652427,0.01102732215076685,0.059487536549568176,0.006074022501707077,0.07793601602315903
1,1.868459939956665,1e-05,1.2506514,1.8635067,1.3651031,0.011031663976609707,0.05950911343097687,0.006078366655856371,0.07796388119459152
2,1.8681340217590332,1e-05,1.2505473,1.8631808,1.3649838,0.011036277748644352,0.05953209102153778,0.0060829841531813145,0.0779934898018837
3,1.867788553237915,1e-05,1.2504367,1.8628353,1.3648572,0.011041044257581234,0.059555768966674805,0.006087753921747208,0.07802405953407288
4,1.867431640625,1e-05,1.2503223,1.8624784,1.3647264,0.011045924387872219,0.05957990884780884,0.006092637777328491,0.07805535197257996
5,1.8670670986175537,5e-06,1.250206,1.8621138,1.3645929,0.011048397049307823,0.05959214270114899,0.0060951123014092445,0.07807119935750961
6,1.8668828010559082,5e-06,1.2501469,1.8619295,1.3645254,0.01105088647454977,0.05960442125797272,0.006097602192312479,0.07808714359998703
7,1.8666975498199463,5e-06,1.2500877,1.8617443,1.3644575,0.011053420603275299,0.05961689352989197,0.006100138649344444,0.07810338586568832
8,1.8665094375610352,5e-06,1.2500275,1.8615562,1.3643886,0.0110559593886137,0.0596294105052948,0.006102679297327995,0.07811965048313141
9,1.866321086883545,2.5e-06,1.2499672,1.8613678,1.3643196,0.011057225987315178,0.05963563919067383,0.006103947293013334,0.07812776416540146
10,1.8662266731262207,2.5e-06,1.249937,1.8612734,1.364285,0.011058512143790722,0.05964198708534241,0.0061052339151501656,0.07813599705696106
11,1.866131067276001,2.5e-06,1.2499064,1.8611778,1.36425,0.011059807613492012,0.059648334980010986,0.00610653031617403,0.07814428955316544
12,1.8660364151000977,2.5e-06,1.2498761,1.8610831,1.3642153,0.011061097495257854,0.059654682874679565,0.00610782066360116,0.07815254479646683
13,1.8659412860870361,1.25e-06,1.2498456,1.860988,1.3641803,0.011061728931963444,0.059657707810401917,0.006108452565968037,0.07815659046173096
14,1.8658936023712158,1.25e-06,1.2498304,1.8609403,1.3641629,0.0110623799264431,0.059660911560058594,0.0061091044917702675,0.07816076278686523
15,1.8658456802368164,1.25e-06,1.2498151,1.8608924,1.3641453,0.011063015088438988,0.059664055705070496,0.006109739188104868,0.07816482335329056
16,1.8657982349395752,1.25e-06,1.2498,1.860845,1.3641279,0.011063666082918644,0.05966725945472717,0.006110391113907099,0.07816898822784424
17,1.8657505512237549,6.25e-07,1.2497845,1.8607973,1.3641105,0.011063989251852036,0.05966886878013611,0.006110714748501778,0.07817105948925018
18,1.865726351737976,6.25e-07,1.2497768,1.8607731,1.3641015,0.011064328253269196,0.059670478105545044,0.006111053749918938,0.07817322760820389
19,1.8657021522521973,6.25e-07,1.2497692,1.8607489,1.3640927,0.011064646765589714,0.059672072529792786,0.006111372262239456,0.07817526906728745
20,1.8656777143478394,6.25e-07,1.2497613,1.8607244,1.3640838,0.011064988560974598,0.059673771262168884,0.00611171405762434,0.07817745208740234
21,1.8656538724899292,3.125e-07,1.2497537,1.8607006,1.364075,0.011065134778618813,0.05967444181442261,0.006111861672252417,0.07817839831113815
22,1.8656418323516846,3.125e-07,1.2497499,1.8606886,1.3640705,0.011065302416682243,0.05967527627944946,0.00611202884465456,0.07817946374416351
23,1.865630030632019,3.125e-07,1.249746,1.8606768,1.3640662,0.0110654691234231,0.05967606604099274,0.006112195551395416,0.07818052917718887
24,1.8656179904937744,3.125e-07,1.2497422,1.8606647,1.3640618,0.011065619066357613,0.05967681109905243,0.006112345494329929,0.07818149030208588
25,1.8656061887741089,1.5625e-07,1.2497385,1.8606529,1.3640575,0.011065708473324776,0.05967724323272705,0.0061124349012970924,0.07818206399679184
26,1.8655998706817627,1.5625e-07,1.2497364,1.8606466,1.3640552,0.011065797880291939,0.05967770516872406,0.0061125243082642555,0.0781826376914978
27,1.8655931949615479,1.5625e-07,1.2497343,1.8606399,1.3640528,0.011065881699323654,0.05967812240123749,0.006112608127295971,0.07818316668272018
28,1.8655877113342285,1.5625e-07,1.2497325,1.8606344,1.3640507,0.01106596551835537,0.059678494930267334,0.006112691946327686,0.07818370312452316
29,1.8655812740325928,1e-07,1.2497305,1.860628,1.3640484,0.0110660120844841,0.05967871844768524,0.006112738978117704,0.07818400859832764
30,1.8655776977539062,1e-07,1.2497293,1.8606244,1.364047,0.011066069826483727,0.05967901647090912,0.0061127967201173306,0.07818437367677689
31,1.8655732870101929,1e-07,1.2497278,1.86062,1.3640455,0.011066127568483353,0.05967932939529419,0.006112853996455669,0.07818474620580673
32,1.8655695915222168,1e-07,1.2497268,1.8606163,1.3640441,0.011066175997257233,0.059679508209228516,0.006112902425229549,0.0781850516796112
33,1.865565538406372,1e-07,1.2497255,1.8606123,1.3640426,0.011066224426031113,0.05967976152896881,0.006112951319664717,0.07818536460399628
34,1.8655613660812378,1e-07,1.249724,1.8606081,1.3640411,0.011066282168030739,0.05968005955219269,0.006113009061664343,0.07818573713302612
35,1.8655576705932617,1e-07,1.249723,1.8606044,1.3640398,0.011066335253417492,0.05968032777309418,0.006113061681389809,0.07818607240915298
36,1.865553379058838,1e-07,1.2497215,1.8606001,1.3640381,0.011066385544836521,0.05968058109283447,0.0061131133697927,0.07818640023469925
37,1.8655495643615723,1e-07,1.2497202,1.8605963,1.3640368,0.011066451668739319,0.05968087911605835,0.00611317902803421,0.07818682491779327
38,1.8655455112457275,1e-07,1.2497189,1.8605922,1.3640352,0.011066502891480923,0.05968119204044342,0.006113230250775814,0.07818714529275894
39,1.865541696548462,1e-07,1.2497178,1.8605884,1.3640339,0.011066552251577377,0.05968138575553894,0.006113279610872269,0.07818746566772461
40,1.865537166595459,1e-07,1.2497164,1.8605839,1.3640323,0.011066612787544727,0.05968168377876282,0.006113339681178331,0.07818784564733505
41,1.8655335903167725,1e-07,1.2497152,1.8605803,1.364031,0.011066663078963757,0.05968192219734192,0.006113390438258648,0.07818817347288132
42,1.8655295372009277,1e-07,1.2497139,1.8605763,1.3640294,0.011066711507737637,0.05968214571475983,0.006113438867032528,0.07818848639726639
43,1.865525722503662,1e-07,1.2497126,1.8605725,1.364028,0.011066758073866367,0.059682413935661316,0.006113485898822546,0.07818878442049026
44,1.865521788597107,1e-07,1.2497114,1.8605685,1.3640265,0.011066826991736889,0.059682756662368774,0.0061135548166930676,0.07818922400474548
45,1.8655176162719727,1e-07,1.2497101,1.8605644,1.364025,0.01106687355786562,0.0596829354763031,0.006113600451499224,0.07818951457738876
46,1.8655130863189697,1e-07,1.2497088,1.8605598,1.3640234,0.011066925711929798,0.059683188796043396,0.006113652605563402,0.07818984985351562
47,1.8655093908309937,1e-07,1.2497073,1.8605561,1.364022,0.01106699276715517,0.05968354642391205,0.006113720592111349,0.07819028198719025
48,1.8655054569244385,1e-07,1.2497061,1.8605522,1.3640206,0.011067032814025879,0.059683725237846375,0.00611376017332077,0.07819053530693054
49,1.8655016422271729,1e-07,1.2497048,1.8605484,1.3640192,0.011067088693380356,0.05968400835990906,0.006113816052675247,0.0781908929347992
50,1.8654974699020386,1e-07,1.2497035,1.8605442,1.3640177,0.011067147366702557,0.05968432128429413,0.006113875191658735,0.07819127291440964
51,1.8654935359954834,1e-07,1.2497023,1.8605403,1.3640162,0.011067197658121586,0.05968455970287323,0.00611392455175519,0.07819158583879471
52,1.8654897212982178,1e-07,1.249701,1.8605365,1.3640149,0.011067251674830914,0.05968479812145233,0.006113979034125805,0.07819193601608276
53,1.8654855489730835,1e-07,1.2496997,1.8605323,1.3640133,0.011067306622862816,0.05968505144119263,0.006114033982157707,0.07819228619337082
54,1.8654816150665283,1e-07,1.2496985,1.8605283,1.3640119,0.011067359708249569,0.05968533456325531,0.006114086601883173,0.07819262146949768
55,1.865477442741394,1e-07,1.2496971,1.8605242,1.3640103,0.011067411862313747,0.0596856027841568,0.006114139687269926,0.07819296419620514
56,1.865473985671997,1e-07,1.2496961,1.8605207,1.364009,0.011067468672990799,0.05968587100505829,0.00611419603228569,0.07819332182407379
57,1.8654693365097046,1e-07,1.2496947,1.8605161,1.3640074,0.011067529208958149,0.05968615412712097,0.006114257033914328,0.07819371670484543
58,1.8654661178588867,1e-07,1.2496935,1.8605129,1.3640062,0.01106757577508688,0.05968639254570007,0.006114303134381771,0.07819400727748871
