epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8688410520553589,1e-05,1.2507733,1.8638878,1.3652427,0.011104369536042213,0.05986461043357849,0.00615105964243412,0.07842869311571121
1,1.866395115852356,1e-05,1.249955,1.8614417,1.3643466,0.011189446784555912,0.06026686728000641,0.006236129906028509,0.07896917313337326
2,1.8639494180679321,1e-05,1.2491364,1.858996,1.36345,0.011277524754405022,0.060669392347335815,0.006324202753603458,0.07952485978603363
3,1.861504077911377,1e-05,1.2483174,1.8565507,1.362553,0.011368543840944767,0.0610717236995697,0.006415214855223894,0.08009503781795502
4,1.859057068824768,1e-05,1.2474974,1.8541037,1.3616548,0.011462574824690819,0.06147432327270508,0.006509239785373211,0.08067985624074936
5,1.856614112854004,5e-06,1.246678,1.8516607,1.3607574,0.011510670185089111,0.06167517602443695,0.006557331886142492,0.08097735047340393
6,1.8553909063339233,5e-06,1.2462678,1.8504375,1.3603079,0.011559557169675827,0.06187649071216583,0.006606215611100197,0.08127862960100174
7,1.8541682958602905,5e-06,1.2458577,1.8492149,1.3598584,0.011609148234128952,0.06207758188247681,0.006655803881585598,0.08158311247825623
8,1.8529449701309204,5e-06,1.2454469,1.8479916,1.3594085,0.011659501120448112,0.06227855384349823,0.00670615304261446,0.08189110457897186
9,1.851723313331604,2.5e-06,1.2450367,1.8467699,1.3589591,0.011684965342283249,0.06237940490245819,0.0067316158674657345,0.08204642683267593
10,1.851112723350525,2.5e-06,1.2448319,1.8461593,1.3587345,0.011710607446730137,0.06247992813587189,0.006757256109267473,0.08220253139734268
11,1.8505007028579712,2.5e-06,1.2446262,1.8455473,1.3585092,0.011736415326595306,0.062580406665802,0.006783062592148781,0.08235935121774673
12,1.8498905897140503,2.5e-06,1.2444214,1.8449372,1.3582847,0.011762415058910847,0.06268079578876495,0.006809060461819172,0.08251702785491943
13,1.849278450012207,1.25e-06,1.2442156,1.8443251,1.3580593,0.011775514110922813,0.06273134052753448,0.006822158116847277,0.08259635418653488
14,1.8489729166030884,1.25e-06,1.244113,1.8440195,1.3579468,0.011788645759224892,0.06278161704540253,0.006835290230810642,0.08267581462860107
15,1.8486675024032593,1.25e-06,1.2440104,1.8437141,1.3578343,0.0118018239736557,0.06283192336559296,0.006848466582596302,0.08275546133518219
16,1.8483608961105347,1.25e-06,1.2439073,1.8434075,1.3577214,0.011815031990408897,0.06288214027881622,0.006861674599349499,0.08283522725105286
17,1.8480559587478638,6.25e-07,1.2438048,1.8431026,1.3576092,0.01182166300714016,0.06290744245052338,0.006868305616080761,0.08287524431943893
18,1.8479032516479492,6.25e-07,1.2437534,1.8429499,1.3575529,0.011828329414129257,0.0629328191280365,0.006874971091747284,0.08291544765233994
19,1.8477517366409302,6.25e-07,1.2437028,1.8427984,1.3574971,0.01183492224663496,0.0629577785730362,0.006881563924252987,0.08295518904924393
20,1.8475984334945679,6.25e-07,1.2436512,1.842645,1.3574406,0.011841563507914543,0.0629827082157135,0.006888204254209995,0.08299520611763
21,1.8474464416503906,3.125e-07,1.2436001,1.842493,1.3573847,0.011844885535538197,0.06299532949924469,0.006891526281833649,0.08301521837711334
22,1.847370982170105,3.125e-07,1.2435747,1.8424176,1.3573568,0.0118482057005167,0.06300792098045349,0.006894846446812153,0.08303521573543549
23,1.8472951650619507,3.125e-07,1.2435493,1.8423418,1.3573289,0.011851479299366474,0.06302033364772797,0.006898120045661926,0.08305492252111435
24,1.8472198247909546,3.125e-07,1.2435238,1.8422664,1.3573011,0.011854802258312702,0.06303262710571289,0.00690144207328558,0.08307491987943649
25,1.8471444845199585,1.5625e-07,1.2434987,1.8421911,1.3572735,0.011856405064463615,0.06303873658180237,0.006903044879436493,0.08308456093072891
26,1.8471055030822754,1.5625e-07,1.2434856,1.8421521,1.357259,0.011858053505420685,0.06304481625556946,0.006904693320393562,0.08309448510408401
27,1.847068190574646,1.5625e-07,1.2434733,1.8421148,1.3572453,0.011859677731990814,0.06305095553398132,0.006906317546963692,0.08310426026582718
28,1.8470300436019897,1.5625e-07,1.2434605,1.8420767,1.3572313,0.011861342936754227,0.06305721402168274,0.006907982751727104,0.08311427384614944
