epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.9050384759902954,1e-08,1.283031,1.9000821,1.3784347,0.024265503510832787,0.11314967274665833,0.019309036433696747,0.1389569640159607
1,1.9050360918045044,1e-08,1.2830304,1.9000797,1.3784338,0.0242652278393507,0.11314898729324341,0.01930875889956951,0.1389559656381607
2,1.9050345420837402,1e-08,1.2830297,1.9000782,1.3784332,0.024264967069029808,0.1131482869386673,0.01930849999189377,0.1389550268650055
3,1.905031442642212,1e-08,1.2830286,1.9000751,1.3784322,0.024264654144644737,0.11314746737480164,0.019308187067508698,0.13895390927791595
4,1.9050288200378418,1e-08,1.2830279,1.9000725,1.3784312,0.02426438219845295,0.11314666271209717,0.01930791325867176,0.13895291090011597
5,1.9050261974334717,1e-08,1.283027,1.9000698,1.3784302,0.02426411770284176,0.11314605176448822,0.01930765062570572,0.13895197212696075
6,1.9050236940383911,1e-08,1.2830262,1.9000673,1.3784293,0.02426387555897236,0.11314530670642853,0.01930740848183632,0.1389511078596115
7,1.905020833015442,1e-08,1.2830254,1.9000645,1.3784282,0.024263577535748482,0.11314450204372406,0.019307110458612442,0.13895003497600555
8,1.9050180912017822,1e-08,1.2830245,1.9000617,1.3784273,0.02426324598491192,0.11314360797405243,0.01930677890777588,0.13894884288311005
9,1.905015230178833,1e-08,1.2830235,1.9000589,1.3784262,0.02426300384104252,0.1131429523229599,0.01930653676390648,0.1389479637145996
10,1.9050132036209106,1e-08,1.2830229,1.9000568,1.3784255,0.024262716993689537,0.11314217746257782,0.019306249916553497,0.13894693553447723
11,1.9050102233886719,1e-08,1.2830218,1.9000539,1.3784244,0.024262452498078346,0.1131414920091629,0.019305983558297157,0.13894596695899963
12,1.9050071239471436,1e-08,1.283021,1.9000508,1.3784233,0.024262206628918648,0.11314082145690918,0.019305739551782608,0.1389451026916504
13,1.9050047397613525,1e-08,1.2830201,1.9000484,1.3784224,0.024261867627501488,0.11313985288143158,0.0193053986877203,0.1389438658952713
