epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.9694291353225708,1e-09,1.2979935,1.9644709,1.4015958,0.009510429576039314,0.0559505969285965,0.004552148282527924,0.06746961176395416
1,1.9694291353225708,1e-09,1.2979935,1.9644709,1.4015958,0.009510429576039314,0.0559505969285965,0.004552148282527924,0.06746961176395416
2,1.9694294929504395,1e-09,1.2979935,1.9644712,1.401596,0.009510430507361889,0.05595061182975769,0.0045521496795117855,0.06746961921453476
3,1.9694294929504395,1e-09,1.2979935,1.9644712,1.401596,0.009510430507361889,0.0559505820274353,0.0045521496795117855,0.06746961921453476
4,1.9694290161132812,1e-09,1.2979935,1.9644707,1.4015958,0.009510413743555546,0.05595046281814575,0.004552132450044155,0.06746949255466461
5,1.9694290161132812,1e-09,1.2979934,1.9644707,1.4015958,0.009510407224297523,0.055950433015823364,0.00455212639644742,0.06746944785118103
6,1.9694290161132812,1e-09,1.2979935,1.9644707,1.4015958,0.009510405361652374,0.05595040321350098,0.004552124068140984,0.06746943295001984
7,1.9694290161132812,1e-09,1.2979934,1.9644707,1.4015958,0.009510405361652374,0.05595040321350098,0.004552124068140984,0.06746943295001984
8,1.9694287776947021,1e-09,1.2979933,1.9644705,1.4015957,0.009510405361652374,0.05595040321350098,0.004552124068140984,0.06746943295001984
9,1.9694287776947021,1e-09,1.2979935,1.9644705,1.4015957,0.009510406292974949,0.05595041811466217,0.0045521254651248455,0.06746944040060043
10,1.9694290161132812,1e-09,1.2979933,1.9644707,1.4015958,0.009510401636362076,0.05595040321350098,0.004552120342850685,0.06746940314769745
11,1.969428539276123,1e-09,1.2979933,1.9644703,1.4015956,0.009510397911071777,0.05595040321350098,0.004552117083221674,0.06746938079595566
12,1.9694286584854126,1e-09,1.2979933,1.9644704,1.4015957,0.009510400705039501,0.05595038831233978,0.0045521194115281105,0.06746939569711685
13,1.9694286584854126,1e-09,1.2979933,1.9644704,1.4015957,0.009510401636362076,0.05595040321350098,0.004552120808511972,0.06746940314769745
14,1.9694278240203857,1e-09,1.2979931,1.9644696,1.4015954,0.0095104044303298,0.05595040321350098,0.004552123136818409,0.06746942549943924
15,1.969428300857544,1e-09,1.2979933,1.96447,1.4015955,0.009510399773716927,0.05595037341117859,0.004552118480205536,0.06746938824653625
16,1.969428539276123,1e-09,1.2979933,1.9644703,1.4015956,0.009510401636362076,0.05595038831233978,0.004552120808511972,0.06746940314769745
17,1.9694281816482544,1e-09,1.2979932,1.9644699,1.4015955,0.009510401636362076,0.05595038831233978,0.004552120808511972,0.06746940314769745
18,1.9694281816482544,1e-09,1.2979933,1.9644699,1.4015955,0.009510397911071777,0.055950358510017395,0.004552116617560387,0.06746937334537506
19,1.969428539276123,1e-09,1.2979933,1.9644703,1.4015956,0.009510400705039501,0.05595038831233978,0.0045521194115281105,0.06746939569711685
20,1.9694286584854126,1e-09,1.2979933,1.9644704,1.4015957,0.009510400705039501,0.05595038831233978,0.0045521194115281105,0.06746939569711685
21,1.9694278240203857,1e-09,1.2979931,1.9644696,1.4015954,0.009510396048426628,0.05595038831233978,0.004552115220576525,0.06746936589479446
22,1.969428539276123,1e-09,1.2979932,1.9644703,1.4015956,0.009510396048426628,0.05595040321350098,0.004552115220576525,0.06746936589479446
23,1.9694281816482544,1e-09,1.2979932,1.9644699,1.4015955,0.009510400705039501,0.055950433015823364,0.004552119877189398,0.06746940314769745
24,1.9694278240203857,1e-09,1.2979932,1.9644696,1.4015954,0.009510394185781479,0.05595040321350098,0.0045521133579313755,0.06746935099363327
25,1.9694281816482544,1e-09,1.2979931,1.9644699,1.4015955,0.009510396979749203,0.05595040321350098,0.004552115686237812,0.06746936589479446
26,1.9694275856018066,1e-09,1.297993,1.9644693,1.4015952,0.009510396048426628,0.05595038831233978,0.004552114754915237,0.06746935844421387
27,1.9694275856018066,1e-09,1.2979931,1.9644693,1.4015952,0.009510389529168606,0.05595032870769501,0.004552108235657215,0.06746931374073029
28,1.9694281816482544,1e-09,1.2979932,1.9644699,1.4015955,0.00951039046049118,0.055950313806533813,0.00455210916697979,0.06746932119131088
29,1.9694278240203857,1e-09,1.2979931,1.9644696,1.4015954,0.009510391391813755,0.05595032870769501,0.004552110098302364,0.06746932864189148
30,1.9694275856018066,1e-09,1.2979931,1.9644693,1.4015952,0.00951039232313633,0.0559503436088562,0.004552111495286226,0.06746933609247208
31,1.9694271087646484,1e-09,1.2979928,1.9644688,1.4015951,0.009510388597846031,0.055950284004211426,0.0045521073043346405,0.06746930629014969
32,1.9694273471832275,1e-09,1.297993,1.9644691,1.4015952,0.009510385803878307,0.055950284004211426,0.004552104976028204,0.0674692913889885
33,1.969427227973938,1e-09,1.2979928,1.964469,1.4015951,0.00951039046049118,0.055950313806533813,0.00455210916697979,0.06746932119131088
34,1.969427227973938,1e-09,1.2979931,1.964469,1.4015951,0.009510382078588009,0.05595025420188904,0.004552100785076618,0.06746926158666611
35,1.969427227973938,1e-09,1.2979928,1.964469,1.4015951,0.009510383941233158,0.05595026910305023,0.004552102647721767,0.0674692690372467
36,1.9694273471832275,1e-09,1.2979928,1.9644691,1.4015952,0.009510383941233158,0.05595025420188904,0.004552102647721767,0.0674692690372467
37,1.9694267511367798,1e-09,1.2979928,1.9644685,1.401595,0.009510388597846031,0.055950284004211426,0.0045521073043346405,0.06746930629014969
38,1.969427227973938,1e-09,1.2979928,1.964469,1.4015951,0.009510388597846031,0.055950313806533813,0.0045521073043346405,0.06746930629014969
39,1.9694275856018066,1e-09,1.2979931,1.9644693,1.4015952,0.009510389529168606,0.055950358510017395,0.004552108701318502,0.06746931374073029
40,1.9694271087646484,1e-09,1.2979928,1.9644688,1.4015951,0.00951039232313633,0.05595037341117859,0.004552111495286226,0.06746933609247208
41,1.9694271087646484,1e-09,1.2979928,1.9644688,1.4015951,0.009510382078588009,0.05595029890537262,0.004552100785076618,0.06746926158666611
42,1.9694268703460693,1e-09,1.2979928,1.9644686,1.401595,0.009510382078588009,0.05595029890537262,0.004552100785076618,0.06746926158666611
43,1.9694263935089111,1e-09,1.2979926,1.9644681,1.4015949,0.009510382078588009,0.05595029890537262,0.004552100785076618,0.06746926158666611
44,1.9694266319274902,1e-09,1.2979927,1.9644684,1.4015949,0.009510360658168793,0.05595019459724426,0.004552079830318689,0.06746910512447357
45,1.9694267511367798,1e-09,1.2979927,1.9644685,1.401595,0.009510358795523643,0.05595017969608307,0.004552077502012253,0.06746908277273178
46,1.9694268703460693,1e-09,1.2979927,1.9644686,1.401595,0.009510364383459091,0.05595020949840546,0.0045520830899477005,0.06746912747621536
