epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.9694291353225708,1e-06,1.2979935,1.9644709,1.4015958,0.009500963613390923,0.05588445067405701,0.004542682785540819,0.06739942729473114
1,1.9691824913024902,1e-06,1.2979156,1.9642242,1.4015079,0.009491568431258202,0.055818647146224976,0.0045332880690693855,0.06732969731092453
2,1.9689356088638306,1e-06,1.2978376,1.9639773,1.4014198,0.009482153691351414,0.05575259029865265,0.004523875191807747,0.0672597587108612
3,1.9686890840530396,1e-06,1.2977599,1.9637308,1.4013318,0.009472791105508804,0.055686622858047485,0.0045145126059651375,0.06719012558460236
4,1.9684412479400635,1e-06,1.2976815,1.963483,1.4012433,0.009463449940085411,0.055620744824409485,0.004505174234509468,0.06712059676647186
5,1.9681949615478516,5e-07,1.2976037,1.9632367,1.4011555,0.009458733722567558,0.05558742582798004,0.004500458016991615,0.06708545237779617
6,1.9680709838867188,5e-07,1.2975646,1.9631127,1.4011112,0.009454072453081608,0.055554479360580444,0.004495796747505665,0.06705070286989212
7,1.967947006225586,5e-07,1.2975255,1.9629887,1.401067,0.009449389763176441,0.055521219968795776,0.004491114057600498,0.06701577454805374
8,1.9678235054016113,5e-07,1.2974864,1.9628652,1.4010229,0.009444731287658215,0.055488184094429016,0.004486455582082272,0.0669810101389885
9,1.9676990509033203,2.5e-07,1.2974471,1.9627408,1.4009786,0.009442400187253952,0.055471643805503845,0.004484125413000584,0.06696361303329468
10,1.967637538909912,2.5e-07,1.2974278,1.9626793,1.4009565,0.00944007933139801,0.05545508861541748,0.004481804557144642,0.06694628298282623
11,1.967576026916504,2.5e-07,1.2974082,1.9626178,1.4009346,0.009437775239348412,0.05543874204158783,0.004479499533772469,0.06692906469106674
12,1.9675135612487793,2.5e-07,1.2973887,1.9625553,1.4009123,0.009435444138944149,0.05542208254337311,0.0044771707616746426,0.06691166758537292
13,1.9674521684646606,1.25e-07,1.2973691,1.9624939,1.4008904,0.009434296749532223,0.05541396141052246,0.004476022906601429,0.06690308451652527
14,1.9674217700958252,1.25e-07,1.2973596,1.9624635,1.4008795,0.009433179162442684,0.05540604889392853,0.00447490531951189,0.06689473241567612
15,1.9673917293548584,1.25e-07,1.2973502,1.9624335,1.4008688,0.009432055056095123,0.05539792776107788,0.0044737812131643295,0.06688632816076279
16,1.9673620462417603,1.25e-07,1.2973408,1.9624038,1.4008583,0.009430910460650921,0.05538986623287201,0.004472637549042702,0.06687778234481812
17,1.9673316478729248,1e-07,1.2973311,1.9623734,1.4008474,0.009429972618818283,0.05538317561149597,0.004471699241548777,0.06687076389789581
18,1.9673068523406982,1e-07,1.2973232,1.9623486,1.4008385,0.00942905806005001,0.05537666380405426,0.0044707851484417915,0.06686393171548843
19,1.9672815799713135,1e-07,1.2973154,1.9623233,1.4008296,0.009428136982023716,0.05537009239196777,0.004469864070415497,0.06685703992843628
20,1.9672566652297974,1e-07,1.2973074,1.9622984,1.4008206,0.009427187964320183,0.0553632527589798,0.004468915052711964,0.06684994697570801
21,1.9672318696975708,1e-07,1.2972997,1.9622736,1.4008118,0.009426252916455269,0.05535663664340973,0.00446798000484705,0.0668429508805275
22,1.9672071933746338,1e-07,1.2972918,1.9622489,1.400803,0.00942531693726778,0.05534999072551727,0.004467044025659561,0.06683594733476639
23,1.967181921005249,1e-07,1.2972838,1.9622236,1.4007939,0.009424387477338314,0.05534332990646362,0.004466115031391382,0.06682899594306946
24,1.9671568870544434,1e-07,1.297276,1.9621986,1.400785,0.00942347664386034,0.055336713790893555,0.004465204197913408,0.06682218611240387
25,1.9671317338943481,1e-07,1.297268,1.9621735,1.400776,0.009422552771866322,0.055330172181129456,0.004464279860258102,0.06681526452302933
