epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8243839740753174,1e-04,1.2385298,1.8194257,1.3488609,0.04227529093623161,0.16538946330547333,0.03731703758239746,0.19317618012428284
1,1.8217532634735107,1e-04,1.2376689,1.816795,1.3478854,0.04216372221708298,0.1652507185935974,0.03720549866557121,0.19288727641105652
2,1.8187211751937866,1e-04,1.2366759,1.813763,1.3467602,0.04204598441720009,0.16510361433029175,0.03708779066801071,0.192581906914711
3,1.815511703491211,1e-04,1.2356238,1.8105536,1.3455681,0.04192500561475754,0.16495181620121002,0.03696684539318085,0.19226764142513275
4,1.8122029304504395,1e-04,1.2345381,1.8072448,1.344338,0.041802190244197845,0.16479697823524475,0.03684405982494354,0.1919480711221695
5,1.8088315725326538,1e-04,1.2334307,1.8038734,1.3430835,0.04167841002345085,0.16464021801948547,0.036720313131809235,0.1916254460811615
6,1.8054192066192627,1e-04,1.2323091,1.8004612,1.3418126,0.0415540486574173,0.1644819974899292,0.03659598529338837,0.19130076467990875
7,1.8019793033599854,1e-04,1.2311772,1.7970213,1.3405303,0.04142943397164345,0.1643226444721222,0.0364714041352272,0.1909748762845993
8,1.7985188961029053,1e-04,1.2300372,1.7935609,1.3392389,0.04130476713180542,0.16416248679161072,0.03634677082300186,0.19064828753471375
9,1.7950438261032104,1e-04,1.2288914,1.7900859,1.3379409,0.04118021950125694,0.16400162875652313,0.03622225672006607,0.19032146036624908
10,1.7915586233139038,1e-04,1.227741,1.7866007,1.3366379,0.04105589538812637,0.16384029388427734,0.03609796613454819,0.18999464809894562
11,1.7880662679672241,1e-04,1.2265872,1.7831084,1.3353308,0.04093189164996147,0.1636786013841629,0.03597399592399597,0.18966811895370483
12,1.7845691442489624,1e-04,1.2254304,1.7796112,1.3340207,0.04080828279256821,0.1635165512561798,0.03585042059421539,0.18934206664562225
13,1.7810680866241455,1e-04,1.2242713,1.7761103,1.3327079,0.04068511724472046,0.1633543074131012,0.03572729229927063,0.18901664018630981
14,1.7775661945343018,1e-04,1.2231107,1.7726084,1.3313934,0.04056243225932121,0.16319184005260468,0.03560464084148407,0.1886919140815735
15,1.7740623950958252,1e-04,1.221948,1.7691046,1.3300769,0.04044027253985405,0.1630292385816574,0.03548251464962959,0.188368022441864
16,1.7705591917037964,1e-04,1.2207848,1.7656015,1.3287594,0.04031864553689957,0.1628665030002594,0.035360921174287796,0.18804499506950378
17,1.7670589685440063,1e-04,1.2196211,1.7621013,1.3274417,0.04019760340452194,0.16270378232002258,0.03523991256952286,0.18772296607494354
18,1.7635598182678223,1e-04,1.2184566,1.7586021,1.326123,0.040077146142721176,0.16254088282585144,0.03511948883533478,0.18740195035934448
19,1.7600640058517456,1e-04,1.217292,1.7551063,1.3248043,0.03995729610323906,0.1623779833316803,0.03499967232346535,0.18708199262619019
20,1.7565696239471436,1e-04,1.2161266,1.7516121,1.3234848,0.03983805328607559,0.16221508383750916,0.034880463033914566,0.18676312267780304
21,1.7530786991119385,1e-04,1.2149612,1.7481211,1.3221654,0.0397208034992218,0.16205406188964844,0.03476324677467346,0.1864490509033203
22,1.7496321201324463,1e-04,1.2138094,1.7446746,1.3208613,0.0396028533577919,0.16189119219779968,0.03464533016085625,0.18613256514072418
23,1.7461496591567993,1e-04,1.2126445,1.7411922,1.3195424,0.03948554769158363,0.16172835230827332,0.034528058022260666,0.18581727147102356
24,1.7426704168319702,1e-04,1.2114793,1.737713,1.3182235,0.03936892747879028,0.16156554222106934,0.03441147133708,0.185503289103508
25,1.7391966581344604,1e-04,1.2103149,1.7342392,1.3169051,0.03925294801592827,0.16140280663967133,0.03429552540183067,0.18519051373004913
26,1.7357271909713745,1e-04,1.2091506,1.7307698,1.3155873,0.039137668907642365,0.16124017536640167,0.034180279821157455,0.1848790943622589
27,1.732262372970581,1e-04,1.2079867,1.727305,1.3142698,0.0390230268239975,0.16107752919197083,0.034065671265125275,0.1845688819885254
28,1.728804111480713,1e-04,1.2068236,1.7238468,1.3129535,0.03890908136963844,0.16091497242450714,0.033951759338378906,0.1842600256204605
29,1.7253491878509521,1e-04,1.2056606,1.7203919,1.311637,0.03879579156637192,0.16075240075588226,0.03383850306272507,0.1839524507522583
30,1.7218997478485107,1e-04,1.2044982,1.7169424,1.3103215,0.038684528321027756,0.1605919897556305,0.03372727334499359,0.18364986777305603
31,1.7184957265853882,1e-04,1.2033498,1.7135385,1.309022,0.03857261314988136,0.16042962670326233,0.033615391701459885,0.1833450049161911
32,1.7150564193725586,1e-04,1.2021885,1.7100992,1.3077077,0.03846137225627899,0.16026732325553894,0.0335041843354702,0.18304148316383362
33,1.711623191833496,1e-04,1.201028,1.706666,1.3063942,0.03835082799196243,0.16010519862174988,0.03339367359876633,0.18273936212062836
34,1.7081955671310425,1e-04,1.1998681,1.7032385,1.3050818,0.03824097663164139,0.1599431186914444,0.03328385576605797,0.18243864178657532
35,1.7047737836837769,1e-04,1.1987089,1.6998167,1.3037702,0.03813181072473526,0.15978115797042847,0.033174723386764526,0.1821392923593521
36,1.701357364654541,1e-04,1.1975503,1.6964003,1.3024594,0.03802332654595375,0.1596192717552185,0.0330662727355957,0.18184134364128113
37,1.6979458332061768,1e-04,1.1963922,1.6929888,1.301149,0.037915535271167755,0.15945744514465332,0.032958514988422394,0.18154479563236237
38,1.6945394277572632,1e-04,1.1952347,1.6895825,1.2998394,0.037808459252119064,0.15929582715034485,0.03285147249698639,0.18124975264072418
39,1.6911402940750122,1e-04,1.1940783,1.6861833,1.2985312,0.0377020463347435,0.15913425385951996,0.03274508938193321,0.18095603585243225
40,1.6877458095550537,1e-04,1.1929225,1.6827888,1.2972236,0.037597429007291794,0.15897445380687714,0.03264050558209419,0.18066683411598206
41,1.684391975402832,1e-04,1.191779,1.6794351,1.2959303,0.03749235346913338,0.15881302952766418,0.03253546357154846,0.18037588894367218
42,1.6810095310211182,1e-04,1.1906248,1.6760527,1.2946246,0.03738802298903465,0.15865179896354675,0.032431166619062424,0.18008655309677124
43,1.677633285522461,1e-04,1.1894714,1.6726764,1.29332,0.03728433698415756,0.1584906131029129,0.03232751414179802,0.17979854345321655
44,1.6742613315582275,1e-04,1.1883183,1.6693045,1.2920157,0.037181366235017776,0.158329576253891,0.03222457319498062,0.17951203882694244
45,1.670894742012024,1e-04,1.1871657,1.665938,1.2907122,0.03707902878522873,0.15816853940486908,0.03212226927280426,0.1792268604040146
46,1.6675349473953247,1e-04,1.1860143,1.6625782,1.28941,0.03697742149233818,0.1580076962709427,0.0320206955075264,0.17894327640533447
47,1.6641806364059448,1e-04,1.1848636,1.6592239,1.2881087,0.036876458674669266,0.15784689784049988,0.03191976621747017,0.1786610335111618
48,1.6608325242996216,1e-04,1.1837138,1.6558758,1.2868084,0.03677620738744736,0.1576862633228302,0.03181954473257065,0.1783803403377533
49,1.6574891805648804,1e-04,1.1825644,1.6525326,1.2855086,0.03667662292718887,0.15752574801445007,0.03171999379992485,0.1781010776758194
50,1.6541516780853271,1e-04,1.1814157,1.6491951,1.2842098,0.036577679216861725,0.15736520290374756,0.03162108361721039,0.17782318592071533
51,1.650820255279541,1e-04,1.1802682,1.6458637,1.2829121,0.036479465663433075,0.15720492601394653,0.031522899866104126,0.177546888589859
52,1.647493600845337,1e-04,1.1791209,1.6425371,1.281615,0.03638189658522606,0.1570446640253067,0.031425364315509796,0.1772720068693161
53,1.644173502922058,1e-04,1.1779746,1.639217,1.2803191,0.036284998059272766,0.15688446164131165,0.03132849931716919,0.1769985854625702
54,1.6408592462539673,1e-04,1.1768292,1.6359028,1.2790241,0.03618880361318588,0.15672451257705688,0.031232334673404694,0.17672672867774963
55,1.6375504732131958,1e-04,1.1756843,1.632594,1.27773,0.03609323501586914,0.15656454861164093,0.031136799603700638,0.17645622789859772
56,1.6342469453811646,1e-04,1.1745402,1.6292906,1.2764367,0.03599836304783821,0.15640470385551453,0.031041961163282394,0.17618729174137115
57,1.630948543548584,1e-04,1.1733966,1.6259922,1.275144,0.0359041653573513,0.15624497830867767,0.030947793275117874,0.17591984570026398
58,1.6276564598083496,1e-04,1.172254,1.6227001,1.2738525,0.03581060841679573,0.1560853272676468,0.030854269862174988,0.1756538301706314
59,1.6243700981140137,1e-04,1.1711121,1.6194137,1.2725619,0.03571770712733269,0.15592575073242188,0.03076140023767948,0.17538927495479584
60,1.6210881471633911,1e-04,1.1699706,1.6161319,1.2712718,0.03562549501657486,0.1557663530111313,0.03066921979188919,0.17512629926204681
61,1.6178134679794312,1e-04,1.1688303,1.6128572,1.2699832,0.03553396835923195,0.15560708940029144,0.030577724799513817,0.17486487329006195
62,1.6145426034927368,1e-04,1.1676904,1.6095864,1.2686948,0.035443052649497986,0.1554478108882904,0.03048684075474739,0.17460481822490692
63,1.6112794876098633,1e-04,1.1665517,1.6063232,1.2674081,0.035352807492017746,0.1552886664867401,0.03039662539958954,0.17434628307819366
64,1.6080206632614136,1e-04,1.1654134,1.6030645,1.2661219,0.03526323288679123,0.15512965619564056,0.030307084321975708,0.17408929765224457
65,1.604766607284546,1e-04,1.1642756,1.5998105,1.2648362,0.03517432510852814,0.15497076511383057,0.030218206346035004,0.17383384704589844
66,1.6015193462371826,1e-04,1.163139,1.5965632,1.2635518,0.03508605435490608,0.15481194853782654,0.030129967257380486,0.1735798567533493
67,1.5982764959335327,1e-04,1.1620027,1.5933205,1.262268,0.03499843180179596,0.1546531617641449,0.03004237450659275,0.17332735657691956
68,1.5950405597686768,1e-04,1.1608675,1.5900846,1.2609855,0.034911494702100754,0.15449461340904236,0.02995547279715538,0.17307649552822113
69,1.5918077230453491,1e-04,1.1597323,1.5868517,1.259703,0.03482517600059509,0.154336079955101,0.029869183897972107,0.17282703518867493
70,1.5885823965072632,1e-04,1.1585984,1.5836264,1.2584221,0.03473949432373047,0.15417759120464325,0.02978353388607502,0.1725790649652481
71,1.5853625535964966,1e-04,1.1574653,1.5804067,1.2571423,0.034654490649700165,0.1540192812681198,0.029698561877012253,0.17233270406723022
72,1.5821477174758911,1e-04,1.1563327,1.5771918,1.255863,0.03457013517618179,0.15386107563972473,0.029614238068461418,0.1720878779888153
73,1.5789381265640259,1e-04,1.1552008,1.5739822,1.2545844,0.034486424177885056,0.15370294451713562,0.029530558735132217,0.17184457182884216
74,1.5757337808609009,1e-04,1.1540695,1.5707779,1.2533067,0.034403327852487564,0.15354487299919128,0.029447492212057114,0.17160271108150482
75,1.5725350379943848,1e-04,1.1529391,1.5675793,1.25203,0.034320902079343796,0.1533869206905365,0.02936509996652603,0.1713624745607376
76,1.5693413019180298,1e-04,1.1518092,1.5643855,1.250754,0.03423914313316345,0.15322914719581604,0.029283368960022926,0.17112384736537933
77,1.5661534070968628,1e-04,1.15068,1.5611976,1.2494789,0.03415799140930176,0.15307140350341797,0.02920224703848362,0.17088665068149567
