epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8243839740753174,1e-06,1.2385298,1.8194257,1.3488609,0.0423518642783165,0.16548779606819153,0.037393584847450256,0.19337421655654907
1,1.8240824937820435,1e-06,1.2384331,1.8191242,1.3487492,0.04233133792877197,0.16546574234962463,0.03737305849790573,0.1933211237192154
2,1.8237802982330322,1e-06,1.2383362,1.818822,1.3486371,0.04231082275509834,0.16544367372989655,0.0373525470495224,0.1932680755853653
3,1.8234796524047852,1e-06,1.2382398,1.8185214,1.3485256,0.0422903411090374,0.16542163491249084,0.037332065403461456,0.19321507215499878
4,1.8231784105300903,1e-06,1.2381431,1.8182201,1.348414,0.042269911617040634,0.16539961099624634,0.03731163591146469,0.193162202835083
5,1.8228774070739746,5e-07,1.2380465,1.8179191,1.3483024,0.04225962236523628,0.1653885543346405,0.03730135038495064,0.1931355744600296
6,1.8227254152297974,5e-07,1.2379978,1.8177671,1.348246,0.04224934056401253,0.16537749767303467,0.03729106858372688,0.1931089609861374
7,1.822574257850647,5e-07,1.2379493,1.817616,1.34819,0.04223906248807907,0.16536641120910645,0.037280794233083725,0.19308234751224518
8,1.822422742843628,5e-07,1.2379006,1.8174645,1.3481337,0.04222877323627472,0.16535529494285583,0.03727050498127937,0.19305570423603058
9,1.8222707509994507,5e-07,1.237852,1.8173126,1.3480774,0.04221855849027634,0.1653442531824112,0.03726029023528099,0.1930292397737503
10,1.8221197128295898,5e-07,1.2378035,1.8171616,1.3480214,0.04220831021666527,0.16533319652080536,0.03725004196166992,0.19300270080566406
11,1.8219690322875977,2.5e-07,1.2377551,1.8170109,1.3479655,0.04220321401953697,0.16532769799232483,0.037244945764541626,0.1929894983768463
12,1.821893334388733,2.5e-07,1.2377309,1.8169352,1.3479373,0.04219804331660271,0.16532208025455475,0.03723977878689766,0.19297610223293304
13,1.821817398071289,2.5e-07,1.2377064,1.8168592,1.3479092,0.042192935943603516,0.16531653702259064,0.03723467141389847,0.1929628700017929
14,1.8217421770095825,2.5e-07,1.2376823,1.816784,1.3478813,0.04218783974647522,0.16531109809875488,0.03722957521677017,0.19294966757297516
15,1.821665644645691,1.25e-07,1.2376577,1.8167075,1.347853,0.042185407131910324,0.1653083860874176,0.037227142602205276,0.19294336438179016
16,1.8216285705566406,1.25e-07,1.2376457,1.8166704,1.3478391,0.04218283295631409,0.16530553996562958,0.03722456842660904,0.19293668866157532
17,1.8215926885604858,1.25e-07,1.2376342,1.8166345,1.3478259,0.0421803817152977,0.16530300676822662,0.03722211718559265,0.19293034076690674
18,1.8215560913085938,1.25e-07,1.2376225,1.8165979,1.3478123,0.042177896946668625,0.16530033946037292,0.03721963241696358,0.192923903465271
19,1.8215194940567017,1e-07,1.2376108,1.8165613,1.3477987,0.04217582195997238,0.16529804468154907,0.037217557430267334,0.19291852414608002
20,1.821488380432129,1e-07,1.2376007,1.8165302,1.3477871,0.04217377305030823,0.1652958244085312,0.03721550852060318,0.192913219332695
21,1.8214579820632935,1e-07,1.2375911,1.8164998,1.3477759,0.042171698063611984,0.16529351472854614,0.03721343353390694,0.19290784001350403
22,1.8214282989501953,1e-07,1.2375815,1.8164701,1.3477648,0.04216965660452843,0.16529132425785065,0.03721139207482338,0.1929025501012802
23,1.821398138999939,1e-07,1.2375718,1.81644,1.3477536,0.04216761142015457,0.16528920829296112,0.037209346890449524,0.1928972452878952
24,1.821366310119629,1e-07,1.2375616,1.8164082,1.3477418,0.042165596038103104,0.16528697311878204,0.037207331508398056,0.19289201498031616
25,1.821335792541504,1e-07,1.2375518,1.8163776,1.3477305,0.042163461446762085,0.16528460383415222,0.03720519691705704,0.19288648664951324
26,1.8213053941726685,1e-07,1.237542,1.8163472,1.3477193,0.04216143861413002,0.1652824431657791,0.03720317408442497,0.192881241440773
27,1.8212743997573853,1e-07,1.2375321,1.8163162,1.3477077,0.042159441858530045,0.1652802973985672,0.037201177328825,0.19287607073783875
28,1.8212441205978394,1e-07,1.2375225,1.816286,1.3476965,0.04215741902589798,0.16527822613716125,0.03719915449619293,0.1928708255290985
29,1.8212132453918457,1e-07,1.2375125,1.8162551,1.3476851,0.04215532913804054,0.16527590155601501,0.037197064608335495,0.19286540150642395
30,1.8211826086044312,1e-07,1.2375027,1.8162245,1.3476738,0.04215330630540848,0.16527369618415833,0.03719504177570343,0.19286015629768372
31,1.8211517333984375,1e-07,1.2374928,1.8161936,1.3476622,0.04215123504400253,0.16527146100997925,0.037192970514297485,0.19285479187965393
32,1.8211208581924438,1e-07,1.2374829,1.8161627,1.3476508,0.04214920848608017,0.16526925563812256,0.03719094395637512,0.1928495317697525
33,1.821089744567871,1e-07,1.2374729,1.8161316,1.3476393,0.04214715212583542,0.1652670055627823,0.03718888759613037,0.1928442120552063
34,1.8210595846176147,1e-07,1.2374631,1.8161014,1.3476281,0.04214508831501007,0.1652647852897644,0.03718682378530502,0.1928388476371765
35,1.8210296630859375,1e-07,1.2374536,1.8160715,1.347617,0.042143046855926514,0.16526256501674652,0.037184782326221466,0.1928335577249527
36,1.8209985494613647,1e-07,1.2374436,1.8160404,1.3476055,0.04214094579219818,0.16526027023792267,0.037182681262493134,0.19282811880111694
37,1.8209686279296875,1e-07,1.2374339,1.8160105,1.3475944,0.04213886708021164,0.16525793075561523,0.03718060627579689,0.19282273948192596
38,1.820937156677246,1e-07,1.237424,1.815979,1.3475827,0.042136866599321365,0.1652558445930481,0.037178605794906616,0.1928175389766693
39,1.8209071159362793,1e-07,1.2374144,1.815949,1.3475715,0.042134810239076614,0.1652536243200302,0.037176549434661865,0.1928122192621231
40,1.8208764791488647,1e-07,1.2374045,1.8159183,1.3475602,0.04213281348347664,0.16525153815746307,0.03717455267906189,0.19280703365802765
41,1.8208450078964233,1e-07,1.2373943,1.8158869,1.3475485,0.0421307310461998,0.16524919867515564,0.03717247024178505,0.19280163943767548
42,1.8208147287368774,1e-07,1.2373847,1.8158566,1.3475373,0.042128678411245346,0.16524693369865417,0.0371704176068306,0.19279630482196808
