epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.3373255729675293,1e-04,0.23081891,254.65256,0.06589697,0.038425524,0.25670406,1.416404128074646,0.37088003754615784,41.86239242553711,0.14688855409622192,0.05094863846898079,0.38326042890548706
1,1.33156418800354,1e-04,0.22609952,242.9666,0.062048655,0.036132395,0.24909568,1.4145921468734741,0.37104010581970215,41.881290435791016,0.14700327813625336,0.050994087010622025,0.3834100663661957
2,1.326464295387268,1e-04,0.22234014,232.03967,0.058875415,0.034141343,0.24264257,1.4127655029296875,0.37120237946510315,41.90045166015625,0.1471196860074997,0.05104021728038788,0.3835618495941162
3,1.3219760656356812,1e-04,0.22236538,222.56001,0.056330264,0.0324416,0.23733997,1.4109236001968384,0.371369332075119,41.92014694213867,0.14723961055278778,0.05108773335814476,0.3837181329727173
4,1.3180230855941772,1e-04,0.22229673,214.01999,0.05433901,0.031010462,0.2331073,1.4090675115585327,0.3715428411960602,41.940608978271484,0.147364541888237,0.051137249916791916,0.3838808834552765
5,1.3145112991333008,1e-04,0.22210865,206.51888,0.05280834,0.029816706,0.22980066,1.4071989059448242,0.3717246949672699,41.9620246887207,0.1474957913160324,0.051189254969358444,0.3840517997741699
6,1.3113421201705933,1e-04,0.22178833,200.10413,0.051638953,0.028825164,0.22724205,1.405320644378662,0.37191590666770935,41.984527587890625,0.14763426780700684,0.05124412477016449,0.3842320442199707
7,1.3084232807159424,1e-04,0.2213356,194.78001,0.050736923,0.028001087,0.22524858,1.4034610986709595,0.37211474776268005,42.00790023803711,0.1477786898612976,0.051301341503858566,0.3844199478626251
8,1.3057130575180054,1e-04,0.22076952,190.5749,0.050030656,0.027322445,0.22367534,1.401569128036499,0.3723267614841461,42.03280258178711,0.14793318510055542,0.05136255547404289,0.3846208453178406
9,1.3030726909637451,1e-04,0.22009172,187.30974,0.04943675,0.026743531,0.22234377,1.3996726274490356,0.3725493252277374,42.05891036987305,0.14809580147266388,0.051426976919174194,0.3848321735858917
10,1.3004971742630005,1e-04,0.21933155,184.97412,0.04892037,0.026253885,0.2211795,1.397773027420044,0.37278199195861816,42.086181640625,0.1482662707567215,0.05149452015757561,0.3850536048412323
11,1.2979577779769897,1e-04,0.21851215,183.48926,0.04845097,0.02583811,0.22011581,1.3958717584609985,0.37302422523498535,42.11454772949219,0.14844419062137604,0.0515650250017643,0.38528457283973694
12,1.2954380512237549,1e-04,0.2176559,182.77357,0.04801054,0.025485193,0.21911307,1.3939684629440308,0.37327519059181213,42.143917083740234,0.14862893521785736,0.05163823440670967,0.3855242431163788
13,1.292930006980896,1e-04,0.21678324,182.74498,0.04759052,0.025187489,0.21815252,1.3920633792877197,0.37353408336639404,42.174198150634766,0.1488199532032013,0.051713939756155014,0.38577190041542053
14,1.290432333946228,1e-04,0.21591213,183.32202,0.04718886,0.024939766,0.21722996,1.3901571035385132,0.3737999498844147,42.20527267456055,0.14901651442050934,0.05179184302687645,0.3860265612602234
15,1.2879482507705688,1e-04,0.21505769,184.42282,0.046807673,0.024738282,0.21635081,1.3882486820220947,0.37407174706459045,42.23703384399414,0.1492178589105606,0.05187167227268219,0.38628727197647095
16,1.2854820489883423,1e-04,0.21423198,185.96489,0.046451245,0.02458003,0.21552551,1.386338472366333,0.37434864044189453,42.26936721801758,0.14942330121994019,0.05195313319563866,0.3865531086921692
17,1.2830396890640259,1e-04,0.21344434,187.8633,0.04612445,0.024462048,0.21476604,1.3844258785247803,0.37462958693504333,42.30216598510742,0.14963209629058838,0.05203593894839287,0.3868230879306793
18,1.2806254625320435,1e-04,0.21270117,190.03067,0.045831658,0.024380978,0.2140833,1.3825100660324097,0.3749135434627533,42.33529281616211,0.14984343945980072,0.052119772881269455,0.3870961666107178
19,1.2782423496246338,1e-04,0.21200643,192.37648,0.0455758,0.024332685,0.2134849,1.3805707693099976,0.3752024173736572,42.36899948120117,0.1500588208436966,0.05220523104071617,0.38737425208091736
20,1.2758677005767822,1e-04,0.21135497,194.83385,0.045355666,0.024311926,0.21296869,1.3786479234695435,0.3754894733428955,42.4024772644043,0.15027308464050293,0.052290260791778564,0.387650728225708
21,1.2735493183135986,1e-04,0.21075973,197.25764,0.045174457,0.024313001,0.21254283,1.376720666885376,0.37577664852142334,42.43596267700195,0.1504877358675003,0.052375465631484985,0.38792750239372253
22,1.271259069442749,1e-04,0.21021172,199.58206,0.045026105,0.024328712,0.21219355,1.3747891187667847,0.37606310844421387,42.469356536865234,0.15070213377475739,0.05246059596538544,0.3882037401199341
23,1.2689920663833618,1e-04,0.20970738,201.72177,0.044905085,0.02435169,0.2119082,1.3728535175323486,0.3763481676578522,42.50258255004883,0.1509156972169876,0.052545417100191116,0.38847869634628296
24,1.266742467880249,1e-04,0.20924243,203.60115,0.044804607,0.02437458,0.21167098,1.3709132671356201,0.3766311705112457,42.53556442260742,0.15112797915935516,0.0526297390460968,0.3887518346309662
25,1.264502763748169,1e-04,0.20881216,205.15804,0.04471739,0.024390588,0.21146487,1.368969440460205,0.3769117295742035,42.5682487487793,0.1513385772705078,0.05271342396736145,0.3890225887298584
26,1.2622674703598022,1e-04,0.20841196,206.34705,0.044636514,0.024393981,0.21127355,1.367021918296814,0.3771893084049225,42.6005973815918,0.15154726803302765,0.0527963750064373,0.3892907202243805
27,1.2600308656692505,1e-04,0.20803782,207.14145,0.044556182,0.024380552,0.21108335,1.3650708198547363,0.3774639666080475,42.63258743286133,0.15175388753414154,0.05287851765751839,0.38955602049827576
28,1.2577890157699585,1e-04,0.20768619,207.53319,0.04447211,0.024347762,0.21088411,1.3631174564361572,0.37773561477661133,42.66423034667969,0.1519584357738495,0.052959855645895004,0.3898184597492218
29,1.2555409669876099,1e-04,0.20735455,207.53299,0.044381864,0.024294887,0.21067004,1.3611615896224976,0.3780043423175812,42.69553756713867,0.15216101706027985,0.05304042622447014,0.39007821679115295
30,1.25328528881073,1e-04,0.20704101,207.16756,0.04428474,0.024222821,0.2104394,1.3592045307159424,0.3782705068588257,42.72652053833008,0.15236179530620575,0.053120315074920654,0.3903355002403259
31,1.2510242462158203,1e-04,0.20674457,206.47719,0.044181474,0.02413383,0.2101939,1.3572465181350708,0.3785344064235687,42.757259368896484,0.15256106853485107,0.05319961532950401,0.3905906677246094
32,1.248759150505066,1e-04,0.20646463,205.51244,0.04407381,0.024031175,0.20993763,1.3552885055541992,0.3787964880466461,42.787776947021484,0.15275917947292328,0.05327847599983215,0.3908441960811615
33,1.2464933395385742,1e-04,0.20620112,204.3308,0.04396402,0.023918748,0.209676,1.3533308506011963,0.3790573179721832,42.81814193725586,0.15295647084712982,0.05335703492164612,0.3910965025424957
34,1.244228720664978,1e-04,0.20595397,202.99341,0.043854382,0.023800671,0.20941438,1.3513742685317993,0.37931740283966064,42.84841537475586,0.1531534194946289,0.053435470908880234,0.3913482129573822
35,1.2419676780700684,1e-04,0.20572308,201.56204,0.043746855,0.023680968,0.20915748,1.349419355392456,0.37957727909088135,42.8786735534668,0.15335042774677277,0.053513940423727036,0.3915998339653015
36,1.2397117614746094,1e-04,0.20550823,200.09657,0.043642838,0.023563338,0.20890868,1.3474667072296143,0.3798375427722931,42.90896224975586,0.15354788303375244,0.053592611104249954,0.39185187220573425
37,1.237461805343628,1e-04,0.20530881,198.65248,0.04354299,0.023450945,0.20866957,1.3455168008804321,0.3800986707210541,42.93934631347656,0.15374618768692017,0.05367164686322212,0.3921048045158386
38,1.2352179288864136,1e-04,0.20512398,197.27927,0.043447323,0.023346344,0.20844021,1.343570590019226,0.3803611695766449,42.969879150390625,0.1539456993341446,0.053751181811094284,0.3923591375350952
39,1.2329801321029663,1e-04,0.20495245,196.01892,0.04335526,0.023251444,0.20821926,1.341627597808838,0.38062524795532227,43.0006103515625,0.1541466861963272,0.0538313128054142,0.3926151990890503
40,1.2307467460632324,1e-04,0.20479275,194.90518,0.04326586,0.023167523,0.20800447,1.339689016342163,0.3808914124965668,43.03157043457031,0.1543494015932083,0.05391216278076172,0.39287325739860535
41,1.2285175323486328,1e-04,0.20464318,193.96329,0.04317799,0.02309532,0.20779313,1.3377543687820435,0.3811596930027008,43.062774658203125,0.15455399453639984,0.05399377644062042,0.3931335508823395
42,1.2262909412384033,1e-04,0.20450191,193.2093,0.043090545,0.02303508,0.20758262,1.3358243703842163,0.38143038749694824,43.09425354003906,0.15476056933403015,0.05407620593905449,0.39339619874954224
43,1.2240663766860962,1e-04,0.20436715,192.65079,0.043002617,0.022986649,0.20737073,1.3338991403579712,0.3817034661769867,43.126007080078125,0.15496915578842163,0.05415945127606392,0.393661230802536
44,1.2218434810638428,1e-04,0.20423707,192.28735,0.042913582,0.022949556,0.20715594,1.3319785594940186,0.381978839635849,43.15802001953125,0.1551796942949295,0.054243505001068115,0.39392852783203125
45,1.219622015953064,1e-04,0.20411003,192.11122,0.04282316,0.022923056,0.20693757,1.3300625085830688,0.38225629925727844,43.19028091430664,0.15539208054542542,0.0543283112347126,0.3941980302333832
46,1.2174018621444702,1e-04,0.20398463,192.10799,0.042731423,0.02290621,0.2067158,1.328150987625122,0.3825357258319855,43.22276306152344,0.15560610592365265,0.0544138066470623,0.39446941018104553
