epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.5147830247879028,1e-04,0.357064,0.24335444,0.49330968,1.2729514837265015,0.0491015762090683,0.0034386294428259134,0.058639828115701675
1,1.5046236515045166,1e-04,0.35860232,0.23511086,0.48488232,1.2710270881652832,0.04905613511800766,0.0034323777072131634,0.058586496859788895
2,1.494342565536499,1e-04,0.3618925,0.22674787,0.4761805,1.2691007852554321,0.04901592433452606,0.003426675219088793,0.058537811040878296
3,1.4839495420455933,1e-04,0.365373,0.21827535,0.46719947,1.2671735286712646,0.04897844046354294,0.0034212577156722546,0.05849151685833931
4,1.4734632968902588,1e-04,0.36851695,0.20971118,0.45794234,1.265246868133545,0.04894343763589859,0.0034161023795604706,0.05844743177294731
5,1.4629197120666504,1e-04,0.37122926,0.20108901,0.4484295,1.2633230686187744,0.04891090840101242,0.003411211771890521,0.05840557813644409
6,1.4523805379867554,1e-04,0.3734282,0.1924687,0.43871254,1.2614024877548218,0.0488806813955307,0.0034065721556544304,0.058365847915410995
7,1.4419461488723755,1e-04,0.3750526,0.18395019,0.42889413,1.2594863176345825,0.04885263741016388,0.0034021753817796707,0.05832817032933235
8,1.4317678213119507,1e-04,0.37607086,0.17568368,0.41914636,1.2575736045837402,0.04882660508155823,0.003398007247596979,0.05829242989420891
9,1.4220492839813232,1e-04,0.37648907,0.16787367,0.40972388,1.2556636333465576,0.04880214482545853,0.003394026542082429,0.05825827270746231
10,1.4130396842956543,1e-04,0.37635806,0.16077004,0.4009614,1.2537540197372437,0.04877856373786926,0.003390165977180004,0.058225132524967194
11,1.4050065279006958,1e-04,0.37577498,0.15464276,0.39324644,1.2518409490585327,0.04875478893518448,0.0033863212447613478,0.05819210782647133
12,1.3981928825378418,1e-04,0.37487742,0.14973827,0.3869603,1.2499213218688965,0.04872935265302658,0.0033823472913354635,0.05815795063972473
13,1.3927640914916992,1e-04,0.3738276,0.14622514,0.38239396,1.2479912042617798,0.048700302839279175,0.0033780497033149004,0.05812099203467369
14,1.3887556791305542,1e-04,0.37278733,0.14414257,0.3796611,1.246047019958496,0.04866524040699005,0.0033731902949512005,0.05807917192578316
15,1.386042594909668,1e-04,0.37188962,0.14336878,0.3786407,1.244086503982544,0.04862161725759506,0.0033675148151814938,0.05803029239177704
16,1.3843462467193604,1e-04,0.37121424,0.14362724,0.37898186,1.242108702659607,0.04856713116168976,0.0033607983496040106,0.057972393929958344
17,1.383286952972412,1e-04,0.37077606,0.14453901,0.38018286,1.2401149272918701,0.048500046133995056,0.0033528762869536877,0.05790402740240097
18,1.3824691772460938,1e-04,0.37053546,0.14570704,0.38171592,1.2381081581115723,0.04841937869787216,0.0033436696976423264,0.057824473828077316
19,1.3815608024597168,1e-04,0.37042388,0.14679621,0.38313994,1.2360910177230835,0.048325009644031525,0.0033331906888633966,0.057733792811632156
20,1.3803355693817139,1e-04,0.37037134,0.14757778,0.38415852,1.2340668439865112,0.04821743816137314,0.0033215240109711885,0.05763266608119011
21,1.378679633140564,1e-04,0.37032405,0.14793427,0.38462225,1.232037901878357,0.048097625374794006,0.0033088023774325848,0.05752218887209892
22,1.376569151878357,1e-04,0.37025023,0.14784008,0.3844998,1.2300063371658325,0.04796680808067322,0.0032951864413917065,0.05740371346473694
23,1.3740452527999878,1e-04,0.37013784,0.14733416,0.3838413,1.2279738187789917,0.0478263720870018,0.0032808533869683743,0.05727873370051384
24,1.3711884021759033,1e-04,0.36998948,0.14649546,0.38274726,1.225941777229309,0.04767776280641556,0.0032659752760082483,0.05714871361851692
25,1.3680989742279053,1e-04,0.3698158,0.14542325,0.381344,1.2239108085632324,0.0475224032998085,0.0032507232390344143,0.05701511353254318
26,1.3648823499679565,1e-04,0.3696306,0.14422236,0.3797662,1.2218812704086304,0.047361768782138824,0.0032352611888200045,0.05687935650348663
27,1.3616381883621216,1e-04,0.36944696,0.14299212,0.37814298,1.219853401184082,0.04719727486371994,0.0032197393011301756,0.056742746382951736
28,1.3584516048431396,1e-04,0.36927438,0.14181787,0.37658712,1.2178281545639038,0.04703034460544586,0.003204297972843051,0.05660651996731758
29,1.3553889989852905,1e-04,0.3691179,0.14076515,0.3751868,1.215804934501648,0.04686231166124344,0.003189059207215905,0.05647175759077072
