epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.4896680116653442,1e-04,0.39213395,0.21823938,0.46716097,1.2806286811828613,0.08691588789224625,0.01110112015157938,0.10536185652017593
1,1.4810823202133179,1e-04,0.39250854,0.21155472,0.45995077,1.278694987297058,0.0867648646235466,0.011067346669733524,0.10520146042108536
2,1.4726060628890991,1e-04,0.3928317,0.20497839,0.4527454,1.2767627239227295,0.08661510795354843,0.011033923365175724,0.1050424799323082
3,1.4643034934997559,1e-04,0.39309666,0.19857475,0.44561726,1.2748310565948486,0.08646617084741592,0.01100075338035822,0.10488447546958923
4,1.456241488456726,1e-04,0.3932964,0.19241118,0.438647,1.2728996276855469,0.08631774038076401,0.010967765934765339,0.10472710430622101
5,1.448487639427185,1e-04,0.39342472,0.18655576,0.431921,1.27096688747406,0.08616969734430313,0.010934936814010143,0.10457024723291397
6,1.4411062002182007,1e-04,0.3934768,0.18107425,0.4255282,1.269032597541809,0.08602192252874374,0.010902244597673416,0.10441381484270096
7,1.4341576099395752,1e-04,0.39344963,0.17602721,0.41955596,1.2670948505401611,0.08587435632944107,0.010869675315916538,0.104257732629776
8,1.4276916980743408,1e-04,0.39334255,0.1714663,0.4140849,1.265153169631958,0.08572685718536377,0.010837200097739697,0.10410187393426895
9,1.4217466115951538,1e-04,0.39315772,0.16743062,0.40918288,1.2632052898406982,0.0855792984366417,0.010804801248013973,0.10394614934921265
10,1.416344165802002,1e-04,0.3929003,0.16394363,0.40489954,1.261250376701355,0.0854315385222435,0.010772445239126682,0.10379038751125336
11,1.4114891290664673,1e-04,0.39257833,0.16101114,0.40126193,1.2592873573303223,0.08528337627649307,0.010740105994045734,0.10363448411226273
12,1.407167673110962,1e-04,0.39220244,0.15862048,0.39827186,1.2573142051696777,0.08513462543487549,0.01070774719119072,0.10347824543714523
13,1.4033477306365967,1e-04,0.3917851,0.15674125,0.3959056,1.2553317546844482,0.08498506993055344,0.010675322264432907,0.10332144796848297
14,1.3999841213226318,1e-04,0.39133927,0.1553276,0.39411622,1.25332510471344,0.08483340591192245,0.010642572306096554,0.10316284000873566
15,1.396998643875122,1e-04,0.390875,0.15431617,0.39283097,1.2513198852539062,0.08468139916658401,0.01060988288372755,0.10300428420305252
16,1.3943642377853394,1e-04,0.39041016,0.15365419,0.39198747,1.2493038177490234,0.08452782034873962,0.010576996952295303,0.10284452885389328
17,1.391992211341858,1e-04,0.38995177,0.15326534,0.39149117,1.2472572326660156,0.08437088876962662,0.010543550364673138,0.10268179327249527
18,1.389794945716858,1e-04,0.38950333,0.1530812,0.39125592,1.2452194690704346,0.08421345800161362,0.010510156862437725,0.10251905769109726
19,1.3877514600753784,1e-04,0.3890786,0.15304215,0.39120603,1.2431715726852417,0.08405383676290512,0.01047646626830101,0.10235460847616196
20,1.3857852220535278,1e-04,0.38867664,0.15309013,0.39126733,1.2411150932312012,0.08389190584421158,0.010442462749779224,0.10218837112188339
21,1.3838510513305664,1e-04,0.38829866,0.15317845,0.3913802,1.2390508651733398,0.08372759819030762,0.01040814071893692,0.10202029347419739
22,1.3819124698638916,1e-04,0.38794473,0.15326972,0.39149678,1.2369800806045532,0.08356088399887085,0.010373497381806374,0.10185036808252335
