epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.027097728103399277,1e-05,0.12750427,0.022137815,0.14878783,0.13161468505859375,0.28613483905792236,0.1266547590494156,0.35588589310646057
1,0.026999110355973244,1e-05,0.12715198,0.02203919,0.14845602,0.13178697228431702,0.2863830029964447,0.12682704627513885,0.35612785816192627
2,0.026900803670287132,1e-05,0.12679972,0.021940878,0.14812453,0.13195917010307312,0.2866310477256775,0.12699922919273376,0.3563695251941681
3,0.026802876964211464,1e-05,0.12644747,0.021842944,0.14779359,0.132130965590477,0.2868782877922058,0.12717102468013763,0.3566104769706726
4,0.026705516502261162,1e-05,0.12609625,0.021745577,0.14746381,0.1323033720254898,0.2871261537075043,0.12734341621398926,0.35685208439826965
5,0.026608405634760857,5e-06,0.12574455,0.021648461,0.14713416,0.13238993287086487,0.2872506380081177,0.12742997705936432,0.3569733500480652
6,0.026559917256236076,5e-06,0.12556846,0.02159997,0.14696929,0.13247589766979218,0.2873741388320923,0.12751594185829163,0.3570937514305115
7,0.02651163563132286,5e-06,0.12539302,0.021551685,0.14680493,0.1325618177652359,0.28749728202819824,0.12760186195373535,0.3572140336036682
8,0.026463467627763748,5e-06,0.12521745,0.021503514,0.14664076,0.13264785706996918,0.2876209616661072,0.12768788635730743,0.3573344051837921
9,0.026415357366204262,2.5e-06,0.12504189,0.021455402,0.14647663,0.13269104063510895,0.28768259286880493,0.1277310699224472,0.35739484429359436
10,0.026391349732875824,2.5e-06,0.124954246,0.021431392,0.14639464,0.13273467123508453,0.2877453863620758,0.1277747005224228,0.35745587944984436
11,0.02636723779141903,2.5e-06,0.12486601,0.021407278,0.14631227,0.13277794420719147,0.28780731558799744,0.12781797349452972,0.35751640796661377
12,0.026343246921896935,2.5e-06,0.124778174,0.021383286,0.14623025,0.13282084465026855,0.2878688871860504,0.1278608739376068,0.3575764000415802
13,0.026319362223148346,1.25e-06,0.124690674,0.021359399,0.14614855,0.13284283876419067,0.28790047764778137,0.12788286805152893,0.3576071560382843
14,0.026307441294193268,1.25e-06,0.12464704,0.021347478,0.14610776,0.13286443054676056,0.2879313826560974,0.12790445983409882,0.35763731598854065
15,0.026295460760593414,1.25e-06,0.12460312,0.021335497,0.14606676,0.13288572430610657,0.2879619598388672,0.12792575359344482,0.35766708850860596
16,0.026283495128154755,1.25e-06,0.12455917,0.02132353,0.14602579,0.1329074203968048,0.28799301385879517,0.12794744968414307,0.35769742727279663
17,0.026271536946296692,6.25e-07,0.12451539,0.021311572,0.14598483,0.13291826844215393,0.2880083918571472,0.1279582977294922,0.35771259665489197
18,0.02626561000943184,6.25e-07,0.12449354,0.021305643,0.14596453,0.1329290270805359,0.2880239486694336,0.12796905636787415,0.35772761702537537
19,0.026259737089276314,6.25e-07,0.12447194,0.02129977,0.1459444,0.13294005393981934,0.2880399525165558,0.1279800832271576,0.3577430546283722
20,0.02625381574034691,6.25e-07,0.12445027,0.021293849,0.14592412,0.13295096158981323,0.28805553913116455,0.1279909908771515,0.3577582836151123
21,0.026247849687933922,3.125e-07,0.12442819,0.021287883,0.14590368,0.13295596837997437,0.28806272149086,0.12799599766731262,0.3577652871608734
22,0.0262449961155653,3.125e-07,0.12441775,0.02128503,0.1458939,0.13296133279800415,0.28807035088539124,0.1280013620853424,0.3577727675437927
23,0.026242053136229515,3.125e-07,0.124406934,0.021282086,0.14588381,0.1329665184020996,0.288077712059021,0.12800654768943787,0.3577800393104553
24,0.02623923495411873,3.125e-07,0.12439659,0.021279266,0.14587414,0.13297182321548462,0.28808531165122986,0.12801185250282288,0.35778743028640747
25,0.026236243546009064,1.5625e-07,0.124385566,0.021276275,0.14586389,0.13297449052333832,0.2880890369415283,0.12801451981067657,0.35779115557670593
26,0.02623474970459938,1.5625e-07,0.124379985,0.02127478,0.14585876,0.13297700881958008,0.288092702627182,0.12801703810691833,0.3577946722507477
27,0.026233194395899773,1.5625e-07,0.12437448,0.021273226,0.14585344,0.13297942280769348,0.28809604048728943,0.12801945209503174,0.3577980697154999
28,0.026231691241264343,1.5625e-07,0.124368824,0.021271722,0.14584829,0.13298189640045166,0.28809982538223267,0.12802192568778992,0.35780152678489685
29,0.02623022347688675,1e-07,0.12436346,0.021270255,0.14584325,0.1329835057258606,0.28810200095176697,0.12802353501319885,0.3578037619590759
30,0.026229245588183403,1e-07,0.124359965,0.021269277,0.1458399,0.13298536837100983,0.2881046533584595,0.12802539765834808,0.35780635476112366
31,0.026228278875350952,1e-07,0.12435633,0.02126831,0.14583659,0.1329866647720337,0.2881065011024475,0.12802669405937195,0.3578081727027893
32,0.02622738853096962,1e-07,0.1243532,0.02126742,0.14583354,0.1329888105392456,0.2881093919277191,0.12802883982658386,0.35781118273735046
33,0.026226378977298737,1e-07,0.124349214,0.02126641,0.14583008,0.13298995792865753,0.28811115026474,0.1280299872159958,0.3578127920627594
34,0.02622538059949875,1e-07,0.1243457,0.021265412,0.14582665,0.1329915076494217,0.2881133556365967,0.12803153693675995,0.3578149378299713
35,0.026224471628665924,1e-07,0.124342404,0.021264503,0.14582354,0.1329934298992157,0.2881161570549011,0.12803345918655396,0.3578176200389862
36,0.026223603636026382,1e-07,0.12433928,0.021263635,0.14582056,0.13299480080604553,0.2881180942058563,0.1280348300933838,0.3578195571899414
37,0.026222556829452515,1e-07,0.12433543,0.021262588,0.14581697,0.1329965889453888,0.2881205081939697,0.12803661823272705,0.357822060585022
