epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.15213584899902344,1e-05,0.163558,0.032562353,0.18045041,0.1867630034685135,0.24398130178451538,0.06719367951154709,0.25921744108200073
1,0.152125746011734,1e-05,0.16354747,0.03255643,0.180434,0.18672700226306915,0.24391436576843262,0.06716185808181763,0.2591560482978821
2,0.15211565792560577,1e-05,0.16353689,0.032550503,0.18041758,0.18669116497039795,0.24384768307209015,0.06713017076253891,0.25909489393234253
3,0.15210555493831635,1e-05,0.1635263,0.032544564,0.18040112,0.18665535748004913,0.24378114938735962,0.06709853559732437,0.25903385877609253
4,0.15209545195102692,1e-05,0.1635157,0.032538634,0.18038468,0.1866196244955063,0.24371469020843506,0.06706696003675461,0.2589728832244873
5,0.15208536386489868,1e-05,0.16350512,0.032532703,0.18036824,0.18658393621444702,0.24364835023880005,0.06703542917966843,0.25891199707984924
6,0.15207529067993164,1e-05,0.16349457,0.03252678,0.18035182,0.18654827773571014,0.2435821145772934,0.06700395047664642,0.25885120034217834
7,0.15206517279148102,1e-05,0.16348399,0.03252085,0.18033537,0.18651267886161804,0.24351589381694794,0.06697250157594681,0.2587904632091522
8,0.15205508470535278,1e-05,0.16347341,0.032514922,0.18031895,0.18647707998752594,0.24344973266124725,0.06694108247756958,0.2587297558784485
9,0.15204499661922455,1e-05,0.16346283,0.03250899,0.1803025,0.1864415556192398,0.24338364601135254,0.06690970808267593,0.2586691081523895
10,0.1520349085330963,1e-05,0.16345225,0.03250307,0.18028608,0.18640607595443726,0.24331767857074738,0.06687838584184647,0.25860854983329773
11,0.15202483534812927,1e-05,0.16344166,0.032497145,0.18026964,0.18637055158615112,0.24325166642665863,0.06684704124927521,0.25854796171188354
12,0.15201473236083984,1e-05,0.1634311,0.03249122,0.18025321,0.18633513152599335,0.24318574368953705,0.06681575626134872,0.25848743319511414
13,0.152004674077034,1e-05,0.16342054,0.03248531,0.18023682,0.18629968166351318,0.24311983585357666,0.06678447872400284,0.2584269344806671
14,0.15199458599090576,1e-05,0.16340996,0.032479387,0.18022038,0.1862642765045166,0.24305395781993866,0.06675323098897934,0.2583664655685425
15,0.15198451280593872,1e-05,0.16339938,0.03247347,0.18020397,0.18622887134552002,0.24298806488513947,0.06672198325395584,0.25830599665641785
16,0.15197442471981049,1e-05,0.16338882,0.032467548,0.18018754,0.18619349598884583,0.24292223155498505,0.06669076532125473,0.2582455575466156
17,0.15196436643600464,1e-05,0.16337825,0.032461636,0.18017113,0.18615812063217163,0.24285638332366943,0.06665954738855362,0.25818508863449097
18,0.1519542932510376,1e-05,0.16336766,0.03245572,0.18015471,0.18612268567085266,0.24279050529003143,0.06662830710411072,0.25812458992004395
19,0.15194419026374817,1e-05,0.16335711,0.032449804,0.18013829,0.18608736991882324,0.2427247017621994,0.06659713387489319,0.2580642104148865
