epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8258216381072998,1e-05,1.2324924,1.8208684,1.3493955,0.058035191148519516,0.19993185997009277,0.053081899881362915,0.2303950935602188
1,1.8233699798583984,1e-05,1.2317023,1.8184167,1.3484868,0.05865047499537468,0.2010432481765747,0.05369719862937927,0.23172655701637268
2,1.8200740814208984,1e-05,1.2306391,1.8151208,1.3472642,0.059254005551338196,0.20212028920650482,0.05430074408650398,0.2330251932144165
3,1.8170764446258545,1e-05,1.229671,1.8121232,1.3461512,0.059886008501052856,0.203232079744339,0.05493275821208954,0.23437738418579102
4,1.8137809038162231,1e-05,1.228606,1.8088278,1.3449267,0.06051661819219589,0.20432758331298828,0.05556338280439377,0.23571886122226715
5,1.8106282949447632,5e-06,1.2275862,1.8056751,1.3437542,0.061046529561281204,0.20524781942367554,0.05609330162405968,0.23684024810791016
6,1.8089812994003296,5e-06,1.2270529,1.8040282,1.3431412,0.06158122792840004,0.20616832375526428,0.05662801116704941,0.2379664033651352
7,1.807334065437317,5e-06,1.2265193,1.8023809,1.3425279,0.06211891397833824,0.20708616077899933,0.05716570466756821,0.23909351229667664
8,1.8057104349136353,5e-06,1.2259933,1.8007573,1.341923,0.06266326457262039,0.20800712704658508,0.057710058987140656,0.24022917449474335
9,1.8040627241134644,2.5e-06,1.2254592,1.7991096,1.341309,0.06314916908740997,0.20883150398731232,0.058195970952510834,0.24123841524124146
10,1.8032381534576416,2.5e-06,1.2251916,1.798285,1.3410015,0.06363852322101593,0.2096562683582306,0.05868533253669739,0.24225056171417236
11,1.8024156093597412,2.5e-06,1.2249249,1.7974625,1.3406948,0.06413120031356812,0.21048098802566528,0.05917800962924957,0.243265300989151
12,1.8015912771224976,2.5e-06,1.2246574,1.7966381,1.3403873,0.06462720036506653,0.21130597591400146,0.059674009680747986,0.24428264796733856
13,1.8007676601409912,1.25e-06,1.2243901,1.7958145,1.34008,0.06509338319301605,0.21208195388317108,0.06014019995927811,0.24523499608039856
14,1.8003560304641724,1.25e-06,1.2242564,1.7954029,1.3399265,0.06556253135204315,0.21285852789878845,0.06060934439301491,0.2461896538734436
15,1.7999440431594849,1.25e-06,1.2241225,1.7949909,1.3397727,0.06603438407182693,0.21363487839698792,0.06108120083808899,0.2471461147069931
16,1.7995296716690063,1.25e-06,1.223988,1.7945765,1.3396181,0.06650929152965546,0.21441185474395752,0.06155611574649811,0.24810504913330078
17,1.7991149425506592,6.25e-07,1.2238535,1.7941618,1.3394632,0.06696899235248566,0.2151632010936737,0.06201581656932831,0.2490297555923462
18,1.7989102602005005,6.25e-07,1.223787,1.7939571,1.3393868,0.06743136793375015,0.21591486036777496,0.062478188425302505,0.24995636940002441
19,1.7987052202224731,6.25e-07,1.2237204,1.7937521,1.3393103,0.06789650022983551,0.2166670560836792,0.06294332444667816,0.2508850693702698
20,1.7984966039657593,6.25e-07,1.2236526,1.7935435,1.3392324,0.06836371123790741,0.21741846203804016,0.06341053545475006,0.25181448459625244
21,1.798291563987732,3.125e-07,1.223586,1.7933384,1.3391559,0.06882437318563461,0.2181573212146759,0.06387119740247726,0.2527275085449219
