epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,0.15213584899902344,1e-07,0.163558,0.032562353,0.18045041,0.1876889169216156,0.2460448294878006,0.06811555474996567,0.26098957657814026
1,0.1521344929933548,1e-07,0.16355638,0.03256112,0.180447,0.18857501447200775,0.24801617860794067,0.06900174170732498,0.2626818120479584
2,0.15213315188884735,1e-07,0.16355474,0.032559875,0.18044356,0.18945731222629547,0.2499629408121109,0.06988413631916046,0.2643560767173767
3,0.1521318256855011,1e-07,0.16355313,0.032558642,0.18044013,0.1903357058763504,0.2518855333328247,0.07076263427734375,0.2660124599933624
4,0.15213046967983246,1e-07,0.1635515,0.0325574,0.1804367,0.19121003150939941,0.25378403067588806,0.07163706421852112,0.2676510214805603
5,0.1521291434764862,1e-07,0.16354986,0.032556158,0.18043324,0.19208019971847534,0.2556588649749756,0.072507344186306,0.2692718803882599
6,0.15212778747081757,1e-07,0.16354823,0.032554924,0.18042983,0.1929461508989334,0.2575102746486664,0.07337336987257004,0.2708751857280731
7,0.1521264761686325,1e-07,0.16354658,0.03255368,0.18042639,0.1938077062368393,0.2593385577201843,0.07423501461744308,0.27246102690696716
8,0.15212513506412506,1e-07,0.16354497,0.032552443,0.18042296,0.19466477632522583,0.2611439526081085,0.07509219646453857,0.27402955293655396
9,0.15212377905845642,1e-07,0.16354333,0.032551207,0.18041953,0.19551736116409302,0.26292684674263,0.07594487816095352,0.2755809724330902
10,0.15212245285511017,1e-07,0.1635417,0.032549966,0.18041609,0.19636526703834534,0.2646873891353607,0.0767928883433342,0.2771152853965759
11,0.15212111175060272,1e-07,0.16354008,0.03254873,0.18041267,0.1972084492444992,0.26642587780952454,0.07763615995645523,0.27863267064094543
12,0.15211977064609528,1e-07,0.16353843,0.032547485,0.18040922,0.19804684817790985,0.2681426703929901,0.07847467809915543,0.28013333678245544
13,0.15211842954158783,1e-07,0.16353682,0.032546252,0.1804058,0.1988803744316101,0.269837886095047,0.07930829375982285,0.28161728382110596
14,0.15211710333824158,1e-07,0.16353516,0.03254501,0.18040235,0.1997089833021164,0.27151191234588623,0.0801369771361351,0.2830847501754761
15,0.15211579203605652,1e-07,0.16353354,0.03254378,0.18039894,0.20053255558013916,0.2731649577617645,0.08096065372228622,0.28453585505485535
16,0.15211443603038788,1e-07,0.16353191,0.032542534,0.1803955,0.20135101675987244,0.274797260761261,0.08177923411130905,0.28597068786621094
17,0.15211308002471924,1e-07,0.16353028,0.032541297,0.18039207,0.2021644413471222,0.2764091491699219,0.08259273320436478,0.28738951683044434
18,0.15211176872253418,1e-07,0.16352865,0.03254006,0.18038864,0.2029726207256317,0.2780008316040039,0.08340102434158325,0.28879234194755554
19,0.15211041271686554,1e-07,0.16352701,0.032538824,0.1803852,0.20377549529075623,0.27957242727279663,0.08420401811599731,0.2901792824268341
20,0.1521090567111969,1e-07,0.16352534,0.03253756,0.18038172,0.20457322895526886,0.281124472618103,0.08500182628631592,0.29155072569847107
21,0.15210773050785065,1e-07,0.16352372,0.03253633,0.1803783,0.2053656131029129,0.28265705704689026,0.08579430729150772,0.29290664196014404
22,0.1521064043045044,1e-07,0.16352211,0.032535095,0.18037488,0.20615263283252716,0.2841704785823822,0.08658144623041153,0.29424723982810974
23,0.15210504829883575,1e-07,0.16352046,0.03253385,0.18037142,0.20693427324295044,0.2856648862361908,0.08736316114664078,0.2955726087093353
24,0.1521037220954895,1e-07,0.16351882,0.032532614,0.18036799,0.20771047472953796,0.2871406376361847,0.08813948184251785,0.2968829572200775
25,0.15210236608982086,1e-07,0.16351719,0.032531377,0.18036456,0.20848122239112854,0.28859788179397583,0.088910311460495,0.2981783151626587
26,0.1521010398864746,1e-07,0.16351555,0.032530133,0.18036112,0.20924648642539978,0.2900368869304657,0.089675672352314,0.29945898056030273
27,0.15209972858428955,1e-07,0.16351393,0.0325289,0.1803577,0.2100062370300293,0.291457861661911,0.09043552726507187,0.3007250130176544
28,0.1520983725786209,1e-07,0.1635123,0.03252766,0.18035427,0.21076050400733948,0.29286110401153564,0.09118988364934921,0.30197662115097046
29,0.15209703147411346,1e-07,0.16351067,0.032526422,0.18035083,0.21150915324687958,0.29424676299095154,0.09193863719701767,0.30321383476257324
30,0.1520957052707672,1e-07,0.16350904,0.032525185,0.1803474,0.21225227415561676,0.2956151068210602,0.09268185496330261,0.30443695187568665
31,0.15209436416625977,1e-07,0.16350739,0.03252395,0.18034397,0.21298977732658386,0.2969663143157959,0.09341946989297867,0.30564600229263306
32,0.15209300816059113,1e-07,0.16350576,0.032522704,0.18034053,0.21372170746326447,0.2983006238937378,0.09415148943662643,0.3068411350250244
33,0.15209168195724487,1e-07,0.16350414,0.03252147,0.1803371,0.214448019862175,0.29961827397346497,0.09487789869308472,0.30802255868911743
34,0.15209034085273743,1e-07,0.1635025,0.03252023,0.18033366,0.21516872942447662,0.3009195327758789,0.0955987274646759,0.30919045209884644
35,0.15208901464939117,1e-07,0.16350089,0.032519,0.18033026,0.21588386595249176,0.30220457911491394,0.0963139533996582,0.3103449046611786
36,0.15208767354488373,1e-07,0.16349925,0.03251776,0.18032682,0.21659336984157562,0.303473562002182,0.09702354669570923,0.31148603558540344
37,0.15208636224269867,1e-07,0.16349761,0.032516524,0.18032339,0.21729721128940582,0.3047266900539398,0.09772748500108719,0.31261396408081055
38,0.15208500623703003,1e-07,0.16349599,0.032515284,0.18031995,0.21799546480178833,0.30596423149108887,0.09842585772275925,0.3137289583683014
39,0.1520836502313614,1e-07,0.16349436,0.032514047,0.18031652,0.21868807077407837,0.3071863651275635,0.09911856800317764,0.314831018447876
40,0.15208232402801514,1e-07,0.16349271,0.032512806,0.18031308,0.2193751037120819,0.308393269777298,0.09980567544698715,0.315920352935791
